date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,0,35,0,0,0,44,40,0,43,0,0
09-00-15,0,35,0,0,0,44,40,0,42,32,0
09-00-25,0,35,0,0,0,44,40,0,43,32,0
09-00-35,0,35,0,0,0,44,40,0,42,32,0
09-00-45,0,35,0,0,0,44,40,0,42,32,0
09-00-55,0,35,0,0,0,44,40,0,43,32,0
09-01-05,0,35,0,0,0,44,39,0,42,0,0
09-01-15,0,35,0,0,0,44,40,0,42,0,0
09-01-25,0,35,0,0,0,44,40,0,43,0,0
09-01-35,0,35,0,0,0,44,39,0,42,0,0
09-01-45,0,35,0,0,0,43,40,0,42,0,0
09-01-55,0,35,0,0,0,44,40,0,42,32,0
09-02-05,0,35,0,0,0,44,40,0,43,32,0
09-02-15,0,35,0,0,0,44,40,0,42,0,0
09-02-25,0,35,0,0,0,44,39,0,42,32,0
09-02-35,0,35,0,0,0,44,40,0,43,0,0
09-02-45,0,35,0,0,0,44,40,0,43,0,0
09-02-55,0,35,0,0,0,44,40,0,43,0,0
09-03-05,0,35,0,0,0,43,40,0,42,0,0
09-03-15,0,35,0,0,0,44,40,0,43,0,0
09-03-25,0,35,0,0,0,44,40,0,43,32,0
09-03-35,0,35,0,0,0,44,40,0,43,0,0
09-03-45,0,35,0,0,0,44,40,0,42,32,0
09-03-55,0,35,0,0,0,44,40,0,43,0,0
09-04-05,0,35,0,0,0,43,40,0,42,0,0
09-04-15,0,35,0,0,0,44,40,0,43,0,0
09-04-25,0,35,0,0,0,43,40,0,42,32,0
09-04-35,0,35,0,0,0,44,40,0,43,0,0
09-04-45,0,35,0,0,0,44,40,0,42,0,0
09-04-55,0,35,0,0,0,44,40,0,43,32,0
09-05-05,0,35,0,0,0,44,40,0,43,0,0
09-05-15,0,35,0,0,0,44,40,0,43,0,0
09-05-25,0,35,0,0,0,44,40,0,43,32,0
09-05-35,0,35,0,0,0,43,40,0,43,32,0
09-05-45,0,35,0,0,0,44,40,0,43,32,0
09-05-55,0,35,0,0,0,44,40,0,43,0,0
09-06-05,0,35,0,0,0,44,40,0,43,0,0
09-06-15,0,35,0,0,0,44,40,0,43,0,0
09-06-25,0,35,0,0,0,44,40,0,43,32,0
09-06-35,0,35,0,0,0,44,40,0,42,0,0
09-06-45,0,35,0,0,0,44,40,0,43,0,0
09-06-55,0,35,0,0,0,44,40,0,43,0,0
09-07-05,0,35,0,0,0,44,40,0,42,0,0
09-07-15,0,35,0,0,0,44,40,0,43,0,0
09-07-25,0,35,0,0,0,44,40,0,42,0,0
09-07-35,0,35,0,0,0,44,40,0,43,0,0
09-07-45,0,35,0,0,0,44,40,0,42,0,0
09-07-55,0,35,0,0,0,44,40,0,43,0,0
09-08-05,0,35,0,0,0,44,40,0,43,32,0
09-08-15,0,35,0,0,0,44,40,0,43,0,0
09-08-25,0,35,0,0,0,44,40,0,43,0,0
09-08-35,0,35,0,0,0,44,40,0,42,0,0
09-08-45,0,35,0,0,0,44,40,0,42,32,0
09-08-55,0,35,0,0,0,44,40,0,43,0,0
09-09-05,0,35,0,0,0,44,40,0,42,32,0
09-09-15,0,35,0,0,0,44,40,0,42,32,0
09-09-25,0,35,0,0,0,44,40,0,42,32,0
09-09-35,0,35,0,0,0,44,40,0,42,0,0
09-09-45,0,35,0,0,0,44,40,0,43,0,0
09-09-55,0,35,0,0,0,43,40,0,42,32,0
09-10-05,0,35,0,0,0,44,40,0,43,0,0
09-10-15,0,35,0,0,0,44,40,0,43,0,0
09-10-25,0,35,0,0,0,44,40,0,43,32,0
09-10-35,0,35,0,0,0,44,40,0,43,32,0
09-10-45,33,35,0,0,0,44,40,0,43,0,0
09-10-55,0,35,0,0,0,44,40,0,43,0,0
09-11-05,0,35,0,0,0,44,40,0,43,0,0
09-11-15,0,35,0,0,0,44,40,0,43,0,0
09-11-25,0,35,0,0,0,44,39,0,43,0,0
09-11-35,0,35,0,0,0,44,40,0,43,0,0
09-11-45,0,35,0,0,0,44,40,0,43,32,0
09-11-55,0,35,0,0,0,44,40,0,43,0,0
09-12-05,0,35,0,0,0,44,40,0,43,0,0
09-12-15,0,35,0,0,0,44,40,0,42,32,0
09-12-25,0,35,0,0,0,44,40,0,42,0,0
09-12-35,0,35,0,0,0,44,40,0,43,0,0
09-12-45,0,35,0,0,0,44,40,0,43,32,0
09-12-55,0,35,0,0,0,44,40,0,43,32,0
09-13-05,0,35,0,0,0,44,40,0,42,32,0
09-13-15,0,35,0,0,0,44,39,0,42,0,0
09-13-25,0,35,0,0,0,44,40,0,42,32,0
09-13-35,0,35,0,0,0,44,40,0,43,32,0
09-13-45,0,35,0,0,0,44,40,0,42,0,0
09-13-55,0,35,0,0,0,44,40,0,42,32,0
09-14-05,0,35,0,0,0,44,40,0,43,0,0
09-14-15,0,35,0,0,0,44,40,0,43,32,0
09-14-25,0,35,0,0,0,44,40,0,42,0,0
09-14-35,0,35,0,0,0,44,40,0,43,0,0
09-14-45,0,35,0,0,0,44,40,0,43,0,0
09-14-55,0,35,0,0,0,44,40,0,42,0,0
09-15-05,0,35,0,0,0,44,40,0,42,0,0
09-15-15,0,35,0,0,0,43,40,0,42,32,0
09-15-25,0,35,0,0,0,44,39,0,43,32,0
09-15-35,0,35,0,0,0,44,40,0,42,32,0
09-15-45,0,35,0,0,0,44,40,0,43,0,0
09-15-55,0,35,0,0,0,44,40,0,42,0,0
09-16-05,0,35,0,0,0,44,40,0,43,32,0
09-16-15,0,35,0,0,0,44,39,0,43,0,0
09-16-25,0,35,0,0,0,44,40,0,43,32,0
09-16-35,0,35,0,0,0,44,40,0,43,32,0
09-16-45,0,35,0,0,0,44,40,0,43,0,0
09-16-55,0,35,0,0,0,44,40,0,42,0,0
09-17-05,0,35,0,0,0,43,39,0,43,32,0
09-17-15,0,35,0,0,0,44,40,0,42,0,0
09-17-25,0,35,0,0,0,44,40,0,42,32,0
09-17-35,0,35,0,0,0,44,40,0,42,32,0
09-17-45,0,35,0,0,0,44,40,0,43,0,0
09-17-55,0,35,0,0,0,44,40,0,43,32,0
09-18-05,0,35,0,0,0,44,40,0,42,32,0
09-18-15,0,35,0,0,0,44,40,0,43,32,0
09-18-25,0,35,0,0,0,44,40,0,42,32,0
09-18-35,0,35,0,0,0,44,40,0,43,32,0
09-18-45,0,35,0,0,0,43,39,0,43,32,0
09-18-55,0,36,0,0,0,44,40,0,43,32,0
09-19-05,0,35,0,0,0,44,39,0,43,32,0
09-19-15,0,35,0,0,32,45,39,0,43,32,0
09-19-25,0,36,0,0,0,44,40,0,44,32,0
09-19-35,0,36,0,0,0,45,41,0,43,32,0
09-19-45,0,36,0,0,0,44,41,0,43,32,0
09-19-55,0,37,0,0,32,44,40,0,43,32,0
09-20-05,0,34,0,0,33,44,38,0,43,32,0
09-20-15,0,34,0,0,0,44,38,0,44,32,0
09-20-25,0,35,0,0,32,43,38,0,44,32,0
09-20-35,0,35,0,0,32,44,38,0,43,32,0
09-20-45,0,35,0,0,32,44,35,0,43,32,0
09-20-55,0,35,0,0,0,43,35,0,44,0,0
09-21-05,0,33,0,0,0,43,33,0,33,0,0
09-21-15,0,32,0,0,0,44,33,0,33,32,0
09-21-25,0,33,0,0,0,43,33,0,0,32,0
09-21-35,0,32,0,0,0,44,32,0,0,32,0
09-21-45,0,32,0,0,0,44,33,0,0,32,0
09-21-55,0,32,0,0,0,44,32,0,33,33,0
09-22-05,0,32,0,0,0,44,32,0,0,32,0
09-22-15,0,32,0,0,0,45,34,0,0,33,0
09-22-25,0,32,0,0,0,46,33,0,0,32,0
09-22-35,0,33,0,0,0,46,32,0,34,32,0
09-22-45,0,32,0,0,0,46,0,0,33,32,0
09-22-55,0,32,0,0,0,46,37,0,0,32,0
09-23-05,0,32,0,0,0,46,32,0,0,32,0
09-23-15,0,32,0,0,32,47,38,0,0,32,0
09-23-25,0,32,0,0,32,46,0,0,0,32,0
09-23-35,0,32,0,0,0,46,0,0,0,32,0
09-23-45,0,0,0,0,33,45,0,0,32,32,0
09-23-55,0,0,0,0,33,45,0,0,0,0,0
09-24-05,0,0,0,0,0,46,0,0,0,0,0
09-24-15,0,0,0,0,0,45,0,0,0,32,0
09-24-25,0,32,0,0,0,45,0,0,0,32,0
09-24-35,0,32,0,0,0,46,0,0,0,32,0
09-24-45,0,0,0,0,0,46,0,0,0,0,0
09-24-55,0,0,0,0,0,45,32,0,0,32,0
09-25-05,0,32,0,0,0,46,0,0,0,33,0
09-25-15,0,0,0,0,0,46,0,0,0,32,0
09-25-25,0,0,0,0,0,46,0,0,34,32,0
09-25-35,0,0,0,0,32,45,0,0,0,32,0
09-25-45,0,32,0,0,38,44,0,0,0,32,0
09-25-55,0,32,0,0,35,45,32,0,0,32,0
09-26-05,0,32,0,0,0,44,40,0,0,0,0
09-26-15,0,32,0,0,0,44,36,0,0,0,0
09-26-25,0,32,0,0,0,45,35,0,0,32,0
09-26-35,0,32,0,0,0,44,39,0,0,32,0
09-26-45,0,32,0,0,0,44,36,0,0,32,0
09-26-55,0,32,0,0,0,45,34,0,0,0,0
09-27-05,0,32,0,0,0,45,32,0,0,32,0
09-27-15,0,32,0,0,0,44,33,0,0,0,0
09-27-25,0,32,0,0,0,45,0,0,0,0,0
09-27-35,0,32,0,0,0,45,0,0,0,0,0
09-27-45,0,32,0,0,0,45,0,0,0,0,0
09-27-55,0,32,0,0,0,45,0,0,0,0,0
09-28-05,0,32,0,0,0,45,0,0,0,32,0
09-28-15,0,32,0,0,0,45,0,0,0,0,0
09-28-25,0,32,0,0,0,45,0,0,0,0,0
09-28-35,0,32,0,0,0,44,0,0,0,32,0
09-28-45,0,32,0,0,0,45,0,0,0,32,0
09-28-55,0,32,0,0,0,45,0,0,0,32,0
09-29-05,0,32,0,0,32,45,0,0,0,0,0
09-29-15,0,32,0,0,0,45,0,0,0,32,0
09-29-25,0,0,0,0,32,46,0,0,0,33,0
09-29-35,0,0,0,0,32,46,0,0,0,0,0
09-29-45,0,32,0,0,0,45,0,0,0,40,0
09-29-55,0,32,0,0,0,45,0,0,0,55,0
09-30-05,0,32,0,0,0,46,0,0,0,32,0
09-30-15,0,32,0,0,0,47,0,0,0,0,0
09-30-25,0,32,0,0,0,46,0,0,0,32,0
09-30-35,0,32,0,0,0,44,0,0,0,39,0
09-30-45,0,32,0,0,0,42,0,0,0,35,0
09-30-55,0,32,0,0,0,42,0,0,0,36,0
09-31-05,0,33,0,0,0,41,0,0,0,38,0
09-31-15,0,32,0,0,0,45,0,0,0,39,0
09-31-25,0,32,0,0,0,42,0,0,0,43,0
09-31-35,0,32,0,0,0,46,0,0,0,47,0
09-31-45,0,0,0,0,0,46,0,0,0,51,0
09-31-55,0,32,0,0,0,45,0,0,0,46,0
09-32-05,0,0,0,0,0,43,0,0,0,45,0
09-32-15,0,0,0,0,0,44,0,0,0,46,0
09-32-25,0,0,0,0,0,44,0,0,0,46,0
09-32-35,0,0,0,0,0,43,0,0,0,44,0
09-32-45,0,0,0,0,0,45,0,0,0,45,0
09-32-55,0,32,0,0,0,47,0,0,0,44,0
09-33-05,0,32,0,0,0,47,0,0,0,45,0
09-33-15,0,32,0,0,0,48,0,0,0,42,0
09-33-25,0,34,0,0,0,47,0,0,0,38,0
09-33-35,0,32,0,0,0,42,0,0,0,42,0
09-33-45,0,32,0,0,0,39,0,0,0,48,0
09-33-55,0,32,0,0,0,40,0,0,0,44,0
09-34-05,0,0,0,0,0,40,0,0,0,32,0
09-34-15,0,0,0,0,0,41,0,0,0,0,0
09-34-25,0,0,0,0,0,41,0,0,0,0,0
09-34-35,0,32,0,0,0,40,0,0,0,0,0
09-34-45,0,32,0,0,0,40,0,0,0,0,0
09-34-55,0,32,0,0,0,40,0,0,0,0,0
09-35-05,0,32,0,0,0,37,0,0,0,0,0
09-35-15,0,32,0,0,0,32,0,0,0,0,0
09-35-25,0,32,0,0,0,0,0,0,32,0,0
09-35-35,0,32,0,0,0,0,0,0,32,0,0
09-35-45,0,32,0,0,0,0,0,0,32,0,0
09-35-55,0,32,0,0,0,32,0,0,0,0,0
09-36-05,0,32,0,0,0,32,0,0,0,0,0
09-36-15,0,32,0,0,0,32,0,0,33,0,0
09-36-25,0,32,0,0,0,0,0,0,34,0,0
09-36-35,0,32,0,0,0,0,0,0,0,0,0
09-36-45,0,32,0,0,0,32,0,0,0,0,0
09-36-55,0,33,0,0,0,0,0,0,0,0,0
09-37-05,0,34,0,0,0,0,0,0,0,0,0
09-37-15,0,33,0,0,0,33,0,0,0,0,0
09-37-25,0,33,0,0,0,0,0,0,0,0,0
09-37-35,0,33,0,0,0,0,0,0,0,32,0
09-37-45,0,33,0,0,0,0,0,0,0,0,0
09-37-55,0,33,0,0,0,0,0,0,0,0,0
09-38-05,0,33,0,0,0,0,0,0,0,0,0
09-38-15,0,33,0,0,0,0,0,0,0,0,0
09-38-25,0,33,0,0,0,0,0,0,0,0,0
09-38-35,0,33,0,0,0,0,0,0,0,0,0
09-38-45,0,33,0,0,0,0,0,0,0,32,0
09-38-55,0,33,0,0,0,0,0,0,0,0,0
09-39-05,0,33,0,0,0,0,0,0,0,0,0
09-39-15,0,33,0,0,0,0,0,0,0,0,0
09-39-25,0,33,0,0,0,0,0,0,0,0,0
09-39-35,0,33,0,0,0,0,0,0,0,0,0
09-39-45,0,33,0,0,0,0,0,0,0,0,0
09-39-55,0,33,0,0,0,0,0,0,0,0,0
09-40-05,0,33,0,0,0,0,0,0,0,0,0
09-40-15,0,33,0,0,0,0,0,0,0,0,0
09-40-25,0,33,0,0,0,0,0,0,0,0,0
09-40-35,0,33,0,0,0,0,0,0,0,0,0
09-40-45,0,33,0,0,0,0,33,0,0,0,0
09-40-55,0,33,0,0,0,0,0,0,0,0,0
09-41-05,0,33,0,0,0,0,0,0,0,0,0
09-41-15,0,33,0,0,0,0,0,0,0,0,0
09-41-25,0,33,0,0,0,0,0,0,0,0,0
09-41-35,0,33,0,0,0,0,32,0,0,0,0
09-41-45,0,33,0,0,0,0,32,0,0,0,0
09-41-55,0,33,0,0,0,0,32,0,0,0,0
09-42-05,0,33,0,0,0,0,0,0,0,0,0
09-42-15,0,33,0,0,0,0,0,0,0,0,0
09-42-25,0,33,0,0,0,0,0,0,0,0,0
09-42-35,0,33,0,0,0,0,0,0,0,0,0
09-42-45,0,33,0,0,0,0,0,0,0,0,0
09-42-55,0,33,0,0,0,0,32,0,0,0,0
09-43-05,0,33,0,0,0,0,0,0,0,0,0
09-43-15,0,33,0,0,0,0,32,0,0,0,0
09-43-25,0,33,0,0,0,0,0,0,0,0,0
09-43-35,0,33,0,0,0,0,32,0,0,0,0
09-43-55,0,32,0,0,0,0,0,0,0,0,0
09-44-15,0,32,0,0,0,0,0,0,0,0,0
09-44-25,0,0,0,0,0,0,32,0,0,0,0
09-44-55,0,32,0,0,0,0,0,0,0,0,0
09-45-15,0,32,0,0,0,0,32,0,0,0,0
09-45-55,0,32,0,0,0,0,0,0,0,0,0
09-46-45,0,0,0,0,0,0,32,0,0,0,0
09-55-15,0,0,0,0,0,0,32,0,0,0,0
10-14-55,0,34,0,0,0,0,34,0,0,0,0
10-15-05,0,33,0,0,0,0,0,0,0,0,0
10-15-35,0,33,0,0,0,0,0,0,0,0,0
10-17-25,0,36,0,0,0,0,0,0,0,0,0
10-17-45,0,0,0,0,0,0,0,0,34,0,0
10-17-55,0,0,0,0,0,0,0,0,40,0,0
10-18-05,0,0,0,0,0,0,0,0,46,0,0
10-18-15,0,0,0,0,0,0,0,0,39,0,0
10-18-25,0,0,0,0,0,0,0,0,35,0,0
10-18-35,0,0,0,0,0,0,0,0,33,0,0
10-18-55,0,0,0,0,0,0,0,0,0,33,0
10-19-55,0,0,0,0,0,0,0,0,32,0,0
10-22-05,0,0,0,0,0,0,0,0,32,0,0
10-22-25,0,0,0,0,0,0,0,0,47,0,0
10-22-35,0,0,0,0,0,0,0,0,34,0,0
10-22-45,0,0,0,0,0,0,0,0,33,0,0
10-23-05,0,0,0,0,0,0,0,0,32,0,0
10-23-25,0,0,0,0,0,0,0,0,42,0,0
10-23-35,0,0,0,0,0,0,0,0,33,0,0
10-23-45,0,0,0,0,0,0,33,0,0,0,0
10-25-55,0,0,0,0,0,0,0,0,32,0,0
10-26-05,0,0,0,0,0,0,0,0,32,0,0
10-26-45,0,0,0,0,0,0,32,0,0,0,0
10-26-55,0,0,0,0,0,0,32,0,0,0,0
10-27-55,0,32,0,0,0,0,32,0,0,0,0
10-32-25,0,0,0,0,0,0,0,0,0,35,0
10-34-25,0,0,0,0,0,0,32,0,0,0,0
10-34-35,0,0,0,0,0,0,33,0,0,0,0
10-34-45,0,0,0,0,0,0,35,0,0,40,0
10-36-05,0,0,0,0,0,0,0,0,34,32,0
10-36-15,0,0,0,0,0,0,32,0,0,32,0
10-36-35,0,0,0,0,0,0,0,0,0,34,0
10-36-45,0,0,0,0,0,0,0,0,0,33,0
10-36-55,0,0,0,0,0,0,0,0,0,33,0
10-37-05,0,0,0,0,0,0,0,0,0,32,0
10-37-15,0,0,0,0,0,0,0,0,0,32,0
10-37-25,0,0,0,0,0,0,0,0,0,35,0
10-37-35,0,0,0,0,0,0,0,0,0,37,0
10-37-45,0,0,0,0,0,0,0,0,0,32,0
10-37-55,0,0,0,0,0,0,0,0,0,33,0
10-40-35,0,0,0,0,0,0,0,0,33,0,0
10-41-15,0,0,0,0,0,0,0,0,0,32,0
10-41-25,0,0,0,0,0,0,0,0,0,41,0
10-41-55,0,32,0,0,0,0,0,0,0,44,0
10-42-05,0,0,0,0,0,0,0,0,32,0,0
10-42-15,0,0,0,0,0,0,32,0,0,0,0
10-42-25,0,0,0,0,0,0,0,0,0,33,0
10-42-35,0,0,0,0,0,0,0,0,0,32,0
10-42-45,0,0,0,0,0,0,0,0,0,32,0
