date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-27-45,0,64,0,0,40,55,52,0,0,58,0
09-27-55,0,64,0,0,42,56,52,0,0,57,0
09-28-05,0,64,0,0,42,54,52,0,0,58,0
09-28-15,0,64,0,0,45,55,51,0,0,57,0
09-28-25,0,64,0,0,40,54,50,0,0,59,0
09-28-35,0,64,0,0,38,55,52,0,0,59,0
09-28-45,0,64,0,0,40,55,52,0,0,59,0
09-28-55,0,64,0,0,43,54,53,0,0,58,0
09-29-05,0,64,0,0,45,55,53,0,0,57,0
09-29-15,0,64,0,0,43,54,52,0,0,58,0
09-29-25,0,64,0,0,43,55,51,0,0,59,0
09-29-35,0,64,0,0,43,55,52,0,0,59,0
09-29-45,0,64,0,0,48,56,51,0,0,58,0
09-29-55,0,64,0,0,48,56,49,0,0,57,0
09-30-05,0,65,0,0,48,56,52,0,0,57,0
09-30-15,0,64,0,0,44,56,51,0,0,57,0
09-30-25,0,64,0,0,45,56,50,0,0,58,0
09-30-35,0,64,0,0,44,56,51,0,0,58,0
09-30-45,0,64,0,0,42,56,41,0,0,58,0
09-30-55,0,64,0,0,34,56,40,0,0,57,0
09-31-05,0,64,0,0,35,57,43,0,0,57,0
09-31-15,0,64,0,0,33,57,45,0,0,57,0
09-31-25,0,64,0,0,34,57,45,0,0,57,0
09-31-35,0,64,0,0,33,57,42,0,0,56,0
09-31-45,0,64,0,0,35,56,41,0,0,56,0
09-31-55,0,64,0,0,32,57,37,0,0,58,0
09-32-05,0,64,0,0,34,56,40,0,0,57,0
09-32-15,0,64,0,0,33,56,41,0,0,57,0
09-32-25,0,64,0,0,35,57,36,0,0,57,0
09-32-35,0,64,0,0,44,57,38,0,0,57,0
09-32-45,0,64,0,0,54,56,38,0,0,57,0
09-32-55,0,64,0,0,43,56,36,0,0,57,0
09-33-05,0,64,0,0,34,56,38,0,0,58,0
09-33-15,0,64,0,0,0,56,34,0,0,58,0
09-33-25,0,64,0,0,0,56,0,0,0,58,0
09-33-35,0,63,0,0,0,56,33,0,0,57,0
09-33-45,0,64,0,0,0,56,36,0,0,58,0
09-33-55,0,64,0,0,0,56,42,0,0,57,0
09-34-05,0,64,0,0,0,56,41,0,0,58,0
09-34-15,0,64,0,0,32,56,42,0,0,57,0
09-34-25,0,64,0,0,0,56,39,0,0,58,0
09-34-35,0,64,0,0,32,56,43,0,0,54,0
09-34-45,0,64,0,0,0,56,41,0,0,42,0
09-34-55,0,64,0,0,0,56,37,0,0,38,0
09-35-05,0,64,0,0,0,56,39,0,0,35,0
09-35-15,0,64,0,0,0,56,44,0,0,33,0
09-35-25,0,64,0,0,0,56,40,0,0,38,0
09-35-35,0,64,0,0,0,56,41,0,0,36,0
09-35-45,0,64,0,0,0,56,35,0,0,33,0
09-35-55,0,64,0,0,0,56,0,0,0,0,0
09-36-05,0,64,0,0,0,56,35,0,0,36,0
09-36-15,0,64,0,0,0,55,32,0,0,35,0
09-36-25,0,64,0,0,0,56,0,0,0,34,0
09-36-35,0,64,0,0,0,55,36,0,0,32,0
09-36-45,0,64,0,0,0,55,38,0,0,32,0
09-36-55,0,65,0,0,0,56,33,0,0,32,0
09-37-05,0,64,0,0,0,56,34,0,0,33,0
09-37-15,0,65,0,0,0,56,34,0,0,34,0
09-37-25,0,64,0,0,35,55,33,0,0,33,0
09-37-35,0,65,0,0,36,55,40,0,0,0,0
09-37-45,0,65,0,0,32,55,42,0,0,39,0
09-37-55,0,63,0,0,32,55,33,0,0,34,0
09-38-05,0,63,0,0,32,55,40,0,0,37,0
09-38-15,0,63,0,0,32,55,40,0,0,36,0
09-38-25,0,64,0,0,0,56,38,0,0,33,0
09-38-35,0,63,0,0,33,55,40,0,0,32,0
09-38-45,0,63,0,0,32,54,35,0,0,40,0
09-38-55,0,64,0,0,0,55,51,0,0,33,0
09-39-05,0,63,0,0,33,56,37,0,0,33,0
09-39-15,0,63,0,0,35,56,36,0,0,33,0
09-39-25,0,63,0,0,33,55,32,0,0,33,0
09-39-35,0,63,0,0,33,56,33,0,0,33,0
09-39-45,0,62,0,0,32,56,33,0,0,0,0
09-39-55,0,62,0,0,32,56,33,0,0,33,0
09-40-05,0,63,0,0,0,54,0,0,0,0,0
09-40-15,0,64,0,0,0,55,0,0,0,32,0
09-40-25,0,64,0,0,0,55,0,0,0,32,0
09-40-35,0,64,0,0,0,54,0,0,0,0,0
09-40-45,0,64,0,0,0,54,0,0,0,0,0
09-40-55,0,63,0,0,0,55,0,0,0,0,0
09-41-05,0,64,0,0,33,55,0,0,0,0,0
09-41-15,0,64,0,0,33,56,0,0,0,0,0
09-41-25,0,64,0,0,0,55,0,0,0,32,0
09-41-35,0,64,0,0,0,55,0,0,0,32,0
09-41-45,0,64,0,0,0,55,0,0,0,0,0
09-41-55,0,64,0,0,0,55,34,0,0,0,0
09-42-05,0,65,0,0,0,55,35,0,0,35,0
09-42-15,0,63,0,0,0,56,37,0,0,33,0
09-42-25,0,64,0,0,0,56,34,0,0,33,0
09-42-35,0,65,0,0,32,55,35,0,0,0,0
09-42-45,0,65,0,0,32,55,34,0,0,32,0
09-42-55,0,65,0,0,0,55,33,0,0,32,0
09-43-05,0,65,0,0,0,56,36,0,0,32,0
09-43-15,0,65,0,0,0,56,33,0,0,32,0
09-43-25,0,64,0,0,32,55,33,0,0,0,0
09-43-35,0,64,0,0,0,55,32,0,0,32,0
09-43-45,0,65,0,0,0,55,33,0,0,0,0
09-43-55,0,65,0,0,32,56,33,0,0,32,0
09-44-05,0,64,0,0,0,56,33,0,0,33,0
09-44-15,0,65,0,0,0,53,33,0,0,33,0
09-44-25,0,65,0,0,32,49,33,0,0,33,0
09-44-35,0,64,0,0,0,44,32,0,0,0,0
09-44-45,0,64,0,0,33,51,33,0,0,32,0
09-44-55,0,65,0,0,32,51,37,0,0,32,0
09-45-05,0,64,0,0,0,50,36,0,0,33,0
09-45-15,0,64,0,0,0,43,34,0,0,34,0
09-45-25,0,64,0,0,0,45,35,0,0,32,0
09-45-35,0,64,0,0,0,41,34,0,0,32,0
09-45-45,0,65,0,0,0,0,34,0,0,33,0
09-45-55,0,64,0,0,0,0,42,0,0,33,0
09-46-05,0,64,0,0,0,0,34,0,0,33,0
09-46-15,0,65,0,0,0,0,36,0,0,32,0
09-46-25,0,65,0,0,33,0,33,0,0,33,0
09-46-35,0,64,0,0,34,0,33,0,0,32,0
