date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-18-45,44,36,59,59,58,54,61,40,0,34,0
09-18-55,44,35,60,59,58,55,62,41,0,34,0
09-19-05,44,36,60,58,58,54,62,41,0,35,0
09-19-15,44,37,59,59,58,55,61,41,0,35,0
09-19-25,44,36,60,59,58,55,62,40,0,35,0
09-19-35,44,37,60,58,58,55,62,41,32,35,0
09-19-45,44,35,59,57,58,55,61,41,0,35,0
09-19-55,44,40,60,59,58,56,62,41,0,34,0
09-20-05,44,38,60,58,58,55,62,41,32,36,0
09-20-15,44,40,60,58,58,55,62,41,0,35,0
09-20-25,44,41,60,58,58,53,61,40,0,35,0
09-20-35,44,39,60,58,58,56,62,40,0,35,0
09-20-45,44,37,60,59,58,54,61,39,0,36,0
09-20-55,44,36,60,58,58,56,61,40,32,35,0
09-21-05,44,36,60,58,57,55,61,40,32,35,0
09-21-15,43,38,59,58,58,56,61,40,32,35,0
09-21-25,44,39,60,58,58,56,61,40,33,36,0
09-21-35,44,37,60,58,57,55,61,38,33,36,0
09-21-45,44,42,60,59,58,56,60,37,32,35,0
09-21-55,43,41,60,58,58,55,61,37,32,35,0
09-22-05,44,40,61,58,58,54,59,37,33,34,0
09-22-15,43,38,61,59,58,55,51,34,33,34,0
09-22-25,44,40,60,58,57,55,38,36,34,36,0
09-22-35,44,39,60,58,58,55,48,35,0,36,0
09-22-45,44,42,60,58,57,56,36,35,32,35,0
09-22-55,44,37,59,58,57,54,37,36,32,35,0
09-23-05,44,38,60,58,58,56,40,35,32,35,0
09-23-15,44,37,60,59,58,55,47,35,32,35,0
09-23-25,45,36,60,58,58,54,32,35,0,35,0
09-23-35,44,38,60,58,57,56,40,36,32,36,0
09-23-45,44,37,59,58,58,55,0,34,32,35,0
09-23-55,44,39,60,59,57,55,0,34,32,35,0
09-24-05,44,37,60,58,58,55,0,35,32,35,0
09-24-15,44,37,59,58,57,55,0,36,32,35,0
09-24-25,44,37,60,58,58,55,0,34,32,35,0
09-24-35,44,38,61,58,58,55,0,37,34,34,0
09-24-45,44,37,60,59,57,55,0,35,0,36,0
09-24-55,44,40,60,59,58,56,0,33,32,35,0
09-25-05,44,39,60,59,58,56,0,36,0,34,0
09-25-15,44,39,60,58,58,55,0,35,32,35,0
09-25-25,44,40,59,58,58,55,0,36,0,35,0
09-25-35,43,40,60,58,58,55,0,35,32,35,0
09-25-45,44,40,61,59,58,55,0,37,0,34,0
09-25-55,44,40,60,58,58,55,0,34,0,34,0
09-26-05,43,38,60,58,58,54,0,34,0,35,0
09-26-15,44,38,61,58,58,54,0,35,0,34,0
09-26-25,44,41,60,59,57,55,0,34,33,35,0
09-26-35,43,40,60,59,57,55,0,34,32,34,0
09-26-45,43,40,60,58,57,55,0,34,32,35,0
09-26-55,44,39,60,58,57,55,0,34,32,35,0
09-27-05,43,40,60,58,57,56,0,32,32,35,0
09-27-15,43,40,60,59,57,53,0,0,32,36,0
09-27-25,43,38,60,58,57,54,0,0,33,35,0
09-27-35,43,38,60,58,57,53,0,0,33,35,0
09-27-45,44,38,60,58,57,56,0,0,32,34,0
09-27-55,43,37,59,59,57,54,0,0,32,36,0
09-28-05,43,47,59,59,57,49,0,34,32,36,0
09-28-15,44,50,60,58,57,40,0,34,0,37,0
09-28-25,44,49,60,58,57,44,0,34,32,37,0
09-28-35,44,50,59,57,57,44,0,33,32,37,0
09-28-45,44,50,59,58,56,46,0,34,32,35,0
09-28-55,44,51,59,58,57,44,0,33,33,38,0
09-29-05,45,50,59,58,58,46,0,34,32,39,0
09-29-15,44,51,60,57,57,45,0,34,32,37,0
09-29-25,45,52,60,58,56,48,0,34,33,38,0
09-29-35,45,53,59,58,55,48,0,35,32,36,0
09-29-45,43,49,59,57,54,46,0,34,0,36,0
09-29-55,43,50,59,57,54,44,0,34,0,37,0
09-30-05,43,50,60,58,54,43,0,34,32,37,0
09-30-15,44,49,60,57,54,46,0,34,32,36,0
09-30-25,44,51,60,56,53,45,0,34,32,38,0
09-30-35,44,53,59,57,53,44,0,34,32,35,0
09-30-45,44,53,60,57,53,45,0,35,32,0,0
