date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
09-00-05,53,0,63,65,0,42,59,48,0,0,0,61,56,63,0,0
09-00-15,53,0,64,65,0,39,59,49,0,0,33,61,57,63,0,0
09-00-25,53,0,63,65,64,39,60,48,0,0,35,61,56,62,0,0
09-00-35,53,0,64,65,64,40,60,47,0,0,0,61,56,62,0,0
09-00-45,53,0,64,65,64,40,60,49,0,0,0,61,56,63,0,0
09-00-55,36,0,63,65,64,37,59,48,0,0,0,61,57,63,0,0
09-01-05,35,0,64,66,64,38,58,48,0,0,33,61,56,64,0,0
09-01-15,33,0,63,66,64,39,59,48,0,0,0,61,57,63,0,0
09-01-25,32,0,64,33,64,39,59,47,0,0,0,61,57,63,0,0
09-01-35,32,0,64,38,64,40,58,46,0,0,0,61,57,62,0,0
09-01-45,33,0,63,46,64,39,59,48,0,0,0,62,57,62,0,0
09-01-55,33,0,63,42,64,37,59,48,0,0,0,61,57,62,0,0
09-02-05,32,0,64,58,64,39,59,47,0,0,0,62,57,62,0,0
09-02-15,33,0,64,61,64,37,59,48,0,0,0,60,37,63,0,0
09-02-25,33,0,63,61,63,38,59,48,0,0,0,61,33,62,0,0
09-02-35,32,0,63,62,64,40,60,49,0,0,0,62,33,63,0,0
09-02-45,33,0,63,61,64,42,60,50,0,0,0,61,35,63,0,0
09-02-55,33,0,64,60,64,39,61,51,0,0,0,61,35,62,0,0
09-03-05,34,0,51,33,43,40,39,51,0,0,0,46,42,45,0,0
09-03-15,0,0,42,39,37,40,34,38,0,0,0,40,35,43,0,0
09-03-25,0,0,46,44,40,41,41,36,0,0,0,44,36,51,0,0
09-03-35,0,0,42,43,38,40,38,36,0,0,0,41,35,47,0,0
09-03-45,0,0,43,43,37,38,39,34,0,0,0,47,36,53,0,0
09-03-55,0,0,41,45,40,41,45,47,0,0,0,46,37,49,0,0
09-04-05,0,0,62,50,48,41,60,56,0,0,0,47,45,53,0,0
09-04-15,0,0,63,51,45,42,62,55,0,0,0,59,47,45,0,0
09-04-25,0,0,62,50,47,42,61,55,0,0,0,59,46,0,0,0
09-04-35,0,0,63,50,63,41,61,55,0,0,0,59,48,49,0,0
09-04-45,0,0,62,51,63,40,61,55,0,0,0,59,48,44,0,0
09-04-55,0,0,62,51,63,41,61,56,0,0,0,60,49,44,0,0
09-05-05,0,0,62,49,63,40,61,55,0,0,0,56,45,51,0,0
09-05-15,0,0,62,50,64,40,61,55,0,0,0,0,44,50,0,0
09-05-25,0,0,63,50,64,42,61,54,0,0,0,0,47,51,0,0
09-05-35,0,0,63,50,64,42,61,55,0,0,0,0,47,50,0,0
09-05-45,0,0,63,50,64,42,61,55,0,0,0,0,47,52,0,0
09-05-55,0,0,63,50,64,41,61,55,0,0,0,0,47,51,0,0
09-06-05,0,0,62,50,64,41,61,55,0,0,0,0,47,52,0,0
09-06-15,0,0,63,50,63,38,61,55,0,0,0,0,47,51,0,0
09-06-25,0,0,63,51,63,38,61,55,0,0,0,0,47,51,0,0
09-06-35,0,0,63,51,64,37,61,55,0,0,0,0,47,51,0,0
09-06-45,0,0,63,50,64,37,61,55,0,0,0,0,47,51,0,0
09-06-55,0,0,63,50,64,38,61,55,0,0,0,0,47,51,0,0
09-07-05,0,0,63,50,64,37,61,54,0,0,0,0,47,52,0,0
09-07-15,0,0,62,51,64,39,61,55,0,0,0,0,47,52,0,0
09-07-25,0,0,63,50,63,37,61,55,0,0,0,0,47,51,0,0
09-07-35,0,0,63,51,64,37,61,55,0,0,0,0,47,51,0,0
09-07-45,0,0,63,51,64,39,61,55,0,0,0,0,47,51,0,0
09-07-55,0,0,63,50,63,37,61,55,0,0,0,0,47,51,0,0
09-08-05,0,0,62,50,64,39,61,55,0,0,0,0,47,52,0,0
09-08-15,0,0,63,50,64,40,61,55,0,0,0,0,47,51,0,0
09-08-25,0,0,63,50,64,40,61,55,0,0,0,0,47,52,0,0
09-08-35,0,0,63,50,64,38,61,55,0,0,0,0,47,51,0,0
09-08-45,0,0,63,50,64,39,61,55,0,0,0,0,47,52,0,0
09-08-55,0,0,63,50,63,39,62,55,0,0,0,0,47,50,0,0
09-09-05,0,0,63,51,63,42,61,54,0,0,0,0,47,51,0,0
09-09-15,0,0,63,51,63,42,61,55,0,0,0,0,47,51,0,0
09-09-25,0,0,63,51,64,43,61,55,0,0,0,0,47,50,0,0
09-09-35,0,0,63,51,64,42,61,55,0,0,0,0,47,50,0,0
09-09-45,0,0,62,51,64,43,62,55,0,0,0,0,47,50,0,0
09-09-55,0,0,63,51,63,43,61,55,0,0,0,0,47,50,0,0
09-10-05,0,0,63,51,64,43,61,55,0,0,0,0,47,50,0,0
09-10-15,0,0,63,50,63,41,61,54,0,0,0,0,47,50,0,0
09-10-25,0,0,63,51,64,41,61,54,0,0,0,0,47,50,0,0
09-10-35,0,0,63,51,64,42,61,55,0,0,0,0,47,50,0,0
09-10-45,0,0,63,51,63,40,61,55,0,0,0,0,47,51,0,0
09-10-55,0,0,63,51,64,42,62,55,0,0,0,0,47,51,0,0
09-11-05,0,0,63,51,64,41,62,55,0,0,0,0,47,51,0,0
09-11-15,0,0,63,51,64,42,61,55,0,0,0,0,47,51,0,0
09-11-25,0,0,63,51,63,42,61,55,0,0,0,0,47,50,0,0
09-11-35,0,0,63,51,64,42,61,55,0,0,0,0,47,51,0,0
09-11-45,0,0,63,51,64,43,61,55,0,0,0,0,47,50,0,0
09-11-55,0,0,63,51,64,41,61,54,0,0,0,0,47,50,0,0
09-12-05,0,0,63,51,63,43,61,55,0,0,0,0,47,50,0,0
09-12-15,0,0,63,51,63,42,61,55,0,0,0,0,47,51,0,0
09-12-25,0,0,62,51,64,43,61,55,0,0,0,0,47,50,0,0
09-12-35,0,0,63,51,63,42,61,54,0,0,0,0,47,51,0,0
09-12-45,0,0,63,51,64,43,61,55,0,0,0,0,47,51,0,0
09-12-55,0,0,63,51,63,37,62,55,0,0,0,0,47,51,0,0
09-13-05,0,0,62,51,64,42,61,55,0,0,0,0,47,50,0,0
09-13-15,0,0,62,49,43,40,60,54,0,0,0,0,47,51,0,0
09-13-25,0,0,63,50,37,40,61,54,0,0,0,0,47,50,0,0
09-13-35,0,0,62,50,37,39,61,55,0,0,0,0,47,50,0,0
09-13-45,0,0,63,51,39,38,61,55,0,0,0,0,47,50,0,0
09-13-55,0,0,63,50,40,38,61,55,0,0,0,0,47,51,0,0
09-14-05,0,0,63,51,36,38,61,54,0,0,0,0,47,50,0,0
09-14-15,0,0,62,51,38,39,61,55,0,0,0,0,47,51,0,0
09-14-25,0,0,63,51,39,38,61,55,0,0,0,0,47,51,0,0
09-14-35,0,0,63,50,38,37,61,55,0,0,0,0,47,51,0,0
09-14-45,0,0,62,50,38,38,61,55,0,0,0,0,47,50,0,0
09-14-55,0,0,63,50,38,38,61,54,0,0,0,0,47,51,0,0
09-15-05,0,0,62,49,38,38,61,55,0,0,0,0,47,51,0,0
09-15-15,0,0,63,51,38,39,61,55,0,0,0,0,48,51,0,0
09-15-25,0,0,63,51,38,39,61,55,0,0,0,0,47,51,0,0
09-15-35,0,0,63,51,38,39,61,54,0,0,0,0,47,51,0,0
09-15-45,0,0,63,50,36,39,61,55,0,0,0,0,47,51,0,0
09-15-55,0,0,63,50,38,39,61,55,0,0,0,0,47,51,0,0
09-16-05,0,0,62,51,38,37,61,55,0,0,0,0,47,51,0,0
09-16-15,0,0,62,51,38,38,61,56,0,0,0,0,47,51,0,0
09-16-25,0,0,63,50,37,39,61,55,0,0,0,0,47,51,0,0
09-16-35,0,0,63,50,38,40,61,55,0,0,0,0,47,51,0,0
09-16-45,0,0,63,50,37,40,61,55,0,0,0,0,47,50,0,0
09-16-55,0,0,62,50,34,39,61,55,0,0,0,0,47,51,0,0
09-17-05,0,0,62,50,34,39,61,55,0,0,0,0,47,51,0,0
09-17-15,0,0,63,50,42,42,61,55,0,0,0,0,47,51,0,0
09-17-25,0,0,63,51,38,37,60,54,0,0,0,0,47,49,0,0
09-17-35,0,0,62,51,42,42,61,54,0,0,0,0,48,49,0,0
09-17-45,0,0,62,51,36,43,62,55,0,0,0,0,47,50,0,0
09-17-55,0,0,62,50,40,40,61,55,0,0,0,0,47,50,0,0
09-18-05,0,0,63,50,35,38,61,54,0,0,0,0,47,50,0,0
09-18-15,0,0,63,50,33,39,61,55,0,0,0,0,47,50,0,0
09-18-25,0,0,62,50,0,40,61,55,0,0,0,0,47,52,0,0
09-18-35,0,0,62,51,0,38,61,54,0,0,0,0,47,52,0,0
09-18-45,0,0,63,47,0,36,61,55,0,0,32,0,47,51,0,0
09-18-55,0,0,62,50,0,37,61,55,0,0,0,0,47,52,0,0
09-19-05,0,0,62,50,0,37,61,54,0,0,0,0,47,52,0,0
09-19-15,0,0,63,50,0,42,61,54,0,0,0,0,45,51,0,0
09-19-25,0,0,62,49,0,41,61,54,0,0,0,0,33,50,0,0
09-19-35,0,0,62,51,0,39,61,54,0,0,0,0,32,51,0,0
09-19-45,0,0,62,50,0,39,60,53,0,0,0,0,33,52,0,0
09-19-55,0,0,62,50,0,37,61,54,0,0,0,0,35,51,0,0
09-20-05,0,0,62,51,0,38,61,53,0,0,0,0,32,52,0,0
09-20-15,0,0,62,50,0,38,61,54,0,0,0,0,0,52,0,0
09-20-25,0,0,62,48,0,40,61,53,0,0,0,0,0,50,0,0
09-20-35,0,0,62,51,0,39,60,53,0,0,0,0,0,50,0,0
09-20-45,0,0,62,50,0,36,61,54,0,0,0,0,0,51,0,0
09-20-55,0,0,63,50,0,36,61,54,0,0,0,0,0,50,0,0
09-21-05,0,0,62,51,0,38,61,54,0,0,0,0,0,50,0,0
09-21-15,0,0,62,52,0,38,60,54,0,0,0,0,0,51,0,0
09-21-25,0,0,62,51,0,40,60,55,0,0,0,0,33,51,0,0
09-21-35,0,0,62,52,0,39,60,55,0,0,0,0,33,51,0,0
09-21-45,0,0,62,51,0,40,61,54,0,0,0,0,0,52,0,0
09-21-55,0,0,63,51,0,40,61,53,0,0,0,0,0,52,0,0
09-22-05,0,0,63,51,0,43,61,53,0,0,0,0,0,51,0,0
09-22-15,0,0,62,51,0,41,61,55,0,0,0,0,0,51,0,0
09-22-25,0,0,63,52,0,40,61,53,0,0,0,0,35,52,0,0
