date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-13-45,32,0,59,42,0,54,44,0,0,0,32,0,32,0,49,0
09-13-55,32,0,58,43,0,54,46,0,0,0,31,0,32,0,48,0
09-14-05,32,0,59,42,0,54,46,0,0,0,31,0,32,0,48,0
09-14-15,32,0,59,43,0,54,46,0,0,0,31,0,32,0,48,0
09-14-25,32,0,59,43,0,54,46,0,0,0,31,0,32,0,48,0
09-14-35,32,0,59,42,0,54,46,0,0,0,31,0,32,0,48,0
09-14-45,32,0,58,43,0,54,45,0,0,0,32,0,32,0,48,0
09-14-55,32,0,59,42,0,54,45,0,0,0,31,0,32,0,48,0
09-15-05,32,0,59,43,0,54,45,0,0,0,31,0,32,0,47,0
09-15-15,32,0,59,42,0,54,44,0,0,0,31,0,32,0,48,0
09-15-25,32,0,59,42,0,54,46,0,0,0,31,0,32,0,48,0
09-15-35,32,0,59,43,0,54,45,0,0,0,32,0,32,0,47,0
09-15-45,32,0,59,42,0,54,45,0,0,0,32,0,32,0,49,0
09-15-55,32,0,59,43,0,54,45,0,0,0,32,0,32,0,48,0
09-16-05,32,0,59,43,0,53,45,31,0,0,31,0,32,0,48,0
09-16-15,32,0,59,43,0,53,44,0,0,0,0,0,32,0,49,0
09-16-25,32,0,59,42,0,53,44,0,0,0,31,0,32,0,47,0
09-16-35,32,0,59,42,0,54,44,0,0,0,31,0,32,0,47,0
09-16-45,31,0,59,42,0,54,44,0,0,0,31,0,32,0,48,0
09-16-55,31,0,59,43,0,54,45,0,0,0,31,0,32,0,47,0
09-17-05,32,0,59,42,0,54,44,0,0,0,31,0,32,0,47,0
09-17-15,31,0,58,43,33,53,45,0,0,0,0,0,32,0,48,0
09-17-25,32,0,59,46,32,54,45,0,0,0,0,0,32,0,46,0
09-17-35,32,0,59,43,33,53,45,31,0,0,32,0,33,0,46,0
09-17-45,32,0,59,45,33,53,44,0,0,0,0,0,32,0,47,0
09-17-55,33,0,59,43,38,54,45,0,0,0,31,0,33,0,48,0
