date,Uriah,Veylan,Sofi,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-13-45,0,0,56,0,0,39,54,34,0,0,0,0,38,44,49,0
09-13-55,0,0,56,0,0,38,55,35,0,0,0,0,38,45,49,0
09-14-05,0,0,56,0,0,38,54,34,0,0,0,0,37,44,50,0
09-14-15,0,0,56,0,0,39,54,34,0,0,0,0,37,43,49,0
09-14-25,0,0,56,0,0,40,55,34,0,0,0,0,38,45,49,0
09-14-35,0,0,56,0,0,39,54,35,0,0,0,0,37,44,49,0
09-14-45,0,0,56,0,0,38,55,34,0,0,0,0,37,44,49,0
09-14-55,0,0,56,0,0,39,54,35,0,0,0,0,37,45,49,0
09-15-05,0,0,56,0,0,38,54,34,0,0,0,0,38,45,49,0
09-15-15,0,0,56,0,0,38,55,35,0,0,0,0,37,45,49,0
09-15-25,0,0,56,0,0,39,54,34,0,0,0,0,38,44,49,0
09-15-35,0,0,56,0,0,39,54,34,0,0,0,0,38,44,49,0
09-15-45,0,0,56,0,0,38,55,34,0,0,0,0,37,44,49,0
09-15-55,0,0,56,0,0,39,54,34,0,0,0,0,38,44,49,0
09-16-05,0,0,56,0,34,38,55,34,0,0,0,0,38,45,49,0
09-16-15,0,0,56,0,0,39,54,35,0,0,0,0,38,45,50,0
09-16-25,0,0,56,0,0,39,54,34,0,0,0,0,38,46,49,0
09-16-35,0,0,56,0,0,39,54,34,0,0,0,0,38,45,49,0
09-16-45,0,0,56,0,0,39,54,34,0,0,0,0,38,44,49,0
09-16-55,0,0,56,0,0,39,54,34,0,0,0,0,37,45,49,0
09-17-05,0,0,56,0,0,40,54,34,0,0,0,0,38,46,49,0
09-17-15,0,0,56,0,34,39,54,34,0,0,0,0,38,44,49,0
09-17-25,0,0,56,0,34,40,53,34,0,0,0,0,39,47,51,0
09-17-35,0,0,57,0,35,41,54,35,0,0,0,0,38,45,49,0
09-17-45,0,0,56,0,35,39,54,34,0,0,0,0,39,47,50,0
09-17-55,0,0,56,0,39,41,54,34,0,0,0,0,38,44,49,0
09-18-05,0,0,56,0,0,41,55,34,0,0,0,0,37,44,50,0
09-18-15,0,0,55,0,0,40,55,34,0,0,0,0,37,45,49,0
09-18-25,0,0,56,0,0,41,55,34,0,0,0,0,37,45,49,0
09-18-35,0,0,56,0,0,39,54,34,0,0,0,0,38,44,50,0
09-18-45,0,0,55,0,0,40,53,35,0,0,0,0,39,45,46,0
09-18-55,0,0,56,0,0,41,54,34,0,0,0,0,38,45,49,0
09-19-05,0,0,56,0,0,41,54,34,0,0,0,0,37,45,49,0
09-19-15,0,0,56,0,0,40,54,36,0,0,0,0,37,44,49,0
09-19-25,0,0,56,0,0,40,54,36,0,0,0,0,0,44,48,0
09-19-35,0,0,56,0,0,39,53,37,0,0,0,0,0,43,49,0
09-19-45,0,0,56,0,0,40,54,37,0,0,0,0,0,45,49,0
09-19-55,0,0,56,0,0,40,54,38,0,0,0,0,34,44,49,0
09-20-05,0,0,57,0,0,39,54,37,0,0,0,0,34,43,50,0
09-20-15,0,0,56,0,0,38,54,37,0,0,0,0,34,45,49,0
09-20-25,0,0,56,0,0,39,54,37,0,0,0,0,0,44,47,0
09-20-35,0,0,55,0,0,39,54,37,0,0,0,0,0,45,49,0
09-20-45,0,0,56,0,0,40,55,38,0,0,0,0,0,45,50,0
09-20-55,0,0,57,0,0,41,55,37,0,0,0,0,0,43,50,0
09-21-05,0,0,56,0,0,39,55,37,0,0,0,0,0,44,50,0
09-21-15,0,0,57,0,0,41,54,37,0,0,0,0,0,46,50,0
09-21-25,0,0,57,0,0,40,54,37,0,0,0,0,0,46,50,0
09-21-35,0,0,56,0,0,39,54,37,0,0,0,0,0,46,50,0
09-21-45,0,0,57,0,0,41,54,37,0,0,0,0,0,48,49,0
09-21-55,0,0,54,0,0,43,50,36,0,0,0,0,0,49,50,0
09-22-05,0,0,53,0,0,44,50,36,0,0,0,0,0,48,50,0
09-22-15,0,0,51,0,0,41,53,36,0,0,0,0,0,47,50,0
09-22-25,0,0,52,0,0,41,53,36,0,0,0,0,0,47,51,0
09-22-35,0,0,53,0,0,41,53,37,0,0,0,0,0,48,50,0
09-22-45,0,0,53,0,0,41,53,38,0,0,0,0,0,47,52,0
09-22-55,0,0,53,0,0,39,52,38,0,0,0,0,0,48,52,0
09-23-05,0,0,52,0,0,43,53,37,0,0,0,0,0,48,53,0
09-23-15,0,0,53,0,0,41,53,37,0,0,0,0,0,48,51,0
09-23-25,0,0,52,0,0,40,54,37,0,0,0,0,0,48,51,0
09-23-35,0,0,54,0,0,40,53,37,0,0,0,0,0,47,50,0
09-23-45,0,0,52,0,0,43,52,36,0,0,0,0,0,45,48,0
09-23-55,0,0,53,0,0,37,53,36,0,0,0,0,0,44,51,0
09-24-05,0,0,53,0,0,41,52,36,0,0,0,0,0,45,51,0
09-24-15,0,0,52,0,0,40,52,0,0,0,0,0,0,48,51,0
09-24-25,0,0,53,0,0,39,52,0,0,0,0,0,0,46,51,0
09-24-35,0,0,53,0,0,39,52,0,0,0,0,0,0,48,52,0
09-24-45,0,0,53,0,0,41,52,0,0,0,0,0,0,47,51,0
09-24-55,0,0,53,0,0,42,53,0,0,0,0,0,0,47,52,0
09-25-05,0,0,53,0,0,43,51,0,0,0,0,0,0,46,51,0
09-25-15,0,0,52,0,0,41,52,0,0,0,0,0,0,46,51,0
09-25-25,0,0,55,0,0,41,51,0,0,0,0,0,0,47,50,0
09-25-35,0,0,54,0,0,39,52,0,0,0,0,0,0,46,52,0
09-25-45,0,0,55,0,0,44,51,36,0,0,0,0,0,46,49,0
09-25-55,0,0,54,0,0,41,52,0,0,0,0,0,0,45,47,0
09-26-05,0,0,53,0,0,41,52,0,0,0,0,0,0,45,46,0
09-26-15,0,0,53,0,0,42,51,0,0,0,0,0,0,47,45,0
09-26-25,0,0,53,0,0,39,52,0,0,0,0,0,0,47,46,0
09-26-35,0,0,52,0,0,40,52,0,0,0,0,0,0,46,46,0
09-26-45,0,0,53,0,0,40,52,0,0,0,0,0,0,46,45,0
09-26-55,0,0,54,0,0,40,48,0,0,0,0,0,0,47,45,0
09-27-05,0,0,34,0,0,35,35,0,0,0,0,0,0,34,35,0
09-27-15,0,0,34,0,0,37,35,0,0,0,0,0,0,34,34,0
09-27-25,0,0,34,0,0,35,0,0,0,0,0,0,0,36,35,0
09-27-35,0,0,34,0,0,35,37,0,0,0,0,0,0,38,34,0
09-27-45,0,0,0,0,0,36,35,0,0,0,0,0,0,39,34,0
09-27-55,0,0,34,0,0,36,34,0,0,0,0,0,0,35,36,0
09-28-05,0,0,35,0,0,35,34,0,0,0,0,0,0,35,34,0
09-28-15,0,0,37,0,0,37,34,0,0,0,0,0,0,34,35,0
09-28-25,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0
09-28-45,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-29-55,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-31-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-32-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-32-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-32-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-34-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-34-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
09-34-55,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-35-15,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-36-25,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-36-35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-37-05,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-37-15,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-37-25,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-37-35,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-37-45,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-37-55,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-38-05,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-38-25,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-38-35,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-38-45,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-38-55,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-39-05,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-39-15,0,0,0,0,0,0,35,34,0,0,0,0,0,0,0,0
09-39-25,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-39-35,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-39-45,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
09-39-55,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
09-40-05,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-40-15,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-40-25,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-40-35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-40-45,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-40-55,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-41-05,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-41-15,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-41-25,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-41-35,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-41-45,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-43-05,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-43-25,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-43-35,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-44-05,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-44-15,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-44-45,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-45-05,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-45-25,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-45-35,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-46-35,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-47-25,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34,0
09-47-35,0,0,43,0,0,44,0,0,0,0,0,0,0,36,34,0
09-47-55,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-50-15,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
09-50-25,0,0,34,0,0,0,0,0,0,0,34,0,0,34,34,0
09-50-35,0,0,40,0,0,0,0,0,0,0,0,0,0,34,0,0
09-50-45,0,0,34,0,0,0,0,0,0,0,0,0,0,34,0,0
09-50-55,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
09-51-05,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
09-51-15,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
09-51-25,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
09-51-35,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
09-51-45,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
09-51-55,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
09-52-05,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
09-52-15,0,0,37,0,0,0,0,0,0,0,0,0,0,35,0,0
09-52-25,0,0,36,0,0,0,0,0,0,0,0,0,0,35,0,0
09-52-35,0,0,35,0,0,0,0,0,0,0,0,0,0,35,36,0
09-52-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-52-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-53-05,0,0,0,0,0,0,0,34,0,0,0,0,0,0,35,0
09-53-15,0,0,0,0,0,0,37,0,0,0,0,0,0,0,39,0
09-53-25,0,0,0,0,0,0,34,0,0,0,0,0,0,0,36,0
09-53-45,0,0,0,0,0,34,0,0,0,0,35,0,0,34,0,0
09-53-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
09-54-05,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
09-54-35,0,0,37,0,0,0,0,0,0,0,0,0,0,35,34,0
09-54-45,0,0,35,0,0,0,0,0,0,0,0,0,0,35,35,0
09-54-55,0,0,38,0,0,0,0,0,0,0,0,0,0,0,34,0
09-55-05,0,0,36,0,0,0,0,37,0,0,0,0,0,0,0,0
09-55-15,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
09-55-25,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0
09-55-35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-55-45,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-55-55,0,0,34,0,0,0,0,0,0,0,34,0,0,0,0,0
09-56-15,0,0,34,0,0,0,0,0,0,0,34,0,0,0,0,0
09-56-25,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
09-56-35,0,0,40,0,0,34,0,0,0,0,0,0,0,34,0,0
09-56-45,0,0,36,0,0,34,0,0,0,0,0,0,0,0,0,0
09-56-55,0,0,35,0,0,0,46,0,0,0,0,0,0,0,0,0
09-57-05,0,0,38,0,0,42,0,0,0,0,0,0,0,0,34,0
09-57-15,0,0,38,0,0,34,0,0,0,0,0,0,0,0,34,0
09-57-25,0,0,34,0,0,41,0,0,0,0,0,0,0,0,0,0
09-57-35,0,0,34,0,0,47,0,0,0,0,0,0,0,34,0,0
09-57-45,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
09-57-55,0,0,37,0,0,35,0,0,0,0,34,0,0,0,0,0
09-58-05,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
09-58-15,0,0,36,0,0,0,0,0,0,0,0,0,0,0,34,0
09-58-35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-58-55,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-59-25,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-59-45,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
09-59-55,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-00-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-00-25,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-00-35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-00-45,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-35,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-02-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-15,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-25,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-45,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-55,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-06-15,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-07-15,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-07-35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-08-35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-08-45,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-15,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-25,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
