date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
10-22-05,0,0,0,0,0,0,32,0,0,0,0,0,0,31,33,0
10-23-05,0,0,0,0,0,0,32,0,0,0,31,0,0,33,0,0
10-24-15,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-25-05,0,0,0,0,0,0,30,32,0,0,34,0,0,0,0,0
10-26-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-27-05,0,0,0,0,0,0,0,0,0,0,36,0,0,30,0,0
10-28-05,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
10-29-05,0,0,34,0,0,0,32,0,0,0,0,0,0,0,29,0
10-30-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-31-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-32-05,0,0,29,0,0,0,0,0,0,0,0,0,0,0,32,0
10-33-05,0,0,0,0,0,0,31,0,0,0,0,0,0,0,30,0
10-34-05,0,0,0,0,0,0,29,0,0,0,0,0,0,0,30,0
10-35-05,0,0,36,34,0,0,0,0,0,0,0,0,0,0,32,0
10-36-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-37-15,0,0,30,0,0,0,30,0,0,0,32,0,0,30,31,0
10-38-35,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0
10-39-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-40-05,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
10-41-15,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-42-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,30,0
10-43-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-44-05,0,0,29,0,0,0,0,0,0,0,0,0,0,30,0,0
10-45-05,0,0,32,0,0,0,0,0,0,0,0,0,0,32,32,0
10-46-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0
10-47-05,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
10-49-15,0,0,32,0,0,0,0,0,0,0,0,0,0,0,37,0
10-50-05,0,0,30,0,0,0,33,0,0,0,0,0,0,0,32,0
10-51-05,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
10-52-05,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-53-05,0,0,0,0,0,0,31,0,0,0,33,0,0,0,32,0
10-54-05,0,0,40,0,0,0,29,0,0,0,33,0,0,29,0,0
10-55-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-56-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-57-15,0,0,0,0,0,0,34,0,0,0,0,0,0,0,31,0
10-58-05,0,0,0,0,0,0,29,33,0,0,34,0,0,33,0,0
10-59-05,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
11-00-15,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
11-01-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-05,0,0,32,0,0,0,0,0,0,0,0,0,30,0,0,0
11-03-05,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
11-04-05,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
11-05-05,0,0,0,31,0,0,0,32,0,0,34,0,0,33,0,0
11-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
11-07-05,0,0,0,0,0,0,0,0,0,0,29,0,0,31,0,0
11-08-05,0,0,0,0,0,0,0,36,0,0,0,0,0,0,32,0
11-09-05,0,0,32,0,0,0,0,0,0,0,0,0,35,0,0,0
11-10-05,0,0,30,0,0,0,0,37,0,0,0,0,0,0,0,0
11-11-05,0,0,45,30,0,0,0,0,0,0,0,0,0,0,0,0
11-12-15,0,0,32,36,0,0,0,0,0,0,0,0,30,0,0,0
11-13-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-14-05,0,0,30,0,0,0,0,0,0,0,0,0,0,32,0,0
11-15-05,0,0,33,0,0,0,0,0,0,0,33,0,0,32,31,0
11-16-05,0,0,37,0,0,0,0,0,0,0,0,0,0,30,31,0
11-17-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
11-18-05,0,0,30,0,0,0,0,0,0,0,31,0,0,0,37,0
11-19-15,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
11-20-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
11-21-05,0,0,37,0,0,0,0,0,0,0,30,0,0,0,0,0
11-22-15,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
11-23-05,0,0,39,0,0,0,0,0,0,0,33,0,0,34,35,0
11-24-05,0,0,36,0,0,0,0,0,0,0,0,0,0,31,0,0
11-25-05,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
11-26-25,0,0,32,0,0,0,0,0,0,0,0,0,0,0,31,0
11-27-05,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,0
11-28-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
11-29-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-30-05,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
11-31-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-32-05,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-33-05,0,0,0,0,0,0,0,35,0,0,33,0,0,31,0,0
11-34-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-35-05,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0
11-36-35,0,0,38,32,0,0,0,0,0,0,0,0,0,0,0,0
11-37-05,0,0,0,0,0,0,0,0,0,0,36,0,0,33,34,0
11-38-05,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-39-05,0,0,34,0,0,0,0,0,0,0,31,0,0,0,32,0
11-40-05,0,0,0,0,0,0,0,30,0,0,32,0,0,0,30,0
