date,price
13-34,99.4375
13-35,278.501061571
13-36,119.64527027
13-37,27.1904761905
13-38,27.3235294118
13-39,27.125
13-40,26.7142857143
13-41,26.8333333333
13-42,26.8
13-43,155.955555556
13-44,48.348
13-45,114.458333333
13-46,51.975
13-47,127.568965517
13-48,80.1428571429
13-49,90.537037037
13-50,88.140625
13-51,54.105
13-52,79.595
13-53,27.2083333333
13-54,26.9583333333
13-55,124.763157895
13-56,141.426966292
13-57,27.3333333333
13-58,27.625
13-59,27.2884615385
14-00,27.25
14-01,27.0416666667
14-02,91.4295774648
14-03,26.8333333333
14-04,91.8333333333
14-05,27.45
14-06,93.3
14-07,27.3846153846
14-08,83.8157894737
14-09,143.641025641
14-10,55.2355769231
14-11,137.09375
14-12,69.8684210526
14-13,39.6014492754
14-14,82.2769230769
14-15,27.5454545455
14-16,26.75
14-17,27.7916666667
14-18,26.4666666667
14-19,26.8333333333
14-20,26.78125
14-21,84.553030303
14-22,27.3333333333
14-23,27.0
14-24,58.7666666667
14-25,26.8
14-26,26.8565217391
14-27,28.2368421053
14-28,108.431818182
14-29,105.945945946
14-30,148.159090909
14-31,137.814285714
14-32,59.9242424242
14-33,105.291666667
14-34,115.142857143
14-35,26.8333333333
14-36,136.117647059
14-37,27.5
14-38,102.541666667
14-39,123.347826087
14-40,27.9166666667
14-41,51.25
14-42,103.75
14-43,96.1511627907
14-44,59.4363636364
14-45,56.6060606061
14-46,96.2777777778
14-47,121.362068966
14-48,112.22972973
14-49,91.1195652174
14-50,102.743589744
14-51,101.2
14-52,96.9186046512
14-53,97.5833333333
14-54,82.7641509434
14-55,97.4761904762
14-56,96.5813953488
14-57,89.1875
14-58,88.6770833333
14-59,89.3020833333
15-00,87.7291666667
15-01,86.40625
15-02,87.2708333333
15-03,87.6145833333
15-04,88.3229166667
15-05,87.0416666667
15-06,86.9583333333
15-07,88.90625
15-08,87.2083333333
15-09,88.3020833333
15-10,87.46875
15-11,64.2209302326
15-12,59.5119047619
15-13,60.2380952381
15-14,59.5
15-15,59.4761904762
15-16,59.7142857143
15-17,58.0595238095
15-18,59.9880952381
15-19,60.4285714286
15-20,57.6071428571
15-21,58.5
15-22,59.4523809524
15-23,59.9047619048
15-24,59.9523809524
15-25,59.0833333333
15-26,59.380952381
15-27,57.2619047619
15-28,58.1071428571
15-29,58.9642857143
15-30,58.1785714286
15-31,59.5
15-32,59.5714285714
15-33,57.4285714286
15-34,58.2738095238
15-35,58.0714285714
15-36,57.4285714286
15-37,60.0476190476
15-38,59.7023809524
15-39,59.3214285714
15-40,59.1071428571
15-41,58.869047619
15-42,58.9047619048
15-43,59.6428571429
15-44,60.25
15-45,59.3452380952
15-46,58.3928571429
15-47,58.130952381
15-48,60.0238095238
15-49,56.7142857143
15-50,58.2142857143
15-51,59.4404761905
15-52,58.6785714286
15-53,58.5833333333
15-54,59.3095238095
15-55,57.4047619048
15-56,58.3095238095
15-57,58.5476190476
15-58,58.1071428571
15-59,59.0
16-00,59.4047619048
16-01,58.5357142857
16-02,58.0119047619
16-03,57.8214285714
16-04,58.0
16-05,57.8214285714
16-06,57.9642857143
16-07,58.0714285714
16-08,57.4523809524
16-09,59.4625
16-10,63.8194444444
16-11,64.6527777778
16-12,62.5277777778
16-13,63.7638888889
16-14,62.9027777778
16-15,64.5555555556
16-16,64.5972222222
16-17,63.4861111111
16-18,63.75
16-19,61.8194444444
16-20,62.4444444444
16-21,68.6666666667
16-22,74.0333333333
16-23,72.7
16-24,71.0166666667
16-25,71.3666666667
16-26,70.0333333333
16-27,72.2833333333
16-28,72.3
16-29,72.2666666667
16-30,71.4166666667
16-31,69.45
16-32,72.2666666667
16-33,71.8166666667
16-34,207.3
16-35,21.6666666667
16-36,22.5277777778
16-37,21.3333333333
16-38,21.3611111111
16-39,21.75
16-40,21.8055555556
16-41,21.4166666667
16-42,21.4722222222
16-43,21.0833333333
16-44,21.697080292
