date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-18-45,41,63,67,63,62,56,55,0,0,55,41
09-18-55,40,64,67,62,62,56,54,0,0,55,34
09-19-05,36,64,68,63,62,56,54,0,0,55,39
09-19-15,41,64,67,62,62,55,53,0,0,55,43
09-19-25,34,64,67,63,62,56,54,0,0,56,34
09-19-35,39,64,67,63,62,56,54,0,0,56,34
09-19-45,36,63,68,62,62,56,54,0,0,56,38
09-19-55,38,63,68,62,62,57,56,0,0,55,32
09-20-05,34,64,66,62,63,58,55,0,0,56,0
09-20-15,0,64,67,63,63,57,58,0,0,56,42
09-20-25,0,64,67,62,63,57,56,0,0,56,39
09-20-35,0,64,66,62,62,57,56,0,0,56,39
09-20-45,0,64,68,63,62,56,54,0,0,56,35
09-20-55,0,62,67,62,62,56,56,0,0,57,34
09-21-05,0,64,67,63,62,57,58,0,0,57,40
09-21-15,0,63,68,62,62,57,56,0,0,56,39
09-21-25,0,63,67,62,63,57,56,0,0,55,41
09-21-35,0,63,67,62,62,57,56,0,0,56,40
09-21-45,0,64,67,62,61,56,56,0,0,56,39
09-21-55,0,63,67,60,62,55,36,0,0,57,44
09-22-05,0,63,67,64,55,57,37,0,0,57,41
09-22-15,31,63,68,65,55,57,0,0,0,57,44
09-22-25,34,63,69,64,54,57,37,0,0,55,41
09-22-35,32,63,69,64,55,57,41,0,0,55,34
09-22-45,33,62,69,64,56,57,35,0,0,55,41
09-22-55,34,62,69,64,56,56,32,0,0,56,40
09-23-05,34,62,69,64,57,57,31,0,0,56,37
09-23-15,41,63,68,64,58,58,32,0,0,55,35
09-23-25,37,63,68,64,58,57,35,0,0,54,32
09-23-35,33,64,68,64,58,58,36,0,0,54,31
09-23-45,37,63,67,51,58,58,33,0,0,55,32
09-23-55,48,63,67,51,59,58,37,0,0,54,38
09-24-05,41,63,68,46,60,58,34,0,0,54,38
09-24-15,32,63,68,49,58,58,34,0,0,54,38
09-24-25,31,64,68,33,59,58,31,0,0,53,33
09-24-35,0,63,67,0,59,56,32,0,0,51,31
09-24-45,33,57,60,0,53,52,32,0,0,50,32
09-24-55,32,53,54,0,59,51,32,0,0,54,33
09-25-05,31,44,47,0,44,45,33,0,0,49,34
09-25-15,0,42,41,0,31,40,0,0,0,43,32
09-25-25,0,38,38,0,35,35,34,0,0,41,33
09-25-35,0,33,34,0,34,36,41,0,0,42,32
09-25-45,32,35,40,0,33,34,38,0,0,42,33
09-25-55,33,32,33,0,33,33,35,0,0,32,0
09-26-05,33,33,33,0,32,33,33,0,0,32,0
09-26-15,31,45,48,0,49,45,44,0,0,47,34
09-26-25,32,36,41,0,32,36,51,0,0,38,37
09-26-35,33,36,44,0,33,36,36,0,0,36,0
09-26-45,0,31,34,0,31,32,34,0,0,33,0
09-26-55,0,31,32,0,0,31,32,0,0,33,0
09-27-05,39,0,0,0,0,0,0,0,0,0,0
09-27-15,34,32,36,0,32,35,32,0,0,36,0
09-27-25,39,0,32,0,31,0,34,0,0,32,0
09-27-35,36,0,31,0,0,0,31,0,0,31,0
09-27-45,34,0,32,0,31,32,0,0,0,0,0
09-27-55,31,33,32,0,31,33,36,0,0,34,0
09-28-05,35,32,40,0,35,34,33,0,0,43,0
09-28-15,0,33,38,0,33,35,42,0,0,35,0
09-28-25,31,34,37,0,32,35,40,0,0,32,0
09-28-35,0,42,43,0,32,33,53,0,0,31,34
09-28-45,0,43,44,0,33,34,54,0,0,38,35
09-28-55,0,41,42,0,35,32,48,0,0,32,36
09-29-05,31,33,40,0,34,32,0,0,0,32,32
09-29-15,31,37,39,0,34,36,32,0,0,32,32
09-29-25,31,37,41,0,34,37,31,0,0,36,33
09-29-35,0,46,43,0,53,46,0,0,0,38,31
09-29-45,0,48,46,0,55,56,0,0,0,46,0
09-29-55,0,42,43,0,41,49,0,0,0,38,0
09-30-05,0,39,45,0,41,41,0,0,0,32,34
09-30-15,31,34,36,0,35,37,31,0,0,37,0
09-30-25,31,0,38,0,31,38,39,0,0,36,0
09-30-35,32,0,36,0,32,33,35,0,0,0,0
09-30-45,0,36,46,0,34,45,31,0,0,36,0
09-30-55,31,32,35,0,35,33,35,0,0,39,0
09-31-05,0,33,35,0,31,33,34,0,0,35,0
09-31-15,0,0,33,0,0,32,31,0,0,39,0
09-31-25,0,0,32,0,31,33,34,0,0,32,0
09-31-35,0,32,36,0,31,36,35,0,0,34,0
09-31-45,31,33,34,0,31,32,32,0,0,33,0
09-31-55,0,0,0,0,0,31,31,0,0,35,0
09-32-05,34,39,41,0,31,35,0,0,0,32,0
09-32-15,0,41,49,0,0,36,0,0,0,34,35
09-32-25,0,37,40,0,31,40,0,0,0,33,36
09-32-35,35,37,42,0,31,42,0,0,0,35,41
09-32-45,32,37,43,0,0,39,0,0,0,33,42
09-32-55,33,33,34,0,32,32,31,0,0,37,0
09-33-05,0,33,34,0,35,34,35,0,0,43,0
09-33-15,0,0,33,0,0,34,0,0,0,0,0
09-33-25,0,32,33,0,32,33,0,0,0,0,0
09-33-35,31,0,32,0,0,0,0,0,0,0,0
09-33-45,33,32,34,0,0,31,0,0,0,0,0
09-33-55,32,31,32,0,31,32,0,0,0,0,0
09-34-05,33,0,0,0,0,0,0,0,0,0,0
09-34-15,35,0,0,0,0,0,0,0,0,0,0
09-34-25,33,0,0,0,0,0,0,0,0,0,0
09-34-35,32,0,31,0,31,0,0,0,0,0,0
09-34-45,34,0,31,0,0,31,0,0,0,0,0
09-34-55,59,0,31,0,0,0,0,0,0,0,0
09-35-05,32,0,34,0,0,31,0,0,0,31,31
09-35-15,0,0,33,0,0,34,32,0,0,0,0
09-35-25,0,0,32,0,0,31,0,0,0,32,0
09-35-35,0,0,0,0,0,0,0,0,0,0,0
09-35-45,0,32,34,0,32,34,31,0,0,35,0
09-35-55,0,0,32,0,31,32,34,0,0,31,31
09-36-05,0,31,37,0,33,35,38,0,0,31,33
09-36-15,0,32,33,0,32,33,35,0,0,0,33
09-36-25,0,0,33,0,34,33,35,0,0,34,38
09-36-35,0,31,35,0,34,37,37,0,0,36,33
09-36-45,0,0,36,0,32,34,39,0,0,40,32
09-36-55,0,0,0,0,31,35,0,0,0,0,0
09-37-05,0,0,36,0,37,34,33,0,0,41,33
09-37-15,0,0,32,0,0,32,32,0,0,0,0
09-37-25,0,44,31,0,32,31,33,0,0,0,0
09-37-35,0,0,31,0,0,32,33,0,0,0,32
09-37-45,31,0,31,0,0,0,33,0,0,0,0
09-37-55,31,33,32,0,31,31,31,0,0,32,31
09-38-05,0,0,33,0,0,37,31,0,0,0,0
09-38-15,0,31,33,0,0,31,34,0,0,42,32
09-38-25,36,0,32,0,0,36,31,0,0,0,0
09-38-35,32,0,32,0,0,35,32,0,0,0,0
09-38-45,0,0,34,0,36,31,41,0,0,37,35
09-38-55,34,0,33,0,0,31,34,0,0,35,31
09-39-05,48,34,33,0,34,35,39,0,0,32,33
09-39-15,33,0,34,0,0,32,34,0,0,46,32
09-39-25,37,31,36,0,33,36,35,0,0,42,33
09-39-35,33,0,32,0,0,31,31,0,0,0,0
09-39-45,35,0,32,0,0,32,0,0,0,31,0
09-39-55,31,0,0,0,0,32,0,0,0,0,0
09-40-05,0,31,31,0,0,34,31,0,0,0,0
09-40-15,36,34,37,0,32,0,44,0,0,39,32
09-40-25,34,0,33,0,31,32,33,0,0,35,32
09-40-35,33,31,35,0,31,34,32,0,0,36,31
09-40-45,33,31,36,0,31,0,33,0,0,34,36
09-40-55,32,31,32,0,0,32,32,0,0,37,31
09-41-05,31,0,33,0,31,31,33,0,0,36,34
09-41-25,0,0,31,0,31,0,32,0,0,0,0
09-41-35,0,0,34,0,0,35,34,0,0,0,0
09-41-45,0,0,31,0,0,43,0,0,0,0,0
09-41-55,31,0,32,0,0,50,32,0,0,0,0
09-42-05,0,0,32,0,0,33,0,0,0,0,0
09-42-15,32,0,33,0,0,32,31,0,0,32,33
09-42-25,37,0,33,0,0,0,34,0,0,36,32
09-42-35,34,31,33,0,31,32,32,0,0,32,0
09-42-45,0,0,31,0,0,32,33,0,0,31,0
09-42-55,35,0,31,0,34,32,38,0,0,37,0
09-43-05,37,0,0,0,46,32,51,0,0,35,0
09-43-15,33,0,0,0,37,33,33,0,0,33,0
09-43-25,34,0,32,0,31,32,32,0,0,31,0
09-43-35,41,36,36,0,32,34,31,0,0,38,32
09-43-45,34,0,31,0,0,36,31,0,0,34,0
