date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Erin
11-22-15,0,0,0,0,0,0,34,0,0,0,0
11-23-05,0,0,0,0,0,34,0,0,0,37,0
11-24-05,0,0,0,0,0,0,0,0,35,0,0
11-25-55,0,0,0,0,35,0,0,0,0,0,0
11-26-25,0,0,0,0,0,0,0,0,36,0,0
11-27-05,0,0,0,0,0,0,35,0,0,0,0
11-28-05,0,0,0,0,0,0,0,0,39,0,0
11-29-05,0,0,0,0,0,35,37,0,34,0,0
11-30-45,0,0,0,0,0,34,0,0,0,0,0
11-31-35,0,0,0,0,0,34,0,0,0,0,0
11-32-05,0,0,0,0,0,34,0,0,0,0,0
11-33-05,0,35,0,0,0,0,0,0,0,0,0
11-34-05,0,0,0,0,0,34,0,0,0,0,0
11-35-05,0,0,0,0,0,40,0,0,34,0,0
11-36-05,0,34,0,0,0,34,0,0,0,0,0
11-37-05,0,0,0,0,0,35,0,0,0,0,0
11-38-15,0,0,0,0,0,0,34,0,0,0,0
11-39-05,0,0,0,0,34,0,0,0,0,0,0
11-40-45,0,0,0,0,0,0,35,0,0,0,0
11-41-05,0,0,0,0,0,34,35,0,36,0,0
11-42-05,0,0,0,0,34,0,34,0,41,0,0
11-43-05,0,0,0,0,0,0,0,0,34,0,0
11-44-25,0,0,0,0,0,0,0,0,0,0,0
11-45-55,0,35,0,0,0,0,0,0,0,0,0
11-46-45,0,0,0,0,0,0,0,0,35,0,0
11-47-05,0,0,0,0,0,0,0,0,40,0,0
11-48-05,0,0,0,0,0,0,34,0,34,0,0
11-49-05,0,38,0,0,0,0,39,0,37,0,0
11-51-55,0,0,0,0,34,0,0,0,0,0,0
11-52-05,0,0,0,0,35,0,0,0,0,0,0
11-53-05,0,0,0,0,0,0,34,0,34,0,0
11-54-05,0,0,0,0,0,0,37,0,34,0,0
11-55-05,0,0,0,0,0,35,35,0,0,0,0
11-56-05,0,0,0,0,0,0,40,0,0,0,0
11-57-05,0,0,0,0,0,0,37,0,0,0,0
11-58-15,0,0,0,0,0,0,35,0,0,0,0
11-59-35,0,0,0,0,0,0,0,0,36,0,0
12-00-15,0,0,0,0,0,34,35,0,34,0,0
12-01-15,0,0,0,0,0,35,0,0,0,0,0
12-02-05,0,0,0,0,0,34,0,0,0,0,0
12-03-25,0,0,0,0,0,0,0,0,0,0,0
12-04-15,0,0,0,0,34,0,34,0,34,0,0
12-05-05,0,35,0,0,0,0,0,0,0,0,0
12-06-05,0,34,0,0,0,0,0,0,0,0,0
12-08-35,0,35,0,0,0,0,0,0,0,34,0
12-09-05,0,34,0,0,0,0,0,0,0,0,0
12-10-05,0,34,0,0,0,0,34,0,0,0,0
12-12-15,0,0,0,0,0,0,0,0,0,34,0
12-13-05,0,0,0,0,0,0,0,0,0,34,0
12-14-05,0,0,0,0,0,0,0,0,0,34,0
12-15-05,0,0,0,0,0,0,0,0,0,34,0
12-16-25,0,0,0,0,0,0,0,0,0,34,0
12-17-15,0,0,0,0,0,0,0,0,0,34,0
12-23-25,0,0,0,0,0,0,0,0,0,34,0
12-24-15,0,0,0,0,0,0,0,0,0,34,0
12-25-05,0,0,0,0,0,0,0,0,0,34,0
12-30-35,0,34,0,0,0,0,0,0,0,0,0
12-31-15,0,35,0,0,35,0,0,0,0,35,0
12-32-05,0,35,0,0,35,0,35,0,34,0,0
12-33-05,0,0,0,0,0,35,0,0,35,0,0
12-34-05,0,0,0,0,0,0,0,0,39,0,0
12-35-05,0,35,0,0,38,0,0,0,0,35,0
12-36-05,0,0,0,0,0,0,0,0,36,0,0
12-37-05,0,0,0,0,34,0,0,0,0,35,0
12-38-05,0,34,0,0,0,0,0,0,0,34,0
12-39-05,0,37,0,0,35,0,0,0,0,35,0
12-40-05,0,0,0,0,34,36,0,0,0,36,0
12-41-05,0,0,0,0,35,0,0,0,0,37,0
12-42-05,0,0,0,0,0,0,0,0,0,34,0
