date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-00-05,45,64,67,62,62,56,55,54,0,55,0
09-01-05,45,64,67,63,62,56,54,54,0,56,0
09-02-05,45,64,67,62,62,56,56,53,0,55,0
09-03-05,46,64,67,62,62,56,56,54,0,56,0
09-04-05,45,64,67,62,62,56,55,54,0,55,0
09-05-05,46,64,67,62,62,56,56,54,0,56,0
09-06-05,46,64,67,62,62,56,56,54,0,56,0
09-07-05,45,64,67,62,62,56,55,53,0,56,0
09-08-05,46,63,67,62,62,56,55,53,0,56,0
09-09-05,44,64,68,62,62,56,55,54,0,55,0
09-10-05,45,64,68,62,62,56,56,54,0,56,0
09-11-05,45,64,67,63,62,56,55,54,0,56,0
09-12-05,45,64,67,62,62,56,55,53,0,56,0
09-13-05,44,64,67,62,63,56,54,53,0,56,0
09-14-05,44,64,67,63,62,56,55,54,0,56,0
09-15-05,44,64,67,62,62,56,56,53,0,56,31
09-16-05,47,63,67,62,62,56,55,53,0,56,39
09-17-05,59,63,68,62,62,55,56,56,0,56,37
09-18-05,51,64,67,63,62,56,55,0,0,56,40
09-19-05,36,64,68,63,62,56,54,0,0,55,39
09-20-05,34,64,66,62,63,58,55,0,0,56,0
09-21-05,0,64,67,63,62,57,58,0,0,57,40
09-22-05,0,63,67,64,55,57,37,0,0,57,41
09-23-05,34,62,69,64,57,57,31,0,0,56,37
09-24-05,41,63,68,46,60,58,34,0,0,54,38
09-25-05,31,44,47,0,44,45,33,0,0,49,34
09-26-05,33,33,33,0,32,33,33,0,0,32,0
09-27-05,39,0,0,0,0,0,0,0,0,0,0
09-28-05,35,32,40,0,35,34,33,0,0,43,0
09-29-05,31,33,40,0,34,32,0,0,0,32,32
09-30-05,0,39,45,0,41,41,0,0,0,32,34
09-31-05,0,33,35,0,31,33,34,0,0,35,0
09-32-05,34,39,41,0,31,35,0,0,0,32,0
09-33-05,0,33,34,0,35,34,35,0,0,43,0
09-34-05,33,0,0,0,0,0,0,0,0,0,0
