date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-14-15,0,0,0,0,0,0,0,0,0,0,31
09-15-25,29,0,29,0,0,0,0,0,0,0,30
09-16-05,29,0,0,29,0,31,0,0,32,0,33
09-18-25,0,0,29,0,0,0,0,0,0,0,0
09-20-05,31,0,0,0,0,0,0,0,0,0,0
09-21-05,29,0,0,0,0,0,0,0,0,0,0
09-25-35,31,0,0,0,0,0,0,0,0,0,0
09-26-35,31,0,0,0,0,0,0,0,0,0,0
09-27-15,0,0,29,0,0,0,0,0,30,0,0
09-28-05,31,0,29,0,0,0,0,0,0,0,0
09-29-35,0,0,30,0,0,30,33,0,0,0,0
09-31-25,0,0,29,0,0,29,30,0,31,0,0
09-32-05,29,0,0,0,0,0,0,0,0,0,0
09-33-25,30,0,0,0,0,0,0,0,0,0,0
09-34-05,31,0,0,0,0,0,0,0,31,0,0
09-35-05,31,0,0,0,0,0,0,0,31,0,0
09-40-55,0,0,30,0,0,33,0,0,29,0,0
09-41-05,0,0,0,0,0,0,29,0,0,30,0
09-42-05,0,0,0,0,0,31,0,0,33,0,0
09-43-25,0,0,0,0,0,30,0,0,31,0,0
09-44-05,0,30,0,0,0,0,31,0,32,0,0
09-45-05,30,30,0,0,0,0,38,0,0,0,0
09-49-15,0,0,0,0,30,0,0,0,0,0,0
09-50-05,0,0,0,0,0,0,0,0,30,0,0
09-51-05,0,30,0,0,0,0,0,0,0,0,0
09-53-15,0,0,0,0,0,0,29,0,0,0,0
09-54-05,0,0,0,0,0,0,30,0,0,0,0
09-55-05,0,0,0,0,0,29,32,0,0,0,0
09-56-05,0,0,0,0,29,0,36,0,0,0,0
09-57-05,0,0,0,0,0,0,39,0,0,0,0
09-58-05,0,0,0,0,0,0,35,0,0,0,0
09-59-05,0,0,0,0,0,0,40,0,0,0,0
10-00-05,0,0,0,0,0,0,35,0,0,0,0
10-01-05,0,0,0,0,0,0,40,0,0,0,0
10-02-05,0,0,0,0,0,0,0,0,29,0,0
10-03-05,0,0,0,0,29,30,0,0,0,0,0
10-04-25,0,0,0,0,0,0,29,0,0,0,0
10-05-55,0,0,0,0,0,0,0,0,31,29,0
10-06-05,0,0,0,0,0,0,31,0,31,31,0
10-07-05,0,0,0,0,0,0,0,0,33,0,0
10-08-35,0,0,0,0,0,0,0,0,29,0,0
10-09-15,0,0,0,0,0,0,0,0,30,0,0
10-10-15,0,0,0,0,0,0,0,0,32,0,0
10-11-15,0,0,0,0,31,0,0,0,0,0,0
10-12-55,0,0,0,0,0,0,31,0,0,0,0
10-13-15,0,0,0,0,0,0,29,0,0,0,0
10-14-15,0,0,0,0,0,0,29,0,0,0,0
10-15-05,0,0,0,0,0,0,35,0,0,0,0
10-16-45,0,0,0,0,0,0,0,0,29,0,0
10-17-15,0,0,0,0,0,33,0,0,0,0,0
10-18-45,0,0,0,0,0,39,0,0,32,0,0
10-19-05,0,0,0,0,0,29,30,0,0,0,0
10-20-55,0,0,0,0,0,0,0,0,0,29,0
10-21-05,0,0,0,0,0,30,0,0,0,0,0
10-22-05,0,0,0,0,0,31,0,0,0,0,0
10-23-05,0,0,0,0,30,0,0,0,0,0,0
10-24-05,0,32,0,0,0,0,0,0,0,0,0
10-25-05,0,0,0,0,30,0,0,0,0,0,0
10-26-15,0,0,0,0,33,0,30,0,0,0,0
10-27-05,0,0,0,0,0,0,32,0,0,0,0
10-28-05,0,0,0,0,0,0,30,0,0,0,0
10-33-15,0,0,0,0,0,0,30,0,0,0,0
10-35-05,0,0,0,0,0,0,30,0,0,0,0
10-39-45,0,0,0,0,0,32,0,0,0,0,0
10-40-05,0,0,0,0,0,37,0,0,0,0,0
10-41-05,0,0,0,0,0,0,0,0,32,0,0
10-42-05,0,0,0,0,30,0,0,0,0,0,0
10-43-05,0,0,0,0,0,0,29,0,0,0,0
10-44-05,0,0,0,0,30,0,0,0,0,0,0
10-45-15,0,0,0,0,0,0,29,0,0,0,0
10-46-05,0,0,0,0,0,0,29,0,0,0,0
10-47-05,0,0,0,0,0,0,29,0,0,0,0
10-49-35,0,0,0,0,0,30,0,0,0,0,0
10-50-15,0,0,0,0,31,0,0,0,0,0,0
