date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter,Quinn
14-59-05,0,36,0,0,34,0,0,35,0,0,0,0,0,47,42,0
15-00-05,0,38,0,0,36,0,39,35,0,0,0,0,0,47,43,0
15-01-05,0,37,0,41,37,0,35,34,0,0,0,0,0,50,41,32
15-02-05,0,46,0,42,37,0,34,34,39,0,0,0,0,52,43,33
15-03-05,0,46,0,43,34,0,44,34,53,0,0,0,0,49,42,0
15-04-05,0,47,0,42,33,0,43,33,54,0,0,0,0,49,40,0
15-05-05,0,50,0,35,36,0,34,33,57,0,0,0,0,50,41,0
15-06-05,0,48,0,35,35,0,34,33,57,0,0,0,0,50,42,0
15-07-05,0,47,0,34,37,0,51,35,56,0,0,0,0,53,43,32
15-08-05,0,48,0,34,33,0,49,33,57,0,0,0,0,51,42,0
15-09-05,0,48,0,34,33,0,50,33,57,0,0,0,32,51,42,0
15-10-05,0,48,0,33,34,0,50,33,57,0,0,0,32,51,41,32
15-11-05,0,53,0,37,35,0,51,33,56,0,0,0,32,47,43,33
15-12-05,0,54,0,37,34,0,51,34,57,0,0,0,32,46,41,33
15-13-05,0,50,0,36,33,0,49,33,56,0,0,0,32,51,41,0
15-14-05,0,48,0,36,34,0,49,33,56,0,0,0,32,50,41,0
15-15-05,0,49,0,34,34,0,50,33,57,0,0,0,0,51,42,0
15-16-05,0,49,0,35,0,0,49,32,57,0,0,0,32,51,42,0
15-17-05,0,48,0,35,0,0,49,33,57,0,0,0,0,49,42,0
15-18-05,0,49,0,34,0,0,49,33,57,0,0,0,0,49,42,0
15-19-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,41,0
15-20-05,0,48,0,33,0,0,48,33,57,0,0,0,0,48,42,0
15-21-05,0,48,0,34,0,0,49,33,57,0,0,0,0,48,42,0
15-22-05,0,49,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-23-05,0,49,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-24-05,0,47,0,35,0,0,49,33,57,0,0,0,0,49,0,0
15-25-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-26-05,0,47,0,35,0,0,49,32,57,0,0,0,0,49,0,0
15-27-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-28-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-29-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-30-05,0,47,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-31-05,0,48,0,33,0,0,49,33,57,0,0,0,0,49,0,0
15-32-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-33-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-34-05,0,47,0,35,0,0,49,33,57,0,0,0,0,49,0,0
15-35-05,0,47,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-36-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-37-05,0,47,0,33,0,0,49,33,57,0,0,0,0,49,0,0
15-38-05,0,47,0,34,0,0,48,33,57,0,0,0,0,49,0,0
15-39-05,0,48,0,33,0,0,49,33,57,0,0,0,0,49,0,0
15-40-05,0,48,0,33,0,0,49,33,57,0,0,0,0,49,0,0
15-41-05,0,49,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-42-05,0,49,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-43-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-44-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-45-05,0,49,0,33,0,0,49,33,57,0,0,0,0,49,0,32
15-46-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-47-05,0,48,0,34,0,0,49,33,57,0,0,0,0,49,0,0
15-48-05,0,49,0,33,0,0,49,33,57,0,0,0,0,49,0,0
15-49-05,0,47,0,34,0,0,48,33,0,0,0,0,0,49,0,0
15-50-05,0,47,0,34,0,0,49,33,0,0,0,0,0,49,0,0
15-51-05,0,48,0,34,0,0,48,33,0,0,0,0,0,49,0,0
15-52-05,0,0,0,34,0,0,49,33,0,0,0,0,0,49,0,0
15-53-05,0,0,0,34,0,0,49,33,0,0,0,0,0,49,0,0
15-54-05,0,0,0,36,0,0,49,32,0,0,0,0,0,49,0,0
15-55-05,0,0,0,34,0,0,49,33,0,0,0,0,0,49,0,0
15-56-05,0,0,0,34,0,0,49,33,0,0,0,0,0,49,0,0
15-57-05,0,0,0,34,0,0,0,33,0,0,0,0,0,50,0,0
15-58-05,0,0,0,34,0,0,0,33,0,0,0,0,0,49,0,0
15-59-05,0,0,0,35,0,0,0,33,0,0,0,0,0,50,0,0
16-00-05,0,0,0,35,0,0,0,33,0,0,0,0,0,49,0,0
16-01-05,0,0,0,34,0,0,0,33,0,0,0,0,0,49,0,0
16-02-05,0,0,0,35,0,0,0,33,0,0,0,0,0,49,0,0
16-03-05,0,0,0,35,0,0,0,33,0,0,0,0,0,49,0,0
16-04-05,0,0,0,34,0,0,0,33,0,0,0,0,0,50,0,32
16-05-05,0,0,0,34,0,0,0,33,0,0,0,0,0,51,0,0
16-06-05,0,0,0,34,0,0,0,33,0,0,0,0,0,52,0,0
16-07-05,0,0,0,34,0,0,0,33,0,0,0,0,0,52,0,0
16-08-05,0,0,0,34,0,0,0,33,0,0,0,0,0,51,0,0
