date,Uriah,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-52-01,0,0,49,0,0,59,33,0,0,0,0,0,0,57,0,0
09-53-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-54-01,0,0,48,0,0,61,0,0,0,0,0,0,0,57,0,0
09-55-01,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
09-56-01,0,0,47,0,0,59,0,0,0,0,0,0,0,56,0,0
09-57-01,0,0,49,0,0,60,0,0,0,0,0,0,0,58,0,0
09-58-01,0,0,49,0,0,59,0,0,0,0,0,0,0,57,0,0
09-59-01,0,0,49,31,0,60,0,0,0,0,0,0,0,56,0,0
10-00-01,0,0,48,0,0,60,0,0,0,0,0,0,0,56,0,0
10-01-01,0,0,41,0,0,41,0,0,0,0,0,0,0,31,0,0
10-02-01,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
10-03-41,0,0,31,0,0,32,0,0,0,0,0,0,0,0,0,0
10-04-11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
10-07-21,31,0,31,0,0,33,31,0,0,31,0,0,0,31,0,0
10-08-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-09-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-10-11,0,0,34,0,0,31,32,0,0,0,0,0,0,0,0,0
10-11-21,0,0,0,0,0,0,31,0,0,0,0,0,0,32,0,0
10-12-01,0,0,31,0,0,34,0,0,0,0,0,0,0,33,0,0
10-13-01,36,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
10-14-01,0,0,31,0,0,0,0,0,0,0,0,0,0,35,0,0
10-15-21,0,0,36,0,0,0,31,0,0,0,0,0,0,35,0,0
10-16-01,0,0,34,0,0,54,0,0,0,0,0,0,0,37,0,0
10-17-01,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-18-01,0,0,0,0,0,0,34,31,0,0,0,0,0,0,0,0
10-19-01,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
10-20-01,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
10-21-01,0,0,0,0,0,38,0,0,0,0,0,0,0,34,0,0
10-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
