date,Uriah,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-11-51,42,0,45,37,0,57,54,0,31,61,0,0,0,59,53,38
09-12-01,39,0,0,0,0,57,55,0,31,62,0,0,0,59,54,0
09-12-11,0,0,0,39,0,56,54,0,0,62,0,0,0,60,54,0
09-12-21,0,0,47,0,0,57,54,0,0,62,0,0,0,61,55,38
09-12-31,43,0,45,0,0,58,57,0,0,62,0,0,0,61,54,38
09-12-41,0,0,0,41,0,55,53,0,33,62,0,0,0,57,54,40
09-12-51,0,0,49,0,0,56,55,0,0,60,0,0,0,60,51,0
09-13-01,0,0,46,39,0,0,55,0,38,62,0,0,0,61,53,0
09-13-11,0,0,0,38,0,53,54,0,0,61,0,0,0,60,40,0
09-13-21,43,0,50,0,0,60,57,0,0,61,0,0,0,59,51,0
09-13-31,45,0,45,0,0,61,53,0,0,60,0,0,0,57,47,0
09-13-41,44,0,0,44,0,60,55,0,0,62,0,0,0,58,47,39
09-13-51,51,0,49,40,0,59,55,0,40,61,0,0,0,59,47,38
09-14-01,0,0,49,0,0,60,56,0,0,60,0,0,0,57,47,0
09-14-11,46,0,50,39,0,60,56,0,0,62,0,0,31,54,45,0
09-14-21,42,0,42,32,0,62,54,0,46,62,0,0,0,57,0,35
09-14-31,45,0,50,0,0,56,53,0,45,62,0,0,0,55,45,35
09-14-41,42,0,52,41,0,58,54,0,0,62,0,0,0,55,45,42
09-14-51,0,0,52,0,0,57,52,0,38,61,0,0,0,58,45,0
09-15-01,0,0,47,0,0,58,50,0,38,63,0,0,0,59,39,41
09-15-11,40,0,45,40,0,58,50,0,0,62,0,0,0,56,45,0
09-15-21,0,0,49,37,0,56,49,0,0,62,0,0,0,58,0,0
09-15-31,0,0,47,35,0,58,51,0,41,62,0,0,0,58,0,38
09-15-41,42,0,46,0,0,57,47,0,0,61,0,0,0,0,47,40
09-15-51,41,0,46,0,0,59,50,0,43,62,0,0,0,58,49,0
09-16-01,0,0,49,0,0,55,48,0,37,62,0,0,0,58,45,0
09-16-11,0,0,45,31,0,59,49,0,0,62,0,0,0,59,0,42
09-16-21,0,0,42,0,0,58,42,0,0,62,0,0,0,55,45,38
09-16-31,40,0,44,0,0,57,0,0,0,62,0,0,0,58,45,0
09-16-41,40,0,45,0,0,58,49,0,35,60,0,0,0,59,0,0
09-16-51,41,0,43,0,0,58,49,0,0,62,0,0,0,58,45,38
09-17-01,0,0,49,0,0,57,0,0,36,62,0,0,0,58,46,39
09-17-11,40,0,0,0,0,59,48,0,38,62,0,0,0,58,45,0
09-17-21,0,0,0,0,0,56,0,0,0,62,0,0,0,57,45,0
09-17-31,0,0,0,0,0,58,49,0,35,62,0,0,0,57,0,38
09-17-41,0,0,46,0,0,56,49,0,0,61,0,0,0,58,43,39
09-17-51,40,0,42,0,0,57,0,0,0,62,0,0,0,58,0,38
09-18-01,40,0,47,0,0,57,49,0,0,63,0,0,0,57,0,40
09-18-11,0,0,0,0,0,58,47,0,0,63,0,0,0,58,44,37
09-18-21,41,0,0,0,0,57,48,0,35,62,0,0,0,58,45,39
09-18-31,40,0,45,0,0,56,49,0,0,62,0,0,0,58,0,36
09-18-41,41,0,45,0,0,57,49,0,35,62,0,0,0,58,0,0
09-18-51,40,0,46,0,0,58,50,0,35,62,0,0,0,58,0,0
09-19-01,0,0,42,0,0,58,51,0,35,63,0,0,0,58,47,0
09-19-11,40,0,0,0,0,57,48,0,0,61,0,0,0,58,0,38
09-19-21,41,0,46,0,0,58,51,0,0,62,0,0,0,58,45,0
09-19-31,0,0,0,0,0,58,0,0,0,62,0,0,0,58,44,38
09-19-41,40,0,0,0,0,59,46,0,42,61,0,0,0,58,45,40
09-19-51,38,0,0,0,0,58,46,0,36,62,0,0,0,58,45,38
09-20-01,40,0,0,0,0,60,0,0,40,63,0,0,0,58,42,40
09-20-11,40,0,41,0,0,58,0,0,34,64,0,0,0,57,46,38
09-20-21,40,0,41,0,0,58,40,0,0,61,0,0,0,58,47,39
09-20-31,40,0,45,0,0,58,49,0,38,62,0,0,31,0,48,0
09-20-41,41,0,0,0,0,57,51,0,38,62,0,0,0,57,47,0
09-20-51,31,0,43,0,0,58,35,0,38,61,0,0,0,58,40,0
09-21-01,44,0,44,0,0,56,0,0,35,62,0,0,0,58,0,39
09-21-11,40,0,0,0,0,58,0,0,0,62,0,0,0,58,0,0
09-21-21,31,0,44,0,0,58,42,0,35,62,0,0,31,58,39,39
09-21-31,41,0,46,0,0,58,0,33,0,62,0,0,0,58,39,0
09-21-41,40,0,43,0,0,59,0,0,0,62,0,0,0,57,0,39
09-21-51,0,0,44,0,0,59,0,0,0,62,0,0,0,59,39,0
09-22-01,0,0,47,0,0,59,33,0,36,63,0,0,0,59,0,39
09-22-11,0,0,43,0,0,58,0,0,34,63,0,0,0,57,0,0
09-22-21,41,0,0,0,0,59,0,0,0,61,0,0,0,57,40,40
09-22-31,41,0,48,0,0,58,48,0,0,58,0,0,0,59,42,40
09-22-41,41,0,0,0,0,58,51,0,0,63,0,0,0,58,43,38
09-22-51,40,0,0,0,0,58,48,0,0,62,0,0,31,58,49,38
09-23-01,0,0,45,0,0,58,47,0,42,61,0,0,0,58,0,0
09-23-11,42,0,46,0,0,58,36,0,0,62,0,0,0,57,43,39
09-23-21,38,0,46,0,0,59,0,0,33,61,0,0,31,58,40,40
09-23-31,40,0,47,0,0,59,0,0,0,62,0,0,31,58,41,0
