date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,33,33,0,0,44,0,0,0,0,0,0,0,37,0
09-00-11,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-00-21,0,0,33,33,0,0,44,0,0,0,0,0,0,0,38,0
09-00-31,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-00-41,0,0,33,33,0,0,43,0,0,0,0,0,0,0,37,0
09-00-51,0,0,0,0,0,0,44,0,0,0,0,0,0,0,38,0
09-01-01,0,0,0,0,0,0,43,0,0,0,0,0,0,0,38,0
09-01-11,0,0,33,0,0,0,43,0,0,0,0,0,0,0,40,0
09-01-21,0,0,33,0,0,0,42,0,0,0,0,0,0,0,39,0
09-01-31,0,0,0,33,0,0,43,0,0,0,0,0,0,0,38,0
09-01-41,0,0,33,33,0,0,44,0,0,0,0,0,0,0,38,0
09-01-51,0,0,33,33,0,0,45,0,0,0,0,0,0,0,38,0
09-02-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-02-11,0,0,33,33,0,0,44,0,0,0,0,0,0,0,38,0
09-02-21,0,0,33,33,0,0,44,0,0,0,0,0,0,0,38,0
09-02-31,0,0,0,33,0,0,43,0,0,0,0,0,0,0,38,0
09-02-41,0,0,0,0,0,0,44,0,0,0,0,0,0,0,37,0
09-02-51,0,0,33,33,0,0,43,0,0,0,0,0,0,0,39,0
09-03-01,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-03-11,0,0,0,33,0,0,43,0,0,0,0,0,0,0,39,0
09-03-21,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-03-31,0,0,33,0,0,0,44,0,0,0,0,0,0,0,38,0
09-03-41,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-03-51,0,0,33,33,0,0,42,0,0,0,0,0,0,0,37,0
09-04-01,0,0,0,33,0,0,44,0,0,0,0,0,0,0,38,0
09-04-11,0,0,33,0,0,0,44,0,0,0,0,0,0,0,37,0
09-04-21,0,0,0,33,0,0,42,0,0,0,0,0,0,0,37,0
09-04-31,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-04-41,0,0,0,33,0,0,43,0,0,0,0,0,0,0,37,0
09-04-51,0,0,33,33,0,0,44,0,0,0,0,0,0,0,37,0
09-05-01,0,0,33,34,0,0,45,0,0,0,0,0,0,0,38,0
09-05-11,0,0,0,34,0,0,43,0,0,0,0,0,0,0,38,0
09-05-21,0,0,33,0,0,0,44,0,0,0,0,0,0,0,39,0
09-05-31,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-05-41,0,0,33,0,0,0,45,0,0,0,0,0,0,0,38,0
09-05-51,0,0,33,0,0,0,43,0,0,0,0,0,0,0,38,0
09-06-01,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-06-11,0,0,0,0,0,0,44,0,0,0,0,0,0,0,38,0
09-06-21,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-06-31,0,0,33,33,0,0,43,0,0,0,0,0,0,0,37,0
09-06-41,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-06-51,0,0,33,34,0,0,43,0,0,0,0,0,0,0,38,0
09-07-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,39,0
09-07-11,0,0,33,33,0,0,44,0,0,0,0,0,0,0,39,0
09-07-21,0,0,0,33,0,0,43,0,0,0,0,0,0,0,38,0
09-07-31,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-07-41,0,0,0,33,0,0,44,0,0,0,0,0,0,0,38,0
09-07-51,0,0,33,0,0,0,44,0,0,0,0,0,0,0,37,0
