date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-04-17,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-19,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-29,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-65,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-75,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-85,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-87,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-89,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-95,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-97,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-99,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-05-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-05-09,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-05-11,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-05-19,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-05-29,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-05-39,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-05-41,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-12-05,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-12-21,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-12-39,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-12-65,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-12-75,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-12-77,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-12-85,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-13-87,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-14-17,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-14-95,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-15-09,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-15-27,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-15-39,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-16-01,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-16-21,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-16-27,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-16-99,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-20-97,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-11,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-15,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-27,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-29,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-39,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-51,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-75,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-85,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-87,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-89,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-95,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-07,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-09,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-11,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-15,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-41,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-65,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-89,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-95,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-99,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-19,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-27,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-29,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-41,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-51,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-87,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-89,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-97,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-24-07,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-24-11,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-24-17,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-24-21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-24-77,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
