date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
09-13-41,39,63,0,53,0,60,41,0,49,0,0,0,0,58,53,50
09-13-51,39,60,0,55,0,61,40,0,50,0,0,0,0,55,51,50
09-14-01,0,61,53,52,0,61,0,0,0,0,0,0,0,55,50,0
09-14-11,44,61,53,0,0,60,39,0,0,0,0,0,34,54,50,50
09-14-21,0,63,53,55,0,61,0,0,49,0,0,0,0,57,0,51
09-14-31,39,60,53,0,0,61,50,34,54,0,0,0,0,41,52,0
09-14-41,43,62,53,56,0,63,0,0,50,0,0,0,35,0,0,47
09-14-51,46,61,0,0,0,63,50,36,51,0,0,0,0,55,0,0
09-15-01,0,63,52,0,0,63,40,39,0,0,0,0,0,61,0,0
09-15-11,0,63,0,0,0,62,42,0,0,0,0,0,0,0,0,0
09-15-21,41,59,54,37,0,61,45,0,51,0,0,0,0,0,0,0
09-15-31,0,62,53,0,0,62,47,38,53,0,0,0,33,0,0,47
09-15-41,0,61,54,0,0,62,54,35,50,0,0,0,0,55,46,47
09-15-51,45,63,56,0,0,64,45,0,0,0,0,0,34,50,44,48
09-16-01,45,62,53,0,0,61,47,0,53,0,0,0,0,55,0,0
09-16-11,0,60,58,32,0,63,51,38,52,0,0,0,0,53,36,46
09-16-21,44,61,39,0,0,61,0,0,0,0,0,0,34,54,49,0
09-16-31,0,62,53,0,0,63,0,39,52,0,0,0,0,51,0,51
09-16-41,0,59,55,0,0,62,44,39,0,0,0,0,0,54,0,48
09-16-51,44,63,53,0,0,62,38,0,0,0,0,0,33,53,0,48
09-17-01,0,62,54,0,0,63,41,0,0,0,0,0,0,53,43,47
09-17-11,43,62,54,0,0,63,41,0,0,0,0,0,32,53,0,43
09-17-21,0,63,54,0,0,63,0,40,0,0,0,0,0,0,46,48
09-17-31,0,62,54,0,0,63,42,39,53,0,0,0,0,52,46,48
09-17-41,44,59,55,0,0,62,0,32,0,0,0,0,0,51,46,0
09-17-51,44,63,55,0,0,62,39,0,51,0,0,0,33,54,46,48
09-18-01,0,62,55,0,0,63,39,40,50,0,0,0,0,54,46,47
09-18-11,0,64,55,0,0,63,38,0,52,0,0,0,34,54,43,47
09-18-21,46,62,53,0,0,62,39,0,49,0,0,0,0,46,36,46
09-18-31,45,61,54,0,0,63,37,0,53,0,0,0,32,54,0,47
09-18-41,44,61,54,0,0,63,38,0,50,0,0,0,34,53,0,0
09-18-51,45,63,54,0,0,61,0,0,52,0,0,0,0,0,0,0
09-19-01,0,63,55,0,0,63,39,0,50,0,0,0,0,55,0,0
09-19-11,0,59,53,0,0,63,0,0,52,0,0,0,0,54,0,47
09-19-21,44,62,53,0,0,61,42,37,0,0,0,0,33,53,40,48
09-19-31,0,62,55,0,0,62,0,0,51,0,0,0,0,53,0,0
09-19-41,43,63,52,0,0,63,0,0,50,0,0,0,0,54,46,48
09-19-51,42,63,52,0,0,62,48,41,50,0,0,0,0,48,46,0
09-20-01,46,62,54,0,0,62,0,0,52,0,0,0,33,53,0,48
09-20-11,0,64,0,0,0,61,45,33,52,0,0,0,0,53,0,0
09-20-21,43,62,55,0,0,64,0,0,50,0,0,0,34,52,0,47
09-20-31,44,62,55,0,0,63,0,0,53,0,0,0,0,53,36,48
09-20-41,38,61,53,0,0,62,46,38,52,0,0,0,0,0,0,48
09-20-51,43,62,0,0,0,61,52,0,52,0,0,0,0,0,45,0
09-21-01,39,62,49,0,0,62,41,0,49,0,0,0,0,55,48,0
09-21-11,44,61,55,0,0,63,38,0,53,0,0,0,0,55,0,0
09-21-21,43,63,54,0,0,63,38,0,52,0,0,0,0,0,47,48
09-21-31,44,61,53,0,0,62,36,0,0,0,0,0,0,55,43,0
09-21-41,43,62,53,0,0,62,39,0,0,0,0,0,0,54,0,47
09-21-51,45,59,53,0,0,63,0,0,53,0,0,0,0,0,40,0
09-22-01,0,59,54,0,0,63,41,0,53,0,0,0,0,0,52,48
09-22-11,39,60,55,0,0,63,0,0,52,0,0,0,0,47,39,48
09-22-21,45,63,55,0,0,62,35,0,52,0,0,0,0,54,50,0
09-22-31,0,63,0,0,0,62,52,0,51,0,0,0,0,54,0,0
09-22-41,0,62,53,0,0,64,33,0,49,0,0,0,0,49,0,0
09-22-51,39,63,53,0,0,60,53,0,52,0,0,0,0,55,47,48
09-23-01,43,61,54,0,0,63,0,0,50,0,0,0,0,53,0,0
09-23-11,45,62,50,0,0,63,34,0,0,0,0,0,0,47,0,50
09-23-21,41,62,54,0,0,57,0,0,51,0,0,0,0,56,48,0
09-23-31,43,60,53,0,0,63,0,0,51,0,0,0,0,53,0,0
09-23-41,46,62,0,0,0,62,0,0,52,0,0,0,32,52,42,48
09-23-51,0,62,45,0,0,63,32,0,0,0,0,0,32,55,46,0
09-24-01,0,62,52,0,0,61,0,0,0,0,0,0,0,55,42,0
09-24-11,44,61,50,0,0,0,0,0,50,0,0,0,0,52,43,49
09-24-21,46,62,0,0,0,61,35,0,52,0,0,0,0,54,0,47
09-24-31,45,62,53,0,0,61,0,0,0,0,0,0,0,0,0,48
09-24-41,43,62,52,0,0,61,0,0,50,0,0,0,0,55,33,0
09-24-51,41,61,53,0,0,63,0,0,51,0,0,0,0,55,0,0
09-25-01,0,62,50,0,0,62,0,0,50,0,0,0,0,52,0,48
09-25-11,44,60,51,0,0,61,0,0,52,0,0,0,32,53,32,48
09-25-21,45,62,49,0,0,62,38,0,0,0,0,0,0,56,0,46
09-25-31,41,62,47,0,0,62,0,0,0,0,0,0,0,58,36,48
09-25-41,43,62,45,0,0,62,0,0,0,0,0,0,0,57,0,48
09-25-51,44,60,45,0,0,63,0,0,0,0,0,0,0,55,37,47
09-26-01,43,62,50,0,0,61,0,0,47,0,0,0,0,59,0,47
09-26-11,40,62,0,0,0,62,0,0,0,0,0,0,0,57,37,48
09-26-21,44,51,50,0,0,61,0,0,0,0,0,0,0,55,47,48
09-26-31,44,62,50,0,0,61,41,0,0,0,0,0,0,55,33,48
09-26-41,41,61,0,0,0,61,36,0,0,0,0,0,32,57,0,49
09-26-51,43,61,52,0,0,61,34,0,0,0,0,0,0,56,0,47
09-27-01,44,62,50,0,0,59,0,0,0,0,0,0,0,56,0,0
09-27-11,44,62,50,0,0,61,0,0,0,0,0,0,0,58,0,48
