date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
09-13-41,0,0,58,53,0,53,60,55,0,54,0,0,52,0,0,0
09-13-51,0,50,60,49,0,55,59,53,0,53,0,0,51,0,0,0
09-14-01,0,51,0,55,42,56,53,57,0,0,0,0,52,53,0,0
09-14-11,0,48,59,55,0,55,58,58,0,0,0,0,52,0,0,0
09-14-21,0,0,58,54,0,49,58,51,32,0,0,0,0,55,0,0
09-14-31,32,0,58,0,43,53,0,60,37,0,0,0,53,53,0,0
09-14-41,33,48,60,0,44,53,56,60,0,53,0,0,0,54,0,0
09-14-51,0,0,55,37,42,0,58,54,0,53,0,0,0,54,0,36
09-15-01,34,48,57,0,44,51,59,56,0,0,0,0,52,54,0,0
09-15-11,0,0,58,33,44,0,52,58,0,0,0,0,51,52,0,0
09-15-21,0,49,56,32,42,54,58,56,0,50,0,0,52,0,0,0
09-15-31,0,48,58,0,41,53,56,58,0,0,0,0,52,55,0,36
09-15-41,0,50,59,36,41,52,57,58,0,0,0,0,0,53,0,0
09-15-51,0,44,60,0,41,55,57,55,0,47,0,0,52,0,0,0
09-16-01,0,51,58,0,0,53,53,58,0,47,0,0,53,53,0,0
09-16-11,0,44,57,0,43,53,54,0,0,0,0,0,52,54,0,32
09-16-21,0,47,54,48,0,53,54,57,0,0,0,0,45,52,0,0
09-16-31,0,46,56,53,41,0,58,59,0,0,0,0,51,53,0,0
09-16-41,0,0,57,0,42,50,58,58,0,48,0,0,49,53,0,0
09-16-51,0,0,57,0,0,51,59,58,0,48,0,0,51,52,0,33
09-17-01,0,47,56,0,0,52,59,58,0,0,0,0,51,51,0,34
09-17-11,0,0,56,0,39,52,59,56,0,0,0,0,52,50,0,37
09-17-21,0,47,59,0,42,0,58,58,0,48,0,0,51,52,0,0
09-17-31,0,0,58,0,42,53,57,58,0,43,0,0,51,53,0,0
09-17-41,0,48,58,0,0,52,58,57,36,50,0,0,52,53,0,0
09-17-51,0,44,55,33,41,0,58,54,0,48,0,0,53,50,0,0
09-18-01,0,48,56,38,0,53,0,57,36,0,0,0,50,53,0,36
09-18-11,0,0,58,0,43,52,58,58,0,47,0,0,55,54,0,0
09-18-21,0,0,58,0,42,0,58,58,0,0,0,0,54,54,0,0
09-18-31,0,47,58,0,0,0,56,56,0,47,0,0,52,52,0,0
09-18-41,0,46,57,0,41,53,56,55,0,0,0,0,52,52,0,0
09-18-51,0,48,57,0,0,52,56,57,0,36,0,0,51,0,0,0
09-19-01,0,47,58,0,42,52,59,57,0,47,0,0,51,52,0,0
09-19-11,0,48,0,0,45,53,53,58,0,46,0,0,0,53,0,0
09-19-21,0,0,58,0,0,53,58,58,47,50,0,0,52,55,0,0
09-19-31,0,0,58,0,43,51,55,54,0,40,0,0,52,53,0,0
09-19-41,0,47,0,0,41,53,57,58,0,0,0,0,51,53,0,33
09-19-51,0,0,58,0,42,52,57,57,36,49,0,0,52,52,0,0
09-20-01,0,0,59,0,42,53,58,55,0,45,0,0,52,53,0,0
09-20-11,0,49,59,0,0,53,0,51,0,45,0,0,52,48,0,0
09-20-21,0,47,59,0,40,53,62,59,0,0,0,0,51,0,0,0
09-20-31,0,47,60,0,40,55,62,57,0,0,0,0,49,0,0,0
09-20-41,0,49,58,0,0,54,56,58,0,45,0,0,49,0,0,0
09-20-51,33,49,60,0,40,0,57,58,0,48,0,0,49,53,0,0
09-21-01,0,43,38,0,39,0,51,45,36,40,0,0,0,0,0,0
09-21-11,0,43,49,0,38,0,48,0,0,47,0,0,45,0,0,0
09-21-21,0,42,45,0,0,0,50,0,35,51,0,0,45,42,0,0
09-21-31,0,42,49,0,37,47,49,0,0,47,0,0,36,44,0,0
09-21-41,0,43,47,0,38,50,0,0,0,53,0,0,0,45,0,0
09-21-51,0,42,49,0,0,49,40,0,0,48,0,0,45,46,0,0
09-22-01,0,41,49,0,0,48,58,42,40,51,0,0,45,47,0,0
09-22-11,0,41,49,0,40,49,54,0,33,51,0,0,0,45,0,0
09-22-21,0,45,50,0,38,46,41,0,0,50,0,0,46,0,0,0
09-22-31,0,44,42,0,37,35,54,0,0,46,0,0,46,0,0,0
09-22-41,0,41,49,0,0,46,53,0,40,52,0,0,47,47,0,0
09-22-51,0,45,45,32,0,0,54,0,0,43,0,0,46,42,0,0
09-23-01,0,45,52,0,36,43,56,0,0,47,0,0,47,43,0,0
09-23-11,0,0,48,0,0,45,45,40,0,53,0,0,48,48,0,0
09-23-21,0,0,51,0,36,0,52,0,35,45,0,0,46,0,0,0
09-23-31,0,0,50,0,36,0,0,0,0,48,0,0,46,43,0,0
09-23-41,0,49,50,0,36,0,0,0,34,47,0,0,0,48,0,0
09-23-51,0,49,48,0,34,47,0,0,40,50,0,0,47,52,0,0
09-24-01,0,44,56,0,0,42,0,0,0,42,0,0,45,46,0,0
09-24-11,0,39,44,0,0,0,45,0,0,38,0,0,0,41,0,0
09-24-21,0,0,40,0,0,39,42,0,32,0,0,0,0,41,0,0
09-24-31,0,0,45,0,0,0,44,0,0,39,0,0,34,40,0,0
09-24-41,0,0,45,0,0,35,0,0,0,37,0,0,0,43,0,0
09-24-51,0,0,44,0,0,39,38,0,0,0,0,0,0,37,0,0
09-25-01,0,35,43,0,0,40,0,0,0,38,0,0,0,44,0,0
09-25-11,0,37,40,32,0,39,41,0,0,36,34,0,0,39,0,0
09-25-21,0,32,44,0,0,44,40,0,32,0,0,0,0,44,0,0
09-25-31,0,0,44,0,0,37,0,0,38,0,36,0,0,43,0,0
09-25-41,0,34,34,0,0,35,0,0,32,0,0,0,0,0,0,0
09-25-51,0,0,40,0,0,37,0,0,0,41,0,0,0,41,0,0
09-26-01,0,0,44,0,0,36,0,0,0,36,0,0,0,45,0,0
09-26-11,0,0,41,0,0,42,0,0,0,44,45,0,0,43,0,0
09-26-21,0,48,56,0,0,44,0,0,0,50,0,0,40,57,0,0
09-26-31,0,39,34,36,0,0,36,0,0,38,0,0,0,40,0,0
09-26-41,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
09-26-51,0,0,0,53,0,0,34,0,0,0,0,0,0,0,0,0
09-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-27-21,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
09-27-31,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
09-27-51,32,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
09-28-01,36,0,34,0,0,35,0,0,0,0,0,0,0,0,0,0
09-28-11,0,0,0,34,0,33,0,0,38,0,0,0,0,0,0,0
09-28-21,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
09-28-31,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
09-28-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
09-29-01,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
09-29-11,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-29-21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
09-29-31,0,0,0,37,0,33,0,0,0,0,0,0,0,0,0,0
09-29-51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-30-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-30-41,38,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
09-31-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-31-21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-31-31,32,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
09-31-41,0,0,32,0,0,34,0,0,0,0,0,0,0,0,0,0
09-31-51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-32-21,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
09-32-31,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
09-32-41,40,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
09-32-51,32,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
09-33-01,39,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
09-33-11,38,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
09-33-31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-33-41,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-33-51,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-34-11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-34-21,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-35-41,40,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
09-35-51,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
09-36-01,0,0,0,0,0,0,35,0,0,0,0,0,36,0,0,0
09-36-11,0,0,0,0,0,32,37,0,0,0,0,0,32,0,0,0
09-36-21,0,0,0,32,0,0,41,0,0,0,0,0,0,34,0,0
09-36-31,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-37-21,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-37-31,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
09-37-41,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
09-37-51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-38-01,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
09-38-21,0,0,0,57,0,0,0,0,0,0,0,0,36,0,0,0
09-38-31,0,0,0,40,0,0,36,0,0,0,0,0,0,0,0,0
09-38-41,0,0,0,36,0,0,43,0,0,0,0,0,0,0,0,0
09-38-51,0,0,0,32,0,33,0,0,0,0,0,0,0,0,0,0
09-39-01,0,36,0,44,0,39,0,0,0,37,0,0,0,34,0,0
09-39-11,0,0,38,0,0,34,0,0,0,38,0,0,0,35,0,0
09-39-21,0,33,34,0,0,36,35,0,0,40,35,0,0,0,0,0
09-39-31,0,0,32,0,0,36,0,0,0,36,0,0,0,34,0,0
09-39-41,0,35,0,0,0,35,0,0,0,33,0,0,0,0,0,0
09-39-51,0,43,34,32,0,41,0,0,0,48,0,0,0,35,0,0
09-40-01,0,33,0,52,0,38,0,0,0,45,0,0,0,32,0,0
09-40-11,0,0,33,33,0,0,0,0,0,0,0,0,35,0,0,0
09-40-21,0,40,36,34,0,45,0,0,0,36,0,0,40,0,0,0
09-40-31,0,0,37,0,0,40,0,0,0,38,0,0,0,40,0,0
09-40-41,0,36,49,0,0,39,0,0,0,32,0,0,32,39,0,0
09-40-51,0,34,41,0,0,0,0,0,0,0,0,0,37,0,0,0
09-41-01,0,38,39,0,0,42,0,0,0,39,0,0,0,41,0,0
09-41-11,0,33,0,0,0,36,32,34,0,0,0,0,0,0,0,0
09-41-21,0,0,32,0,0,0,37,0,0,0,0,0,0,0,0,0
09-41-31,0,35,0,0,0,32,0,0,0,0,0,0,0,39,0,0
09-41-41,0,36,0,0,0,0,0,0,0,39,0,0,0,37,0,0
09-41-51,0,0,0,0,0,40,0,0,0,0,0,0,0,41,0,0
09-42-01,0,39,44,0,0,37,0,0,0,0,0,0,43,42,0,0
09-42-11,0,0,39,0,0,0,0,0,0,0,0,0,38,38,0,0
09-42-21,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
09-42-31,0,0,0,39,0,0,0,0,0,0,0,0,48,0,0,0
09-42-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-42-51,0,0,0,43,0,0,39,0,0,0,0,0,0,0,0,0
09-43-01,0,0,0,34,0,0,35,0,0,0,0,0,0,0,0,0
09-43-21,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
09-43-31,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
