date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-47-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-48-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-50-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-51-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-52-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-53-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-54-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-55-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-56-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-57-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-58-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-59-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-00-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
13-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
13-10-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-11-01,0,41,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-12-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-13-01,0,42,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-14-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-15-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-16-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-17-01,0,41,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-18-01,0,43,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-19-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-20-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-21-01,0,44,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-22-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-23-01,0,43,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-24-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-25-01,0,43,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-26-01,0,44,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-27-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-28-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-29-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-30-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-31-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-32-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-33-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-34-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-35-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-36-01,0,42,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-37-01,0,44,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-38-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-39-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-40-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-41-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-42-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-43-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-44-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-45-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-46-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-47-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-48-01,0,45,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-49-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-50-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-51-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-52-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-53-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-54-01,0,42,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-55-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-56-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-57-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-58-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-59-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-00-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-01-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-02-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-03-01,0,44,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-04-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-05-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-06-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-07-01,0,42,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-08-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-09-01,0,43,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-10-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-11-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-12-01,0,42,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-13-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-14-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-15-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-16-01,0,43,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-17-01,0,44,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-18-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-19-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-20-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-21-01,0,44,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-22-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-23-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-24-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-25-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-26-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-27-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-28-01,0,44,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-29-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-30-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-31-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-32-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-33-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-34-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-35-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-36-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-37-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-38-01,0,43,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-39-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-40-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-41-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-42-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-43-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-44-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-45-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-46-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-47-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-48-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-49-01,0,44,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-50-01,0,43,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-51-01,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-52-01,0,43,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-53-01,0,43,0,0,0,31,0,0,0,0,0,0,0,32,0,0
14-54-01,0,42,0,0,0,0,0,0,0,0,0,0,0,32,0,0
14-55-01,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
14-56-01,0,42,36,0,0,0,0,0,0,0,0,0,0,31,0,0
14-57-01,0,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0
14-58-01,0,43,32,0,0,0,0,0,0,0,0,0,0,0,0,0
14-59-01,0,42,33,0,0,0,0,0,0,0,0,0,0,0,0,0
14-64-79,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
14-85-48,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
14-86-04,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
14-89-39,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
14-90-24,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
15-00-01,0,43,33,0,0,0,0,0,0,0,0,0,0,31,0,0
15-01-01,0,44,31,0,0,0,0,0,0,0,0,0,0,33,0,0
15-02-01,0,38,31,0,0,31,0,0,0,0,0,0,0,35,0,0
15-03-01,0,38,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-04-01,0,39,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-05-01,0,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0
15-06-01,0,38,31,0,0,0,0,0,0,0,0,0,0,35,0,0
15-07-01,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-08-01,0,39,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-09-01,0,40,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-10-01,0,39,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-11-01,0,40,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-12-01,0,39,31,0,0,0,0,0,0,0,0,0,0,33,0,0
15-13-01,0,40,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-14-01,0,40,31,0,0,0,0,0,0,0,0,0,0,0,0,0
15-15-01,0,39,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-16-01,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
