date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-13-41,0,60,58,51,0,57,0,0,0,54,0,0,36,0,47,0
09-13-51,0,0,55,49,0,58,51,0,54,55,0,0,0,0,0,0
09-14-01,0,58,60,52,0,52,0,0,51,55,0,0,36,0,52,0
09-14-11,0,57,58,52,0,56,54,43,52,50,0,0,0,0,51,0
09-14-21,0,51,55,50,0,56,53,0,56,56,0,0,0,0,0,0
09-14-31,0,54,54,0,0,59,53,0,60,43,0,0,0,0,48,37
09-14-41,0,55,56,0,0,58,49,43,56,55,0,0,0,0,50,40
09-14-51,38,0,56,0,0,57,56,43,54,0,0,0,0,0,51,33
09-15-01,35,58,57,33,0,61,0,41,0,55,0,0,0,0,52,31
09-15-11,0,57,56,45,0,57,52,0,0,0,0,0,0,0,50,0
09-15-21,0,57,55,0,0,59,53,0,55,0,0,0,0,0,0,0
09-15-31,0,56,56,33,0,59,49,0,54,50,0,0,36,0,49,34
09-15-41,0,62,56,37,0,58,49,43,55,52,0,0,0,0,0,0
09-15-51,0,54,56,0,0,58,51,41,54,52,0,0,34,0,0,0
09-16-01,0,58,55,40,0,59,53,42,55,54,0,0,34,0,49,0
09-16-11,0,57,56,0,0,59,54,0,58,0,0,0,0,0,52,0
09-16-21,0,0,56,0,0,59,53,0,0,55,0,0,0,0,51,34
09-16-31,0,57,57,45,0,56,53,41,55,52,0,0,33,0,49,0
09-16-41,0,55,56,0,0,59,54,41,55,52,0,0,0,0,0,0
09-16-51,0,57,56,0,0,59,53,0,55,52,0,0,35,0,49,0
09-17-01,0,57,56,0,0,58,0,42,53,0,0,0,33,0,49,0
09-17-11,0,56,55,0,0,59,0,0,55,0,0,0,0,0,50,39
09-17-21,0,57,56,0,0,58,52,42,0,52,0,0,33,0,49,0
09-17-31,0,57,53,0,0,58,53,0,55,52,0,0,0,0,0,35
09-17-41,0,57,53,0,0,57,0,41,55,52,0,0,0,0,50,0
