date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
10-13-01,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
10-14-41,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-15-01,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-16-01,0,0,0,0,0,34,33,0,0,0,0,0,0,0,0,0
10-17-11,0,32,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-18-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-19-01,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-21,0,33,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-01,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-22-01,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-23-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-24-01,0,37,39,34,0,0,0,0,0,0,0,0,0,0,0,0
10-25-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
10-26-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
10-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-28-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-29-01,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
10-30-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
10-31-01,0,0,0,0,0,0,0,0,33,0,0,0,0,36,0,0
10-32-31,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-33-01,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-31,0,0,0,0,0,0,0,0,34,0,0,0,0,33,0,0
10-35-11,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-36-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-37-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,35,0
10-38-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-39-01,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-40-01,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-41-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
10-42-01,0,0,32,0,0,0,46,0,0,0,0,0,0,0,0,0
10-43-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
10-44-01,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-45-01,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
10-46-31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-47-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-48-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,35,0
10-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
10-50-01,0,0,0,0,0,40,34,0,0,0,0,0,0,34,0,0
10-51-01,0,0,0,0,0,43,0,0,0,0,0,0,0,32,0,0
10-52-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0
10-53-01,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
10-54-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-55-01,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-01,0,0,32,0,0,0,41,0,0,0,0,0,0,0,0,0
10-58-21,36,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-59-01,0,0,0,0,0,0,37,0,33,0,0,0,0,0,0,0
11-00-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,34,0
11-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
11-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
11-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
11-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
11-06-01,0,0,0,0,0,0,36,0,34,0,0,0,0,35,0,0
11-07-01,0,0,0,0,0,0,36,0,32,0,0,0,0,0,0,0
11-08-01,0,32,0,0,0,0,34,0,0,0,0,0,0,34,0,0
11-09-01,0,34,0,0,0,0,0,0,37,0,0,0,0,36,0,0
11-10-01,0,0,0,32,0,0,33,0,0,0,0,0,0,38,0,0
11-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
11-13-01,0,0,0,0,0,0,54,0,0,0,0,0,34,0,0,0
11-14-01,0,34,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-15-01,0,34,0,0,0,0,44,0,0,0,0,0,0,32,32,0
11-16-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-17-01,0,0,0,0,0,0,43,0,0,0,0,0,0,33,0,0
11-18-01,0,0,0,0,0,0,43,0,0,0,0,0,0,32,0,0
11-19-01,0,0,0,0,0,0,32,0,0,0,0,0,0,34,0,0
11-20-01,0,0,0,0,0,0,37,0,0,0,0,0,0,32,0,0
11-21-01,0,0,33,0,0,36,0,0,0,0,0,0,0,0,0,0
11-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-23-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
11-24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-25-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-26-01,0,0,0,0,0,0,33,0,0,0,0,0,0,33,41,0
11-27-01,0,0,0,0,0,0,33,0,0,0,0,0,0,32,0,0
11-28-01,0,0,0,0,0,0,47,0,0,0,0,0,0,34,0,0
11-29-01,0,0,0,0,0,0,42,0,0,0,0,0,0,32,0,0
11-30-01,0,0,0,0,0,0,47,0,0,0,0,0,0,35,0,0
11-31-11,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-32-01,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-33-01,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,0
11-34-01,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
11-35-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
11-36-01,39,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
11-37-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-38-01,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
11-39-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
11-40-01,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
11-41-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-42-01,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
11-43-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
11-44-21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-45-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-46-41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
11-47-51,0,0,34,34,0,0,0,0,0,0,0,0,0,32,0,0
11-48-01,0,0,35,0,0,0,0,0,0,0,0,0,0,0,36,0
11-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
11-50-01,39,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-51-01,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
11-52-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-53-01,0,0,0,0,0,0,35,0,0,0,0,0,0,36,0,0
11-54-01,0,0,0,0,0,0,53,0,0,0,0,0,0,0,35,0
11-55-01,0,0,0,0,0,0,54,0,0,0,0,0,0,0,43,0
11-56-01,0,0,0,0,0,0,51,0,0,0,0,0,0,0,42,0
11-57-01,0,0,0,0,0,0,53,0,0,0,0,0,0,0,46,0
11-58-01,0,0,0,0,0,0,46,0,0,0,0,0,0,0,33,0
11-59-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
12-00-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
12-01-01,39,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-02-01,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
12-03-01,0,0,0,0,0,0,35,0,0,0,0,0,0,0,35,0
12-04-01,0,0,0,0,0,0,43,0,0,0,0,0,0,0,53,0
12-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
12-06-01,0,0,32,0,0,0,0,0,0,0,0,0,0,0,48,0
12-07-01,0,0,0,0,0,0,40,0,0,0,0,33,0,0,0,0
12-08-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-09-01,0,0,0,0,0,0,51,0,0,0,0,0,0,0,55,0
12-10-01,0,0,0,0,0,0,55,0,0,0,0,0,0,0,54,0
12-11-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,33,0
12-12-01,0,0,0,0,0,0,44,0,0,0,0,0,0,0,41,0
12-13-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
12-14-01,0,0,0,0,0,0,41,0,0,0,0,0,0,0,33,0
12-15-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0
12-16-01,0,0,0,33,0,0,39,0,0,0,0,0,0,0,33,0
12-17-01,0,0,32,0,0,0,46,0,0,0,0,0,0,0,43,0
12-18-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
12-19-01,0,0,0,0,0,0,59,0,0,0,0,0,0,0,33,0
12-20-01,0,0,0,0,0,0,44,0,0,0,0,0,0,0,33,0
12-21-01,0,0,33,0,0,0,45,0,0,0,0,0,0,0,48,0
12-22-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
12-23-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-25-01,0,0,37,0,0,0,34,0,0,0,0,0,0,0,0,0
12-26-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-28-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
12-29-01,0,0,32,0,0,0,0,0,0,0,0,0,0,0,41,0
12-30-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-31-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-32-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-33-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
12-34-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-35-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
12-36-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-37-11,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
12-38-31,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
12-39-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-40-01,0,0,32,0,0,36,55,0,0,0,0,0,0,41,33,0
12-41-01,0,0,0,0,0,0,0,0,0,0,0,0,35,33,0,0
12-42-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-43-01,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
12-44-01,0,32,0,0,0,33,0,0,0,0,0,0,34,49,0,0
12-45-01,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
12-46-01,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
12-47-01,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
12-48-01,0,0,0,0,0,32,0,0,0,0,0,0,0,48,32,0
12-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,44,32,0
12-50-01,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
12-51-01,0,0,0,0,0,0,0,0,0,0,0,0,0,49,39,0
