date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Taj,Silas,Beatrice,Willa
13-13-11,0,36,0,0,0,0,0,0,0,43,0,0,0,47,38,0
13-14-21,0,0,0,0,0,0,0,0,0,44,0,0,0,0,37,0
13-14-31,0,0,0,0,0,0,0,0,0,0,0,0,0,42,36,0
13-14-41,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
13-14-51,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-15-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-15-31,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
13-15-51,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-16-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-16-51,0,0,0,0,0,0,0,0,0,43,0,0,0,0,40,0
13-17-01,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
13-17-11,0,47,0,0,0,0,0,0,0,36,0,0,0,44,0,0
13-17-41,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
13-18-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-18-11,0,37,0,0,0,0,0,0,0,39,0,0,0,39,36,0
13-18-21,0,0,0,0,0,0,0,0,0,37,0,0,0,37,36,0
13-18-31,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-18-41,0,38,0,0,0,0,0,0,0,0,0,0,0,43,0,0
13-18-51,0,40,0,0,0,0,0,0,0,0,0,0,0,40,0,0
13-19-01,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
13-19-11,0,0,0,0,0,0,0,0,0,37,0,0,0,43,38,0
13-19-21,0,36,0,0,0,0,0,0,0,36,0,0,0,39,0,0
13-19-31,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
13-19-41,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
13-19-51,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
13-20-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-20-31,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
13-20-41,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
13-21-21,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
13-21-31,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
13-22-31,38,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-22-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-23-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-23-11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-23-21,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-23-31,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
13-23-41,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
13-23-51,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
13-24-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-24-41,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
13-25-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-26-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-26-31,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-26-41,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-27-21,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
13-27-41,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-27-51,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
13-28-31,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
13-28-41,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-30-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-30-21,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-32-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-32-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-33-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-33-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-33-21,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-34-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-37-41,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
13-38-41,0,0,0,0,0,0,0,0,0,38,0,0,0,36,0,0
13-38-51,0,0,0,0,0,0,0,0,37,40,0,0,0,36,0,0
13-40-21,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
13-40-31,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
13-40-51,0,0,0,0,0,42,0,0,36,0,0,0,0,0,0,0
13-41-51,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
13-42-11,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-42-21,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
13-42-41,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
13-43-01,0,0,42,0,0,0,36,0,0,0,0,0,0,0,0,0
13-43-31,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
13-43-41,0,0,38,0,0,37,0,0,0,0,0,0,0,0,0,0
13-43-51,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
13-44-01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
13-44-21,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
13-45-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-47-21,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
13-47-41,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
13-47-51,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39,0
13-48-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-48-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
13-48-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
13-48-31,0,0,0,0,0,0,0,0,0,37,0,0,0,37,41,0
13-48-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
13-48-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
13-49-01,0,0,0,0,0,0,0,0,0,41,0,0,0,37,36,0
13-49-11,0,0,0,0,0,0,0,0,0,38,0,0,0,38,38,0
13-49-21,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0
13-49-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
13-49-51,0,0,0,0,0,0,0,0,0,36,0,0,0,0,37,0
13-50-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,0
13-50-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
13-50-21,0,0,0,0,0,0,0,0,0,37,0,0,0,0,39,0
13-50-31,0,0,0,0,0,0,0,0,0,39,0,0,0,39,40,0
13-50-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
13-50-51,0,0,0,0,0,0,0,0,0,41,0,0,0,38,43,0
13-51-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
13-51-11,0,0,0,0,0,0,0,0,0,37,0,0,0,0,40,0
13-51-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
13-51-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-51-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-51-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-52-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-52-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-52-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-52-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
13-52-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
13-52-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
13-53-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-53-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
13-53-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-53-41,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37,0
13-53-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-54-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
13-54-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
13-54-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
13-54-31,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
13-54-41,0,37,0,0,0,0,0,0,0,37,0,0,0,36,0,0
13-54-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-55-01,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0
13-55-11,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
13-55-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-55-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
13-55-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-55-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
13-56-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-56-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
13-56-31,0,0,0,0,0,0,0,0,0,37,0,0,0,0,38,0
13-56-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-57-01,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0
13-57-11,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0
13-57-21,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,0
13-57-31,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0
13-57-41,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,0
13-57-51,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,0
13-58-01,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,0
13-59-31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
13-59-41,0,0,0,0,0,0,0,0,0,39,0,0,0,41,0,0
14-00-11,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,0
14-00-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
14-00-31,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39,0
14-00-41,0,0,0,0,0,0,0,0,0,0,0,0,0,37,40,0
14-00-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
14-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
14-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,0
14-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,0
14-01-31,0,0,0,0,0,0,43,0,0,0,0,0,0,36,38,0
14-01-41,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
14-01-51,0,0,0,0,0,0,42,0,0,0,0,0,0,40,39,0
14-02-01,0,0,0,0,0,0,42,0,0,0,0,0,0,36,37,0
14-02-11,0,36,0,0,0,0,47,0,0,0,0,0,0,39,0,0
14-02-21,0,39,0,0,0,0,0,0,0,36,0,0,0,40,38,0
14-02-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
14-02-41,0,0,0,0,0,0,0,0,0,37,0,0,0,0,40,0
14-02-51,0,0,0,0,0,0,0,0,0,37,0,0,0,37,40,0
14-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
14-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,37,40,0
14-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,0
14-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,0
14-03-41,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-03-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
14-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
14-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
14-04-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
