date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-13-41,38,38,0,46,0,45,48,0,0,54,0,0,0,60,38,44
09-13-51,0,0,47,45,0,0,43,0,0,54,0,0,0,59,0,43
09-14-01,0,42,46,45,0,43,48,0,0,49,0,0,0,59,0,46
09-14-11,38,38,0,44,0,44,49,0,0,52,0,0,0,59,0,0
09-14-21,0,0,42,0,0,0,50,0,0,55,0,0,0,61,0,43
09-14-31,38,53,0,0,0,0,46,0,0,56,0,0,0,60,0,45
09-14-41,0,0,48,43,0,52,0,0,0,56,0,0,0,62,0,44
09-14-51,0,41,48,0,0,52,50,0,0,55,0,0,0,61,45,43
09-15-01,0,41,39,0,0,47,47,0,0,55,0,0,0,60,39,43
09-15-11,0,0,42,0,0,50,43,0,0,56,0,0,0,60,0,0
09-15-21,0,0,41,0,0,47,43,0,0,56,0,0,0,62,44,0
09-15-31,0,0,43,0,0,47,0,0,0,55,0,0,0,60,0,44
09-15-41,0,0,45,0,0,47,47,0,0,54,0,0,0,60,38,43
09-15-51,0,44,44,0,0,46,47,0,0,57,0,0,0,60,0,44
09-16-01,0,0,42,0,0,0,49,0,0,58,0,0,0,60,0,0
09-16-11,0,40,41,0,0,48,49,0,0,57,0,0,0,61,0,45
09-16-21,0,0,0,0,0,47,0,0,0,54,0,0,0,60,38,44
09-16-31,0,0,44,0,0,0,50,0,0,56,0,0,0,60,0,0
09-16-41,0,0,40,0,0,48,48,0,0,56,0,0,0,60,0,45
09-16-51,0,39,43,0,0,0,47,0,0,56,0,0,0,60,0,43
09-17-01,0,0,43,0,0,48,48,0,0,55,0,0,0,60,0,44
09-17-11,0,0,42,0,0,46,0,0,0,57,0,0,0,61,38,43
09-17-21,0,41,42,0,0,48,48,0,0,56,0,0,0,60,38,43
09-17-31,0,40,44,0,0,48,49,0,0,52,0,0,0,60,0,43
09-17-41,0,41,43,0,0,48,48,0,0,55,0,0,0,60,0,45
09-17-51,0,42,43,0,0,48,49,0,0,55,0,0,0,61,38,45
09-18-01,0,40,42,0,0,47,49,0,0,54,0,0,0,60,0,43
09-18-11,0,0,44,0,0,0,48,0,0,56,0,0,0,60,0,44
09-18-21,0,44,42,0,0,48,48,0,0,48,0,0,0,60,0,43
09-18-31,0,39,42,0,0,48,48,0,0,56,0,0,0,60,0,0
09-18-41,0,43,43,0,0,48,0,0,0,56,0,0,0,60,0,45
09-18-51,0,39,43,0,0,47,48,0,0,57,0,0,0,61,0,0
09-19-01,0,39,43,0,0,48,47,0,0,54,0,0,0,60,0,0
09-19-11,0,38,0,0,0,45,49,0,0,56,0,0,0,61,0,46
09-19-21,0,42,42,0,0,47,48,0,0,56,0,0,0,60,0,43
09-19-31,0,39,43,0,0,48,0,0,0,55,0,0,0,60,0,42
09-19-41,0,43,43,0,0,48,49,0,0,55,0,0,0,60,0,45
09-19-51,0,41,41,0,0,48,48,0,0,55,0,0,0,60,0,44
09-20-01,0,47,45,0,0,0,49,0,0,55,0,0,0,58,0,0
09-20-11,0,41,43,0,0,0,49,0,0,56,0,0,0,61,38,43
09-20-21,0,45,42,0,0,46,47,0,0,54,0,0,0,61,38,42
09-20-31,0,0,43,0,0,45,50,0,0,56,0,0,0,61,43,43
09-20-41,0,43,0,0,0,48,43,0,0,56,0,0,0,60,45,44
09-20-51,0,43,45,0,0,48,0,0,0,56,0,0,0,61,38,44
09-21-01,0,40,44,0,0,49,0,0,0,56,0,0,0,60,38,43
09-21-11,0,39,43,0,0,49,0,0,0,55,0,0,0,60,0,43
09-21-21,0,43,44,0,0,49,38,0,0,53,0,0,0,60,0,0
09-21-31,0,41,44,0,0,47,0,0,0,55,0,0,0,60,38,43
09-21-41,0,44,45,0,0,49,0,0,0,55,0,0,0,59,39,46
09-21-51,0,43,43,0,0,49,0,0,0,56,0,0,0,61,39,43
09-22-01,0,46,41,0,0,49,0,0,0,56,0,0,0,61,0,44
09-22-11,0,39,47,0,0,49,0,0,0,56,0,0,0,60,40,0
09-22-21,0,0,45,0,0,38,0,0,0,56,0,0,0,60,39,43
09-22-31,0,41,38,0,0,50,0,0,0,56,0,0,0,60,39,43
09-22-41,0,46,43,0,0,46,0,0,0,55,0,0,0,60,0,43
09-22-51,0,40,45,0,0,48,38,0,0,54,0,0,0,59,39,43
09-23-01,0,40,0,0,0,48,40,0,0,55,0,0,0,61,39,0
09-23-11,0,41,44,0,0,48,0,0,0,55,0,0,0,60,38,42
09-23-21,0,39,45,0,0,47,0,0,0,54,0,0,0,60,38,43
09-23-31,0,40,45,0,0,0,0,0,0,55,0,0,0,59,0,45
09-23-41,0,41,45,0,0,48,0,0,0,0,0,0,0,60,42,43
09-23-51,0,0,46,0,0,46,0,0,0,56,0,0,0,59,0,46
09-24-01,0,42,44,0,0,48,0,0,0,55,0,0,0,61,38,44
09-24-11,0,43,46,0,0,48,0,0,0,54,0,0,0,61,0,46
09-24-21,0,0,0,0,0,48,38,0,0,56,0,0,0,60,0,0
09-24-31,0,42,46,0,0,0,0,0,0,55,0,0,0,60,0,44
09-24-41,0,38,48,0,0,51,0,0,0,53,0,0,0,61,0,44
09-24-51,0,38,44,0,0,0,0,0,0,55,0,0,0,60,0,45
09-25-01,0,41,46,0,0,50,0,0,0,54,0,0,0,60,0,43
09-25-11,0,40,47,0,0,45,0,0,0,55,0,0,0,60,0,46
09-25-21,0,38,0,0,0,38,0,0,0,0,0,0,0,38,0,0
09-25-31,0,0,0,0,0,38,0,0,0,0,0,0,0,38,39,0
09-25-41,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
09-25-51,0,38,0,0,0,39,0,0,0,0,0,0,0,0,0,0
09-26-01,0,38,0,0,0,38,0,0,0,50,0,0,0,43,0,0
09-26-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-27-01,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
09-27-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
09-27-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
09-28-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-28-11,0,0,0,38,0,0,0,0,0,0,0,0,0,0,41,0
09-29-11,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
09-29-31,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
09-30-11,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
09-31-21,0,39,51,0,0,38,0,0,0,0,0,0,0,48,0,0
09-31-51,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
09-34-41,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
09-37-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-37-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-37-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-45-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-47-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-47-31,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
09-47-41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-48-21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-48-51,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-49-41,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
09-49-51,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
09-50-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
09-50-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-51-11,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
09-51-21,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-51-51,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
09-53-31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
10-00-01,0,0,39,0,0,38,0,0,0,0,0,0,0,38,0,0
10-01-01,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-03-31,0,0,40,0,0,38,0,0,0,0,0,0,0,0,0,0
10-03-41,0,0,0,0,0,38,0,0,0,0,0,0,0,38,0,0
10-04-01,0,0,39,0,0,38,0,0,0,0,0,0,0,41,0,0
10-04-21,0,0,40,0,0,0,0,0,0,0,0,0,0,39,0,0
10-04-31,0,0,45,0,0,38,0,0,0,0,0,0,0,38,0,0
10-04-41,0,0,42,0,0,0,0,0,0,0,0,0,0,38,0,0
10-04-51,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-11,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-21,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-31,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
