date,Uriah,Veylan,Sofi,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,58,0,0,0,57,36,40,0,0,0,49,51,46,0
09-01-01,0,0,61,0,0,0,57,0,0,48,0,0,47,51,47,0
09-02-01,0,38,60,0,0,45,57,36,0,55,0,0,49,52,49,0
09-03-01,0,0,61,0,0,45,56,40,0,54,0,0,0,0,46,0
09-04-01,0,0,58,0,0,0,56,37,0,54,0,0,0,52,46,34
09-05-01,0,0,57,0,0,47,57,38,0,50,0,0,48,53,47,0
09-06-01,0,0,61,0,0,0,57,0,36,55,0,0,48,53,47,34
09-07-01,0,40,52,0,32,47,57,36,0,54,0,0,47,53,0,0
09-08-01,0,0,61,0,32,0,57,0,38,0,0,0,47,54,0,0
09-09-01,0,42,60,0,0,47,57,0,39,55,0,0,0,53,50,0
09-10-01,0,0,58,0,0,42,59,0,39,53,0,0,47,51,47,34
09-11-01,0,39,60,0,0,0,57,36,39,54,0,0,47,40,45,0
09-12-01,0,38,60,0,32,42,57,37,0,52,0,0,0,53,46,32
09-13-01,0,0,61,0,0,0,58,34,40,53,0,0,46,53,0,0
09-14-01,0,41,59,0,0,32,60,0,41,51,0,0,48,51,53,0
09-15-01,0,32,0,0,0,0,41,0,0,32,0,0,0,38,36,0
09-16-01,0,0,35,0,0,0,44,0,0,32,0,0,0,39,35,0
09-17-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-18-01,0,35,34,0,0,0,37,0,0,0,0,0,0,37,35,0
09-19-21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-20-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,32,0
09-21-21,32,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-22-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-21,0,0,0,0,0,32,33,0,0,0,0,0,0,0,0,0
09-24-31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-26-21,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-27-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
09-28-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0
09-29-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
