date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Silas,Beatrice,Willa
09-13-41,0,0,40,50,0,0,52,0,0,37,0,0,0,0,52,0
09-13-51,0,0,41,50,0,0,51,33,0,0,0,0,0,0,52,0
09-14-01,0,0,0,51,0,0,51,0,0,33,0,0,0,38,53,0
09-14-11,0,0,42,50,0,0,52,0,0,0,0,0,0,38,52,0
09-14-21,0,0,41,51,0,0,52,32,0,36,0,0,0,40,51,0
09-14-31,0,0,40,51,0,0,53,0,0,0,0,0,0,39,52,0
09-14-41,0,0,42,48,0,0,53,0,0,38,0,0,0,38,51,0
09-14-51,0,0,35,0,0,0,53,0,0,36,0,0,0,35,52,0
09-15-01,0,0,37,0,0,0,53,0,0,36,0,0,0,0,52,0
09-15-11,0,0,0,0,0,0,52,0,0,0,0,0,0,38,52,0
09-15-21,0,0,37,0,0,0,53,33,0,35,0,0,0,37,52,0
09-15-31,0,0,37,0,0,0,52,31,0,0,0,0,0,39,52,0
09-15-41,0,0,36,0,0,0,52,31,0,34,0,0,0,37,52,0
09-15-51,0,0,36,0,0,0,53,0,0,34,0,0,0,38,52,0
09-16-01,0,0,38,0,0,0,53,0,0,34,0,0,0,36,52,0
09-16-11,0,0,33,0,0,0,52,0,0,0,0,0,0,40,52,0
09-16-21,0,0,35,33,0,0,53,0,0,33,0,0,0,39,52,0
09-16-31,0,0,0,38,0,0,53,0,0,35,0,0,0,39,52,0
09-16-41,0,0,37,0,0,0,53,0,0,0,0,0,0,39,52,0
09-16-51,0,0,36,0,0,0,53,0,0,33,0,0,0,37,51,0
09-17-01,0,0,35,0,0,0,52,0,0,35,0,0,0,38,52,0
09-17-11,0,0,35,0,0,0,52,0,0,35,0,0,0,38,52,0
09-17-21,0,0,0,0,0,0,53,0,0,33,0,0,0,39,52,0
09-17-31,0,0,35,0,0,0,52,31,0,34,0,0,0,40,52,0
09-17-41,0,0,34,0,0,0,53,0,0,34,0,0,0,35,52,0
09-17-51,0,0,0,0,0,0,53,0,0,36,0,0,0,38,52,0
09-18-01,0,0,35,0,0,0,53,31,0,0,0,0,0,39,52,0
09-18-11,0,0,37,0,0,0,53,33,0,34,0,0,0,38,52,0
09-18-21,0,0,35,0,0,0,52,0,0,34,0,0,0,38,51,0
09-18-31,0,0,35,0,0,0,53,0,0,35,0,0,0,38,52,0
09-18-41,0,0,35,0,0,0,53,0,0,34,0,0,0,36,52,0
09-18-51,0,0,35,0,0,0,53,0,0,34,0,0,0,39,52,0
09-19-01,0,0,35,0,0,0,53,32,0,35,0,0,0,39,52,0
09-19-11,0,0,35,0,0,0,54,0,0,36,0,0,0,40,52,0
09-19-21,0,0,35,0,0,0,54,0,0,36,0,0,0,39,51,0
09-19-31,0,0,0,0,0,0,53,0,0,34,0,0,0,39,52,0
09-19-41,0,0,0,0,0,0,53,31,0,37,0,0,0,38,52,0
09-19-51,0,0,35,0,0,0,53,0,0,32,0,0,0,39,52,0
09-20-01,0,0,0,0,0,0,53,0,0,35,0,0,0,40,52,0
09-20-11,0,0,0,0,0,0,53,0,0,34,0,0,0,38,52,0
09-20-21,0,0,35,0,0,0,51,0,0,32,0,0,0,37,52,0
09-20-31,0,31,49,0,0,0,50,0,0,32,0,0,0,38,48,0
09-20-41,0,0,44,0,0,0,51,0,0,31,0,0,0,40,48,0
09-20-51,0,0,49,0,0,0,56,0,0,0,0,0,0,39,49,0
09-21-01,0,31,49,0,0,32,0,0,0,0,0,0,0,39,43,0
09-21-11,0,0,48,0,0,0,33,0,0,0,0,0,0,38,45,0
09-21-21,0,31,50,0,0,0,0,0,0,31,0,0,0,40,45,0
09-21-31,0,0,51,0,0,32,0,0,0,0,0,0,0,39,45,0
09-21-41,0,31,48,0,0,0,31,0,0,33,0,0,0,38,44,0
09-21-51,0,31,51,0,0,33,0,0,0,0,0,0,0,38,45,0
09-22-01,0,33,50,0,0,33,33,0,0,0,0,0,0,40,44,0
09-22-11,0,0,47,0,0,0,34,0,0,0,0,0,0,38,46,0
09-22-21,0,0,48,0,0,0,0,0,0,32,0,0,0,38,45,0
09-22-31,0,0,50,0,0,0,40,0,0,0,0,0,0,40,45,0
09-22-41,0,0,48,0,0,0,38,0,0,31,0,0,0,38,45,0
09-22-51,0,31,50,0,0,0,38,0,0,0,0,0,0,39,47,0
09-23-01,0,31,51,0,0,31,41,0,0,31,0,0,0,39,46,0
09-23-11,0,0,50,0,0,0,0,0,0,32,0,0,0,39,47,0
09-23-21,0,0,49,0,0,0,0,0,0,0,0,0,0,39,47,0
09-23-31,0,0,50,0,0,31,0,0,0,0,0,0,0,40,46,0
09-23-41,0,0,51,0,0,0,0,0,0,32,0,0,0,40,47,0
09-23-51,0,0,50,0,0,31,0,0,0,0,0,0,0,39,46,0
09-24-01,0,0,49,0,0,0,0,0,0,0,0,0,0,37,46,0
09-24-11,0,0,52,0,0,0,0,0,0,0,0,0,0,38,0,0
09-24-21,0,0,51,0,0,0,44,0,0,0,0,0,0,38,32,0
09-24-31,0,0,51,0,31,0,0,0,0,0,0,0,0,37,0,0
09-24-41,0,0,52,0,0,0,0,0,0,31,0,0,0,39,0,0
09-24-51,0,0,52,0,31,0,0,0,0,0,0,0,0,35,0,0
09-25-01,0,0,51,0,32,0,0,0,0,0,0,0,0,38,0,0
09-25-11,0,0,53,0,34,0,0,0,0,0,0,0,0,36,0,0
09-25-21,0,0,52,0,0,0,0,0,0,0,0,0,0,38,0,0
09-25-31,0,0,52,0,0,0,0,0,0,33,0,0,0,38,0,0
09-25-41,0,32,52,0,33,0,0,0,0,31,0,0,0,37,0,0
09-25-51,0,0,53,0,0,0,0,0,0,0,0,0,0,36,0,0
09-26-01,0,0,54,0,31,0,0,0,0,34,0,0,0,39,0,0
09-26-11,0,32,51,0,33,0,0,0,0,32,0,0,0,35,0,0
09-26-21,0,0,54,0,0,0,0,0,0,32,0,0,0,38,41,0
09-26-31,0,31,54,0,0,0,0,0,0,31,0,0,0,36,0,0
09-26-41,0,31,53,0,0,0,0,0,0,32,0,0,0,36,0,0
09-26-51,0,0,53,0,31,0,0,0,0,31,0,0,0,34,0,0
09-27-01,0,0,52,0,0,0,0,0,0,32,0,0,0,37,0,0
09-27-11,0,31,54,0,0,0,0,0,0,0,0,0,0,36,0,0
09-27-21,0,0,54,0,0,0,0,0,0,0,0,0,0,35,0,0
09-27-31,0,0,52,0,0,0,0,0,0,0,0,0,0,37,0,0
09-27-41,0,0,53,0,0,0,0,0,0,0,0,0,0,37,0,0
09-27-51,0,31,54,0,0,0,0,0,0,0,0,0,0,38,0,0
09-28-01,0,0,53,0,0,0,0,0,0,0,0,0,0,37,0,0
09-28-11,0,0,53,0,0,0,0,0,0,0,0,0,0,35,0,0
09-28-21,0,31,51,0,0,0,0,0,0,0,0,0,0,36,0,0
09-28-31,0,0,54,0,0,31,0,0,0,0,0,0,0,37,0,0
09-28-41,0,0,54,0,0,31,0,0,0,0,0,0,0,35,0,0
09-28-51,0,0,54,0,0,0,0,0,0,0,0,0,0,33,0,0
09-29-01,0,0,54,0,31,31,0,0,0,0,0,0,0,34,0,0
09-29-11,0,0,54,0,0,0,0,0,0,0,0,0,0,34,0,0
09-29-21,0,0,54,0,0,32,0,0,0,0,0,0,0,36,0,0
09-29-31,0,0,52,0,0,32,0,0,0,0,0,0,0,34,0,0
09-29-41,0,0,54,0,0,0,0,0,0,0,0,0,0,34,0,0
09-29-51,0,0,54,0,31,0,0,0,0,0,0,0,0,34,0,0
09-30-01,0,0,52,0,0,0,0,0,0,0,0,0,0,31,0,0
09-30-11,0,0,52,0,0,31,0,0,0,0,0,0,0,31,0,0
09-30-21,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
09-30-31,0,0,54,0,0,34,0,0,0,0,0,0,0,33,0,0
09-30-41,0,0,54,0,0,0,0,0,0,34,0,0,0,34,0,0
09-30-51,0,0,52,0,0,0,0,0,0,0,0,0,0,33,0,0
09-31-01,0,0,53,0,0,32,0,0,0,0,0,0,0,33,0,0
09-31-11,0,0,31,0,0,0,0,0,0,37,0,0,0,36,0,0
09-31-31,0,31,31,0,0,0,0,0,0,0,0,0,0,32,0,0
09-31-41,0,0,31,0,0,0,0,0,0,0,0,0,0,31,0,0
09-31-51,0,0,33,0,0,0,0,0,0,0,0,0,0,34,0,0
09-32-01,0,0,33,0,0,0,0,0,0,31,0,0,0,38,0,0
09-32-11,0,0,34,0,0,0,0,0,0,32,0,0,0,39,0,0
09-33-21,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
09-33-31,0,0,0,0,0,32,0,0,0,31,0,0,0,0,0,0
09-33-41,0,0,32,0,0,31,0,0,0,0,0,0,0,32,0,0
09-35-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-35-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-36-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-36-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-37-11,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
09-37-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
09-38-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-38-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-39-31,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-40-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-40-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
09-40-31,0,0,31,0,0,0,0,0,0,0,0,0,0,38,0,0
09-40-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-40-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-41-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
09-41-41,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
09-42-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-42-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-42-21,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
09-42-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
09-43-11,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
09-43-21,0,0,0,0,0,0,31,0,0,0,0,0,0,0,31,0
09-45-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-49-11,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
09-49-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
09-49-31,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
09-49-41,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
09-50-51,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
09-52-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-52-41,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-58-21,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
09-58-31,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
09-59-51,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-05-01,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-11,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-12-11,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
10-12-21,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
10-13-01,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
10-13-11,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
10-13-21,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
10-13-31,0,0,0,32,0,0,0,0,34,0,0,0,0,0,0,0
10-13-41,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
10-13-51,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
10-14-11,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
10-14-21,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
10-15-01,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-41,0,0,0,0,0,32,0,0,0,0,0,0,0,31,0,0
10-19-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-20-51,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-28-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-30-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-31-21,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-33-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
10-34-11,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
10-34-21,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-31,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-41,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-51,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-01,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-11,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-21,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-31,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-41,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-51,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-36-01,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-36-11,0,36,0,0,0,0,0,0,0,0,0,0,0,31,0,0
10-47-31,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
10-47-41,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
10-48-11,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-51-11,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
10-53-31,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
10-53-51,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-55-31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-56-31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-59-11,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
11-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
11-01-21,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
11-01-41,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
11-02-41,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
11-02-51,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-11,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
11-04-21,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
11-04-31,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
11-04-41,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
