date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
13-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-12-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-13-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-14-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-15-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-16-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-17-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-18-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-19-01,0,33,0,0,0,0,0,0,0,0,0,0,0,35,0,0
13-20-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-21-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-22-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-23-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-24-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-25-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-26-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-27-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-28-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-29-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-30-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-31-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-32-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-33-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-34-01,0,33,0,0,0,0,0,0,0,0,0,0,0,35,0,0
13-35-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-36-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-37-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-38-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-39-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-40-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-41-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-42-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-43-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-44-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-45-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-46-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-47-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-48-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-49-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-50-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-51-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-52-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-53-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-54-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-55-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13-56-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-57-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-58-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-59-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-00-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-01-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-02-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-03-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-04-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-05-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-06-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-07-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
