date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Silas,Beatrice,Willa
09-00-01,0,0,39,50,0,0,53,0,0,38,0,0,0,0,55,0
09-01-01,0,0,39,50,0,0,53,0,0,37,0,0,0,40,56,0
09-02-01,0,0,40,50,0,0,50,0,0,37,0,0,0,40,55,0
09-03-01,0,0,40,49,0,0,53,0,0,37,0,0,0,39,53,0
09-04-01,0,0,41,49,0,0,53,0,0,38,0,0,0,40,55,0
09-05-01,0,0,40,50,0,0,53,0,0,37,0,0,0,40,55,0
09-06-01,0,0,39,51,0,0,53,0,0,38,0,0,0,0,54,0
09-07-01,0,0,40,50,0,0,52,0,0,0,0,0,0,38,55,0
09-08-01,0,33,39,49,0,0,52,0,0,0,0,0,0,0,55,0
09-09-01,0,0,0,49,0,0,52,0,0,33,0,0,0,40,55,0
09-10-01,0,31,40,49,0,0,52,0,0,36,0,0,0,40,54,0
09-11-01,0,0,40,50,0,0,53,32,0,37,0,0,0,40,55,0
09-12-01,0,0,40,49,0,0,53,0,0,36,0,0,0,39,55,0
09-13-01,0,31,40,49,0,0,52,0,0,35,0,0,0,38,55,0
09-14-01,0,0,0,51,0,0,51,0,0,33,0,0,0,38,53,0
09-15-01,0,0,37,0,0,0,53,0,0,36,0,0,0,0,52,0
09-16-01,0,0,38,0,0,0,53,0,0,34,0,0,0,36,52,0
09-17-01,0,0,35,0,0,0,52,0,0,35,0,0,0,38,52,0
09-18-01,0,0,35,0,0,0,53,31,0,0,0,0,0,39,52,0
09-19-01,0,0,35,0,0,0,53,32,0,35,0,0,0,39,52,0
09-20-01,0,0,0,0,0,0,53,0,0,35,0,0,0,40,52,0
09-21-01,0,31,49,0,0,32,0,0,0,0,0,0,0,39,43,0
09-22-01,0,33,50,0,0,33,33,0,0,0,0,0,0,40,44,0
09-23-01,0,31,51,0,0,31,41,0,0,31,0,0,0,39,46,0
09-24-01,0,0,49,0,0,0,0,0,0,0,0,0,0,37,46,0
09-25-01,0,0,51,0,32,0,0,0,0,0,0,0,0,38,0,0
09-26-01,0,0,54,0,31,0,0,0,0,34,0,0,0,39,0,0
09-27-01,0,0,52,0,0,0,0,0,0,32,0,0,0,37,0,0
09-28-01,0,0,53,0,0,0,0,0,0,0,0,0,0,37,0,0
09-29-01,0,0,54,0,31,31,0,0,0,0,0,0,0,34,0,0
09-30-01,0,0,52,0,0,0,0,0,0,0,0,0,0,31,0,0
09-31-01,0,0,53,0,0,32,0,0,0,0,0,0,0,33,0,0
09-32-01,0,0,33,0,0,0,0,0,0,31,0,0,0,38,0,0
09-33-21,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
09-35-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-36-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-37-11,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
09-38-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-39-31,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-40-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-41-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
09-42-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-43-11,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
09-45-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-49-11,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
09-50-51,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
09-52-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-58-21,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
09-59-51,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-05-01,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
