date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
14-39-01,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
14-40-01,0,36,0,0,0,0,0,0,0,33,0,0,0,0,33,0
14-41-01,0,39,0,33,0,0,0,0,0,44,0,0,0,37,44,0
14-42-01,0,36,0,0,0,0,0,0,52,42,0,0,0,41,41,0
14-43-11,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
14-44-01,0,0,0,0,0,0,0,0,36,33,0,0,0,0,0,0
14-45-01,0,0,0,0,0,37,0,0,33,0,0,0,0,33,33,0
14-46-01,0,35,0,0,0,0,0,0,33,39,0,0,0,35,40,0
14-47-01,0,33,0,0,0,33,0,0,0,0,0,0,0,0,34,0
14-48-01,0,0,37,0,0,0,0,0,37,0,0,0,0,0,0,0
14-49-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
14-50-01,53,0,37,0,0,0,0,0,38,0,0,0,0,0,0,0
14-51-01,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
14-52-01,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
14-53-01,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
14-54-31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-55-01,41,0,0,0,0,0,0,0,33,0,0,36,0,0,0,0
14-56-01,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-57-01,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-58-01,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
14-59-01,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
15-00-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-01-21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
15-03-01,0,0,35,33,0,43,0,0,0,46,0,0,0,36,39,0
15-04-01,0,0,0,59,0,63,0,45,51,57,0,0,0,55,54,0
15-05-01,0,54,49,58,0,59,0,41,48,59,0,0,0,54,58,0
15-06-01,0,49,49,60,0,45,0,40,46,57,0,0,0,55,59,0
15-07-01,0,0,55,60,0,47,0,44,46,58,0,0,0,57,60,0
15-08-01,0,50,52,61,0,43,0,44,47,57,0,0,0,56,61,0
15-09-01,50,52,51,62,0,47,0,43,47,57,0,0,0,57,61,0
15-10-01,0,51,0,61,0,45,0,43,47,57,0,0,0,55,61,0
15-11-01,0,51,51,61,0,0,0,0,47,58,0,0,0,55,61,0
15-12-01,0,49,51,59,0,47,0,45,45,57,0,0,0,55,61,0
15-13-01,0,0,53,61,0,46,0,45,48,57,0,0,0,56,61,0
15-14-01,0,49,52,59,0,45,0,45,48,59,0,0,0,57,60,0
15-15-01,0,49,52,61,0,0,0,45,0,59,0,0,0,55,61,0
15-16-01,0,49,49,63,0,47,0,44,47,56,0,0,0,55,61,0
15-17-01,0,49,49,61,0,45,0,45,47,57,0,0,0,58,61,0
15-18-01,0,50,52,59,0,45,0,45,0,57,0,0,0,55,60,0
15-19-01,0,51,0,59,0,46,0,40,47,58,0,0,0,57,61,0
15-20-01,0,0,53,60,0,0,0,37,0,58,0,0,0,55,59,0
15-21-01,0,50,45,61,0,42,0,0,0,57,0,0,0,57,63,0
15-22-01,0,48,53,60,0,0,0,44,0,58,0,0,0,56,61,0
