date,Uriah,Veylan,Sofi,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-13-41,0,41,58,0,0,38,58,0,42,51,0,0,47,0,45,0
09-13-51,0,40,60,0,32,0,58,0,42,52,0,0,46,49,52,0
09-14-01,0,41,59,0,0,32,60,0,41,51,0,0,48,51,53,0
09-14-11,0,41,59,0,0,0,58,0,0,0,0,0,49,53,51,0
09-14-21,0,0,59,0,0,0,59,0,42,54,0,0,48,51,0,0
09-14-31,0,0,59,0,0,34,59,0,0,52,0,0,49,51,51,32
09-14-41,0,0,59,0,0,0,59,0,0,54,0,0,47,42,52,32
09-14-51,0,37,32,0,0,32,37,0,0,34,0,0,0,34,39,0
09-15-01,0,32,0,0,0,0,41,0,0,32,0,0,0,38,36,0
09-15-11,0,35,0,0,0,0,48,0,0,44,0,0,0,46,32,0
09-15-21,0,36,34,0,0,36,34,0,0,35,0,0,0,35,32,0
09-15-31,0,36,34,0,0,35,44,0,0,33,0,0,0,37,37,0
09-15-41,0,33,0,0,0,0,40,0,0,0,0,0,0,37,35,0
09-15-51,0,0,37,0,0,0,41,0,0,37,0,0,0,45,32,0
09-16-01,0,0,35,0,0,0,44,0,0,32,0,0,0,39,35,0
09-16-11,0,0,0,0,0,37,32,0,0,0,0,0,0,34,0,0
09-16-21,0,32,44,0,0,38,37,0,0,38,0,0,0,0,48,0
09-16-31,0,0,50,0,0,0,52,0,0,0,0,0,34,47,51,0
09-16-41,0,0,33,0,0,32,32,0,0,0,0,0,0,32,0,0
09-17-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-17-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-18-01,0,35,34,0,0,0,37,0,0,0,0,0,0,37,35,0
09-18-11,0,33,34,0,0,0,37,0,0,0,0,0,0,0,0,0
09-18-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-18-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-19-21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-20-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,32,0
09-21-21,32,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-21-51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-22-41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-23-21,0,0,0,0,0,32,33,0,0,0,0,0,0,0,0,0
09-23-51,0,0,0,0,0,32,0,0,0,32,0,0,0,0,0,0
09-24-31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-24-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-25-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-25-11,0,0,0,0,0,32,0,0,0,0,0,0,0,0,32,0
09-25-41,32,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
09-25-51,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-26-21,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-26-31,0,0,32,0,0,0,0,0,0,0,0,0,0,0,33,0
09-26-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
09-27-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
09-27-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,0
09-27-31,0,0,0,0,0,0,0,34,0,0,0,0,0,0,32,0
09-27-41,0,0,0,0,0,32,33,0,0,0,0,0,0,0,0,0
09-27-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-28-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0
09-28-11,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,0
09-28-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-28-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-28-41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-28-51,0,0,0,0,0,0,33,0,0,0,0,0,0,33,32,0
09-29-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-29-11,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
09-29-31,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
09-30-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-30-11,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
09-30-41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-30-51,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-31-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
09-33-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
09-33-21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-33-51,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-34-11,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-34-31,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-36-01,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
09-36-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-36-31,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
09-36-41,0,0,32,0,0,0,0,0,0,32,0,0,0,32,0,0
09-37-11,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
09-38-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
09-38-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-38-41,0,0,0,0,0,0,40,0,0,0,0,0,0,34,34,0
09-38-51,0,35,32,0,0,34,0,0,0,0,0,0,0,0,0,0
09-39-01,0,32,0,0,0,33,0,0,0,33,0,0,0,0,36,0
09-39-11,0,34,35,0,0,35,32,0,0,0,0,0,0,37,0,0
09-39-21,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
09-39-31,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
09-39-41,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-39-51,0,0,32,0,0,32,32,0,0,32,0,0,0,32,0,0
09-40-01,0,0,0,0,0,32,0,0,0,32,0,0,0,0,49,0
09-40-11,0,32,0,0,0,32,0,0,0,39,0,0,0,0,32,0
