date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-13-41,45,59,0,38,0,0,49,0,0,57,0,0,0,57,53,0
09-13-51,45,60,45,0,0,0,45,0,40,60,0,0,0,56,51,34
09-14-01,0,59,40,32,0,0,39,0,0,58,0,0,0,56,51,0
09-14-11,45,59,38,29,0,0,47,0,38,59,0,0,0,57,53,0
09-14-21,43,60,47,0,0,0,43,0,0,58,0,0,0,57,51,37
09-14-31,0,59,47,33,0,0,44,0,0,58,0,0,0,57,53,35
09-14-41,35,55,51,0,0,0,0,0,44,61,0,0,0,57,50,33
09-14-51,40,58,50,40,0,0,42,0,48,63,0,0,0,57,0,30
09-15-01,0,55,53,0,0,0,0,30,42,61,0,0,0,59,48,0
09-15-11,33,56,51,0,0,0,43,0,0,62,0,0,0,57,50,31
09-15-21,0,56,0,35,0,0,44,0,0,61,0,0,0,56,50,0
09-15-31,0,54,46,33,0,0,42,0,41,59,0,0,0,57,50,0
09-15-41,33,0,50,31,0,0,40,0,0,61,0,0,0,58,49,32
09-15-51,37,0,0,0,0,0,44,30,0,60,0,0,0,57,52,0
09-16-01,0,57,50,0,0,0,45,0,0,61,0,0,0,57,52,0
09-16-11,0,55,50,35,0,0,47,0,43,61,0,0,0,58,52,0
09-16-21,0,55,55,0,0,0,46,0,0,60,0,0,0,59,50,0
09-16-31,0,56,50,0,0,0,0,0,42,62,0,0,0,57,50,0
09-16-41,0,53,50,0,0,0,43,0,0,62,0,0,0,58,0,0
09-16-51,34,56,50,0,0,0,44,0,0,61,0,0,0,0,45,32
09-17-01,30,56,51,0,0,0,0,0,43,62,0,0,0,57,50,33
09-17-11,34,57,51,0,0,0,34,0,42,61,0,0,0,57,48,33
09-17-21,0,56,0,0,0,0,0,0,0,62,0,0,0,57,48,33
09-17-31,0,56,0,0,0,0,43,0,43,59,0,0,0,58,49,33
09-17-41,0,56,0,0,0,0,38,0,0,60,0,0,0,57,49,35
09-17-51,0,58,51,0,0,0,39,0,41,61,0,0,0,57,49,33
09-18-01,0,57,49,0,0,0,0,0,42,61,0,0,0,56,50,0
09-18-11,33,56,52,0,0,0,43,0,42,61,0,0,0,58,48,0
09-18-21,33,0,50,0,0,0,39,0,43,61,0,0,0,57,50,33
09-18-31,0,57,50,0,0,0,40,0,0,61,0,0,0,57,0,0
09-18-41,34,57,0,0,0,0,40,0,42,61,0,0,0,57,50,0
09-18-51,32,57,51,0,0,0,35,0,0,61,0,0,0,57,50,0
09-19-01,0,58,50,0,0,0,39,0,43,61,0,0,29,57,0,0
09-19-11,36,56,50,0,0,0,41,0,40,61,0,0,0,57,51,0
09-19-21,0,57,50,29,0,0,40,0,43,62,0,0,0,57,50,32
09-19-31,0,57,45,0,0,0,40,0,0,60,0,0,0,57,50,34
09-19-41,33,56,50,0,0,0,35,0,42,62,0,0,0,58,49,33
09-19-51,35,55,48,0,0,0,0,0,0,60,0,0,0,58,50,0
09-20-01,36,56,50,0,0,0,0,0,39,61,0,0,0,0,49,0
09-20-11,0,57,50,0,0,0,36,0,42,61,0,0,0,57,49,0
09-20-21,0,56,50,0,0,0,44,0,0,62,0,0,0,57,50,35
09-20-31,0,56,50,0,0,0,39,0,42,62,0,0,0,58,50,0
09-20-41,0,60,49,0,0,0,0,0,0,61,0,0,0,58,0,0
09-20-51,0,57,52,0,0,0,52,0,42,62,0,0,0,58,43,0
09-21-01,0,56,0,0,0,0,39,0,0,62,0,0,0,56,44,0
09-21-11,35,57,0,0,0,0,38,0,0,61,0,0,0,58,0,0
09-21-21,33,57,48,0,0,0,35,0,0,61,0,0,0,57,0,0
09-21-31,34,57,51,0,0,0,0,0,0,61,0,0,29,57,43,33
09-21-41,0,57,50,0,0,0,0,31,41,62,0,0,0,57,46,0
09-21-51,35,57,52,0,0,0,33,0,0,62,0,0,0,57,41,0
09-22-01,0,58,50,0,0,0,0,0,44,61,0,0,0,57,45,34
09-22-11,0,53,50,0,0,0,45,0,44,61,0,0,0,57,0,0
09-22-21,0,58,51,0,0,0,0,0,44,61,0,0,31,57,43,34
09-22-31,35,57,50,0,0,0,42,0,43,61,0,0,0,58,0,0
09-22-41,0,57,0,0,0,0,44,0,43,61,0,0,0,58,41,33
09-22-51,35,56,51,0,0,0,33,0,42,60,0,0,0,57,0,0
09-23-01,0,57,49,0,0,0,44,0,43,60,0,0,0,57,38,0
09-23-11,35,56,49,0,0,0,41,0,43,62,0,0,0,58,0,0
09-23-21,35,56,49,0,0,0,0,0,0,59,0,0,0,59,0,34
09-23-31,33,57,52,0,0,0,0,0,44,60,0,0,0,58,0,0
09-23-41,34,58,53,0,0,0,0,0,42,61,0,0,0,58,39,0
09-23-51,0,57,50,0,0,0,0,0,40,62,0,0,0,59,43,0
09-24-01,0,57,49,0,0,0,0,0,42,62,0,0,0,57,38,36
09-24-11,35,55,52,0,0,0,40,0,42,62,0,0,32,57,0,0
09-24-21,0,55,51,0,0,0,40,0,42,61,0,0,0,57,0,0
09-24-31,35,57,50,0,0,0,0,0,41,61,0,0,0,58,0,30
09-24-41,0,57,50,0,0,0,0,0,45,60,0,0,0,56,34,0
09-24-51,0,56,50,0,0,0,0,0,0,62,0,0,0,60,0,0
09-25-01,34,58,51,0,0,0,0,0,43,61,0,0,0,58,0,33
09-25-11,33,57,51,0,0,0,36,0,42,61,0,0,0,60,0,30
09-25-21,39,59,49,0,0,0,0,0,0,61,0,0,0,59,39,0
09-25-31,0,58,51,0,0,0,0,0,0,61,0,0,0,58,0,0
09-25-41,37,57,52,0,0,0,34,0,0,60,0,0,0,57,0,34
09-25-51,0,57,52,0,0,0,41,0,0,61,0,0,0,57,0,0
09-26-01,37,58,50,0,0,0,0,0,30,60,0,0,0,57,33,30
09-26-11,35,58,51,0,0,0,0,0,0,60,0,0,0,59,36,32
09-26-21,35,58,52,0,0,0,0,0,0,59,0,0,0,59,43,31
09-26-31,35,55,51,0,0,0,36,0,0,59,0,0,0,59,0,0
09-26-41,0,57,50,0,0,0,33,0,0,58,0,0,0,58,0,0
09-26-51,0,57,50,0,0,0,34,0,0,61,0,0,0,58,0,30
09-27-01,37,57,50,0,0,0,0,0,0,59,0,0,0,59,0,29
09-27-11,35,0,50,0,0,0,32,0,0,60,0,0,0,59,0,34
09-27-21,36,57,52,0,0,0,0,0,0,63,0,0,0,59,0,35
09-27-31,36,58,50,0,0,0,0,0,0,60,0,0,0,59,0,33
09-27-41,36,55,48,0,0,0,29,0,0,59,0,0,0,57,0,33
09-27-51,35,57,47,0,0,0,0,0,0,56,0,0,0,60,0,34
09-28-01,34,58,51,0,0,0,33,0,0,60,0,0,0,59,0,34
09-28-11,37,57,52,0,0,0,0,0,0,60,0,0,0,58,0,36
09-28-21,37,57,50,0,0,0,0,0,0,56,0,0,0,57,0,35
09-28-31,0,56,52,0,0,0,38,0,0,59,0,0,0,58,0,37
09-28-41,33,58,48,0,0,0,33,0,0,60,0,0,0,57,0,0
09-28-51,31,58,52,0,0,0,0,0,0,59,0,0,0,56,0,38
09-29-01,37,58,0,0,0,0,0,33,0,61,0,0,0,58,0,39
09-29-11,35,57,53,0,0,0,30,0,0,60,0,0,0,59,0,35
09-29-21,42,58,52,0,0,0,0,0,0,61,0,0,0,59,0,39
09-29-31,40,58,51,0,0,0,0,0,0,60,0,0,0,58,0,38
09-29-41,39,57,52,0,0,0,0,0,0,58,0,0,0,59,0,31
09-29-51,38,56,53,0,0,0,35,0,0,61,0,0,0,59,0,0
09-30-01,0,53,52,0,0,0,0,0,0,60,0,0,30,59,0,35
09-30-11,0,56,51,0,0,0,33,0,0,59,0,0,0,58,0,37
09-30-21,35,57,50,0,0,0,0,0,0,61,0,0,0,0,0,34
09-30-31,37,57,47,0,0,0,0,0,0,60,0,0,31,58,0,0
09-30-41,36,58,45,0,0,0,0,0,0,54,0,0,0,57,0,0
09-30-51,33,57,51,0,0,0,33,0,0,47,0,0,0,58,0,36
09-31-01,37,57,50,0,0,0,33,0,0,47,0,0,0,57,0,35
09-31-11,0,59,51,0,0,0,31,0,0,48,0,0,0,59,0,0
09-31-21,0,59,52,0,0,0,0,0,0,48,0,0,0,59,0,0
09-31-31,0,60,0,0,0,0,33,0,0,0,0,0,0,57,0,0
09-31-41,33,60,50,0,0,0,0,0,0,49,0,0,0,62,0,0
09-31-51,0,60,49,0,0,0,0,0,0,49,0,0,0,62,0,0
09-32-01,32,59,50,0,0,0,0,0,0,50,0,0,0,60,0,0
09-32-11,0,59,51,0,0,0,0,0,0,50,0,0,0,61,0,0
09-32-21,34,60,51,0,0,0,0,0,0,50,0,0,0,61,0,0
09-32-31,33,59,50,0,0,0,0,0,0,50,0,0,0,61,0,0
09-32-41,0,60,46,0,0,0,0,0,0,50,0,0,0,61,0,0
09-32-51,38,59,47,0,0,0,0,0,0,48,0,0,0,61,0,0
09-33-01,38,59,47,0,0,0,0,0,0,49,0,0,0,62,0,0
09-33-11,36,61,51,0,0,0,32,0,0,50,0,0,0,62,0,0
09-33-21,0,59,49,0,0,0,0,0,0,48,0,0,0,60,0,0
09-33-31,0,58,53,0,0,0,0,0,0,44,0,0,31,60,0,0
09-33-41,0,59,51,0,0,0,0,0,0,48,0,0,0,59,0,0
09-33-51,0,59,53,0,0,0,0,0,0,43,0,0,0,60,0,0
09-34-01,0,60,52,0,0,0,0,0,0,42,0,0,0,61,0,0
09-34-11,0,59,55,0,0,0,0,0,0,43,0,0,0,61,0,0
09-34-21,0,60,53,0,0,0,34,0,0,0,0,0,0,60,0,0
09-34-31,0,61,54,0,0,0,37,0,0,0,0,0,0,58,0,0
09-34-41,0,60,53,0,0,0,40,0,0,39,0,0,0,60,0,0
09-34-51,0,60,53,0,0,0,36,0,0,32,0,0,0,60,0,0
09-35-01,0,60,53,0,0,0,37,0,0,0,0,0,0,61,0,0
09-35-11,31,60,53,0,0,0,39,0,0,40,0,0,0,61,0,0
09-35-21,0,59,48,0,0,0,0,0,0,38,0,0,0,60,0,0
09-35-31,0,59,53,0,0,0,29,0,0,47,0,0,0,59,0,0
09-35-41,0,0,0,0,0,0,0,0,0,39,0,0,0,61,0,0
09-35-51,0,60,51,0,0,0,0,0,0,43,0,0,0,59,0,0
09-36-01,34,59,53,0,0,0,0,0,0,0,0,0,0,60,0,0
09-36-11,0,59,55,0,0,0,32,0,0,36,0,0,0,61,0,0
09-36-21,32,61,53,0,0,0,0,0,0,33,0,0,0,61,0,0
09-36-31,31,60,54,0,0,0,0,0,0,35,0,0,0,60,0,0
09-36-41,0,56,54,0,0,0,0,0,0,44,0,0,0,62,0,0
09-36-51,0,61,53,0,0,0,0,0,0,40,0,0,0,60,0,0
09-37-01,32,61,53,0,0,0,0,0,0,33,0,0,0,60,0,0
09-37-11,0,60,52,0,0,0,0,0,0,48,0,0,0,62,0,0
09-37-21,33,0,52,0,0,0,0,0,0,43,0,0,0,61,0,0
09-37-31,32,60,52,0,0,0,0,0,0,0,0,0,0,63,0,0
09-37-41,0,59,49,0,0,0,0,0,0,47,0,0,0,62,0,0
09-37-51,32,61,51,0,0,0,0,0,0,46,0,0,0,61,0,0
09-38-01,0,59,51,0,0,0,31,0,0,46,0,0,0,60,0,0
09-38-11,0,57,53,0,0,0,0,0,0,45,0,0,0,62,0,0
09-38-21,34,60,53,0,0,0,0,0,0,38,0,0,0,62,0,0
09-38-31,35,59,52,0,0,0,0,0,0,45,0,0,0,61,0,0
09-38-41,34,59,48,0,0,0,0,0,0,47,0,0,0,60,0,0
09-38-51,35,59,51,0,0,0,0,0,0,0,0,0,0,61,0,0
09-39-01,0,58,53,0,0,0,0,0,0,40,0,0,0,61,33,0
09-39-11,35,57,51,0,0,0,0,0,0,43,0,0,0,61,31,0
09-39-21,31,59,53,0,0,0,0,0,0,49,0,0,0,61,31,0
09-39-31,35,55,52,0,0,0,0,0,0,0,0,0,0,61,33,0
09-39-41,33,57,51,0,0,0,0,0,0,45,0,0,0,62,32,0
09-39-51,33,57,54,0,0,0,0,0,0,48,0,0,0,62,39,0
09-40-01,32,56,51,0,0,0,33,0,0,48,0,0,0,61,34,0
09-40-11,34,57,54,0,0,0,0,0,0,47,0,0,0,61,0,0
09-40-21,0,57,52,31,0,0,0,0,0,48,0,0,0,62,0,0
09-40-31,34,57,0,0,0,0,0,0,0,46,0,0,0,60,35,0
