date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Taj,Silas,Beatrice,Willa
12-54-41,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
12-55-01,0,37,0,0,0,0,36,0,0,0,0,0,0,0,0,0
12-56-51,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-03-51,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
13-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
13-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
13-09-11,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
13-11-01,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
13-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-13-01,0,36,0,0,0,0,0,0,0,42,0,0,0,46,0,0
13-14-21,0,0,0,0,0,0,0,0,0,44,0,0,0,0,37,0
13-15-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-16-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-17-01,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
13-18-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
13-19-01,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
13-20-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-21-21,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
13-22-31,38,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-23-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
13-24-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-25-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-26-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-27-21,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
13-28-31,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
13-30-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-32-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-33-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-34-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-37-41,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
13-38-41,0,0,0,0,0,0,0,0,0,38,0,0,0,36,0,0
13-40-21,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
13-41-51,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
13-42-11,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-43-01,0,0,42,0,0,0,36,0,0,0,0,0,0,0,0,0
13-44-01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
13-45-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-47-21,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
13-48-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-49-01,0,0,0,0,0,0,0,0,0,41,0,0,0,37,36,0
13-50-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,0
13-51-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
13-52-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-53-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
13-54-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
13-55-01,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0
13-56-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
13-57-01,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0
13-58-01,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,0
13-59-31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
14-00-11,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,0
14-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
14-02-01,0,0,0,0,0,0,42,0,0,0,0,0,0,36,37,0
14-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
14-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
14-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
14-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
14-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
14-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
14-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
14-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
14-11-31,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
14-15-41,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
14-16-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-19-11,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
14-20-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
14-25-21,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
14-26-11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
14-27-11,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
14-31-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
14-32-41,0,0,0,0,0,0,49,0,38,0,0,0,0,0,0,0
14-33-01,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
14-34-41,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
14-35-51,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
14-36-51,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
14-37-11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
14-38-41,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
14-39-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-55-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
14-59-21,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
15-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
15-03-11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
15-06-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
15-09-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
15-10-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
15-11-41,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
15-12-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
15-13-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
15-14-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
15-15-11,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
15-16-01,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
15-18-11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-19-01,0,0,0,0,0,0,0,0,0,0,58,0,44,0,0,0
15-20-01,0,0,0,0,0,0,0,0,0,0,59,0,44,0,0,0
15-21-01,0,0,0,0,0,0,0,0,0,0,58,0,45,0,0,0
15-22-01,0,0,0,0,0,0,0,0,0,0,59,0,44,0,0,0
15-23-01,0,0,0,0,0,0,0,0,0,0,59,0,45,0,0,0
15-24-01,0,0,0,0,0,0,0,0,0,0,59,0,44,0,0,0
15-25-01,0,0,0,0,0,0,0,0,0,0,58,0,44,0,0,0
15-26-01,0,0,0,0,0,0,0,0,0,0,59,0,44,0,0,0
15-27-01,0,0,0,0,0,0,0,0,0,0,59,0,43,0,0,0
15-28-01,0,0,0,0,0,0,0,0,0,0,59,0,44,0,0,0
15-29-01,0,0,0,0,0,0,0,0,0,0,59,0,44,0,0,0
15-30-01,0,0,0,0,0,0,0,0,0,0,61,0,37,0,0,0
15-31-01,0,0,0,0,0,0,0,0,0,0,61,0,37,0,0,0
15-32-01,0,0,0,0,0,0,0,0,0,0,61,0,37,0,0,0
15-33-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-34-01,0,0,0,0,0,0,0,0,0,0,61,0,38,0,0,0
15-35-01,0,0,0,0,0,0,0,0,0,0,60,0,38,0,0,0
15-36-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-37-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-38-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-39-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-40-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-41-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-42-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-43-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-44-01,0,0,0,0,0,0,0,0,0,0,60,0,36,0,0,0
15-45-01,0,0,0,0,0,0,0,0,0,0,60,0,39,0,0,0
15-46-01,0,0,0,0,0,0,0,0,0,0,61,0,37,0,0,0
15-47-01,0,0,0,0,0,0,0,0,0,0,60,0,38,0,0,0
15-48-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-49-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-50-01,0,0,0,0,0,0,0,0,0,0,60,0,38,0,0,0
15-51-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-52-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-53-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-54-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-55-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-56-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-57-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-58-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
15-59-01,0,0,0,0,0,0,0,0,0,0,60,0,37,0,0,0
