date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Erin,Taj,Silas,Beatrice,Willa
15-18-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-19-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-20-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-21-01,0,0,0,0,0,0,0,0,0,0,0,58,61,0,0,0
15-22-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-23-01,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-24-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-25-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-26-01,0,0,0,0,0,0,0,0,0,0,0,58,61,0,0,0
15-27-01,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0
15-28-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-29-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-30-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-31-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-32-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-33-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-34-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-35-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-36-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-37-01,0,0,0,0,0,0,0,0,0,0,0,59,62,0,0,0
15-38-01,0,0,0,0,0,0,0,0,0,0,0,59,62,0,0,0
15-39-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-40-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-41-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-42-01,0,0,0,0,0,0,0,0,0,0,0,59,64,0,0,0
15-43-01,0,0,0,0,0,0,0,0,0,0,0,60,62,0,0,0
15-44-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-45-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-46-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-47-01,0,0,0,0,0,0,0,0,0,0,0,59,62,0,0,0
15-48-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-49-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-50-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-51-01,0,0,0,0,0,0,0,0,0,0,0,60,62,0,0,0
15-52-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-53-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-54-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-55-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-56-01,0,0,0,0,0,0,0,0,0,0,0,59,62,0,0,0
15-57-01,0,0,0,0,0,0,0,0,0,0,0,60,62,0,0,0
15-58-01,0,0,0,0,0,0,0,0,0,0,0,59,62,0,0,0
15-59-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
