date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
10-06-01,0,0,54,0,0,59,33,0,0,31,0,0,0,0,0,0
10-07-01,0,0,54,31,0,57,35,0,0,0,0,0,0,0,0,0
10-08-01,0,0,57,0,0,59,36,0,31,0,0,0,0,0,0,0
10-09-01,0,0,57,0,0,39,33,0,0,0,0,0,0,0,0,0
10-10-01,0,0,56,0,0,32,35,0,0,0,0,0,0,0,0,0
10-11-01,0,0,56,0,0,34,41,0,0,0,0,0,0,0,0,0
10-12-01,0,33,56,0,0,39,31,0,0,0,0,0,0,0,0,0
10-13-01,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-01,0,35,55,0,0,35,0,0,0,32,0,0,0,0,0,0
10-15-01,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
10-16-01,0,38,54,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-01,0,0,43,0,0,40,0,0,0,0,0,0,0,0,0,0
10-18-01,0,0,39,0,0,35,0,0,0,0,0,0,0,0,0,0
10-19-01,0,0,0,0,0,37,39,0,0,0,0,0,0,0,0,0
10-20-01,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0
10-21-01,0,33,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-22-01,0,0,0,32,0,39,0,0,0,0,0,0,0,0,0,0
10-23-01,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-24-21,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-25-51,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-26-01,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-27-01,0,0,0,0,0,34,0,0,0,33,0,0,0,0,0,0
10-28-01,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
10-29-01,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-30-01,0,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-31-01,0,0,0,0,0,37,0,0,0,33,0,0,0,0,0,0
10-32-11,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0
10-33-01,0,31,34,33,0,0,0,0,0,0,0,0,0,0,0,0
10-34-01,0,34,0,0,0,0,0,0,0,0,0,0,0,0,31,0
10-35-01,0,37,33,0,0,0,0,0,0,0,0,0,0,0,31,0
10-36-01,0,34,0,0,0,0,35,0,0,0,0,0,0,0,34,0
10-37-01,0,0,36,0,0,35,0,0,0,0,0,0,0,0,0,0
10-38-21,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
10-39-21,0,0,0,32,0,31,0,0,0,0,0,0,0,0,0,0
10-40-11,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-41-01,0,31,0,32,0,41,0,0,0,0,0,0,0,0,0,0
10-43-01,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-44-11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-45-31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
10-46-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-47-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
