date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
10-25-01,0,0,0,0,0,0,34,0,0,38,0,0,0,0,0,0
10-26-01,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
10-27-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
10-28-11,0,0,37,0,0,0,0,0,0,0,0,0,0,34,0,0
10-29-21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-30-01,0,0,45,0,0,0,0,0,0,33,0,0,35,0,0,0
10-31-11,0,0,33,0,0,0,0,0,34,32,0,0,0,0,0,0
10-32-01,34,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
10-33-01,0,0,0,0,0,0,42,0,34,0,0,0,0,0,0,0
10-34-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-35-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-36-01,0,34,0,0,0,34,39,0,0,0,0,0,0,35,0,36
10-37-01,0,0,0,0,0,0,35,0,0,35,0,34,0,0,0,0
10-38-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-39-01,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-40-11,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-41-01,42,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
10-42-01,0,33,0,0,0,34,0,0,0,0,0,0,0,33,0,0
10-43-11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-44-11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-45-31,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-46-41,37,0,0,0,0,39,0,0,0,0,0,0,0,34,0,0
10-47-01,0,0,0,0,0,35,0,0,0,33,0,0,0,0,0,0
10-48-01,0,0,0,0,0,32,0,0,0,36,0,0,0,0,0,0
10-49-01,0,0,0,0,0,36,0,0,0,44,0,0,0,0,0,0
10-50-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
10-51-11,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
10-52-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-53-01,0,0,0,0,0,36,0,0,0,0,0,0,0,38,0,0
10-54-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
10-55-41,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-56-01,0,0,0,0,0,39,32,0,0,0,0,0,0,0,0,0
10-57-11,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-58-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-59-41,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-00-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-03-51,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
11-07-11,0,36,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-09-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
11-11-01,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
11-12-01,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
11-13-11,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
11-14-11,0,0,32,0,0,34,0,0,0,0,0,0,0,32,0,0
11-15-01,0,0,34,0,0,34,32,0,0,33,0,0,0,42,0,0
11-16-01,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
11-17-01,0,39,0,0,0,0,0,0,0,0,0,0,0,38,0,0
11-18-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-19-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-20-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
11-21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
11-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-23-01,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
11-24-21,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-25-01,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
11-26-01,0,0,0,0,0,0,40,0,0,42,0,0,0,35,0,0
11-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-28-01,0,0,0,0,0,0,35,0,0,0,0,0,0,36,0,0
11-29-01,0,0,0,0,0,0,37,0,0,37,0,0,0,39,0,0
11-30-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-32-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-33-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-34-21,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
11-35-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
11-36-11,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-37-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-38-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-39-31,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,0
11-40-01,38,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0
11-41-11,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
11-42-31,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-43-41,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-44-01,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-45-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
