date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
10-22-01,0,0,36,0,0,0,0,0,0,0,0,0,0,41,0,0
10-23-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-26-01,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-28-01,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
10-30-11,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
10-31-01,0,46,0,0,0,0,0,0,0,0,0,0,0,36,0,0
10-36-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
10-37-01,0,0,30,0,0,0,0,0,0,0,0,0,0,35,0,0
10-38-21,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
10-39-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
10-40-11,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-41-01,0,0,31,0,0,0,0,0,0,0,0,0,0,39,34,0
10-42-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-43-11,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-44-51,0,0,0,0,0,0,0,0,0,36,0,0,0,31,0,0
10-45-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-46-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-47-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-48-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-50-01,0,0,0,0,0,0,34,0,0,39,0,0,0,0,0,0
10-51-01,0,0,0,0,0,0,33,0,0,43,0,0,0,38,0,0
10-52-01,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
10-53-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-54-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
10-55-41,0,0,0,0,0,0,0,29,0,0,0,0,0,31,30,0
10-56-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,36,0
10-58-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
10-59-41,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-00-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-03-41,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
11-04-31,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
11-05-11,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
11-08-41,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-10-01,0,0,41,0,0,0,0,0,33,0,0,0,0,0,0,0
11-11-31,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-12-11,0,0,31,40,0,0,0,0,0,0,0,0,0,0,0,0
11-13-11,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-14-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-15-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0
11-16-11,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
11-17-01,0,0,34,0,0,0,30,0,0,0,0,0,0,32,0,0
11-18-21,42,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-19-31,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
11-20-21,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-21-01,30,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-22-01,0,0,33,34,0,0,0,0,0,0,0,0,0,0,0,0
11-23-51,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
11-24-11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-25-01,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-27-21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-28-31,0,30,0,0,0,0,0,0,0,0,0,0,29,0,0,0
11-29-01,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-30-41,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-31-11,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
11-32-01,35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
11-33-51,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-34-31,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-35-41,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
11-36-21,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
11-37-01,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
11-38-01,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
11-39-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
11-40-01,0,0,0,0,0,0,31,0,35,0,0,0,0,0,33,0
11-41-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-42-11,0,0,0,0,0,0,31,0,0,42,0,0,0,0,0,0
11-43-11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-44-01,0,29,0,0,0,0,35,0,0,0,0,0,0,0,0,0
11-45-01,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
11-46-01,38,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-47-51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-48-21,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
11-49-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-50-41,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
11-51-01,0,0,0,0,0,0,33,0,0,0,0,0,0,34,0,0
11-53-01,0,0,34,32,0,0,0,0,0,0,0,0,0,0,0,31
11-54-01,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
11-59-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
12-00-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,0
12-01-01,0,0,0,0,0,0,36,0,0,0,0,0,0,31,34,0
12-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
12-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
12-04-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-05-01,0,33,0,0,29,0,33,0,0,0,0,0,0,0,0,0
12-06-21,0,35,0,0,0,0,0,0,0,0,0,0,37,0,0,0
12-07-01,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
12-08-01,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
12-09-01,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
12-10-01,0,47,0,0,0,0,0,0,40,0,0,0,0,0,0,0
12-11-01,0,45,0,0,0,0,0,0,42,0,0,0,0,0,0,0
12-12-01,0,46,0,0,0,0,0,0,39,0,0,0,0,0,0,0
12-13-01,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
12-14-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
12-15-01,0,0,0,0,0,0,0,0,38,0,0,0,0,31,0,0
12-16-01,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
12-17-01,0,30,0,0,0,0,0,0,51,0,0,0,0,0,0,0
12-18-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
12-19-01,0,0,0,0,0,0,0,0,33,0,0,0,0,31,0,0
12-20-01,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
12-21-01,0,34,0,0,0,0,0,0,39,0,0,0,0,0,0,0
12-22-01,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
12-23-01,0,0,0,0,0,0,34,0,44,0,0,0,0,0,0,0
12-24-11,0,0,0,0,0,0,0,0,36,0,0,0,0,30,0,0
12-25-21,0,33,0,0,0,0,33,0,0,0,0,0,0,30,0,0
12-26-01,0,0,0,0,0,0,38,0,38,0,0,0,0,0,0,0
12-27-01,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
12-28-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-29-01,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
12-30-01,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
12-31-01,0,31,0,0,0,0,31,0,44,0,0,0,0,0,0,0
12-32-01,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
12-33-01,0,30,0,0,0,0,35,0,0,0,0,0,0,30,0,0
12-34-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-35-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
12-36-01,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
12-37-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-38-01,0,31,0,30,0,0,0,0,0,0,0,0,0,0,0,0
12-39-01,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,0
12-40-01,0,0,0,0,0,0,34,0,0,33,0,0,0,35,0,0
12-41-01,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
12-42-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-43-01,0,0,0,0,0,0,34,0,31,0,0,0,0,0,0,0
12-44-01,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
12-45-01,0,0,0,0,0,0,0,0,0,30,0,0,0,35,36,0
12-46-01,40,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
12-47-21,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,0
12-48-21,0,0,0,0,0,0,0,35,0,0,0,0,0,33,0,0
