date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-43-15,0,0,31,0,0,0,0,0,0,0,0
09-45-35,0,0,0,0,0,0,0,0,0,0,0
09-46-05,0,34,0,0,0,0,0,34,0,0,0
09-47-45,0,0,0,0,30,0,0,0,0,0,0
09-48-05,0,0,0,0,31,0,0,0,0,0,0
09-49-25,0,0,0,0,30,0,0,0,0,0,0
09-50-05,0,0,41,0,34,0,31,0,0,0,0
09-51-05,0,0,32,0,31,0,31,0,0,0,0
09-52-05,0,34,0,0,0,0,30,0,0,0,0
09-53-05,0,0,0,37,0,0,0,0,0,0,0
09-54-05,0,0,0,0,0,0,32,0,0,0,0
09-55-05,0,37,0,0,0,0,29,0,0,0,0
09-56-05,0,0,0,0,0,0,29,0,0,0,0
09-57-05,0,0,0,0,0,0,30,0,0,0,0
09-58-05,0,0,0,0,0,0,32,0,0,0,0
10-00-05,0,0,0,0,0,0,0,0,0,0,0
10-01-05,0,0,0,0,0,0,35,34,0,0,0
10-02-15,0,0,35,0,0,0,0,0,0,0,0
10-03-05,0,0,0,0,0,0,35,0,0,0,31
10-04-05,0,0,0,0,0,30,32,0,0,0,35
10-05-05,0,0,0,0,0,0,34,0,0,0,30
10-06-05,0,0,0,37,0,0,32,0,0,0,53
10-07-05,0,0,0,0,0,0,0,0,0,0,44
10-08-05,0,0,0,0,0,0,34,0,0,0,51
10-09-05,0,0,0,0,0,0,0,0,0,0,54
10-10-05,0,0,35,0,0,0,0,0,0,0,53
10-11-05,0,0,0,0,0,0,0,0,0,0,37
10-12-05,0,0,0,0,0,0,31,0,0,0,0
10-13-45,0,35,0,0,0,0,0,0,0,0,0
10-14-15,0,29,0,0,0,0,0,0,0,0,0
10-15-15,0,0,30,0,0,0,0,0,0,0,0
10-16-05,0,0,37,0,0,0,0,0,0,0,0
10-17-15,0,0,0,0,0,0,29,0,0,0,0
10-18-05,0,0,30,0,0,0,30,0,0,0,0
10-19-05,0,0,35,0,0,0,32,0,0,0,0
10-20-05,0,31,35,0,30,0,33,0,0,0,32
10-21-05,0,0,29,0,0,0,0,0,0,0,32
10-22-05,0,0,31,0,0,0,29,0,0,0,31
10-23-05,0,32,0,0,30,0,30,0,0,0,0
10-24-05,0,0,0,0,31,0,30,0,0,0,0
10-25-05,0,0,33,0,0,0,0,0,0,0,0
10-26-05,0,0,0,0,0,0,32,0,0,0,0
10-27-05,0,0,31,0,0,0,33,30,0,0,0
10-28-05,0,0,0,0,31,0,0,0,0,0,34
10-29-05,0,0,0,0,0,0,0,32,0,0,0
10-30-05,0,0,0,0,0,0,0,34,0,0,0
10-31-05,0,0,0,0,0,0,0,31,0,0,0
10-32-05,0,0,0,0,0,0,0,32,0,0,0
10-33-05,0,34,29,0,34,0,0,32,0,0,0
10-34-05,0,30,32,0,0,0,0,31,0,0,35
10-35-05,0,32,33,0,0,37,0,0,0,0,32
10-36-05,0,0,34,0,0,0,0,0,0,0,0
10-37-05,0,0,0,0,0,30,0,0,0,0,34
10-38-05,0,0,34,0,0,29,0,0,0,0,0
10-39-05,0,0,34,30,0,0,0,0,0,0,0
10-40-05,0,0,31,36,0,0,0,0,0,0,30
10-41-05,0,0,0,0,0,0,0,0,0,0,35
10-42-05,0,0,0,0,0,30,0,0,0,0,0
10-44-25,0,31,0,0,0,0,0,0,0,0,0
10-45-15,0,0,33,0,0,0,0,0,0,0,0
10-46-05,0,0,35,0,0,0,0,0,0,0,0
10-47-05,0,0,0,31,0,0,0,29,0,0,0
10-48-05,0,0,0,0,0,30,0,0,0,0,0
10-49-55,0,0,0,0,0,0,0,30,0,0,0
10-50-05,0,0,0,0,0,0,0,29,0,0,0
10-51-05,0,0,29,31,0,30,0,0,0,0,0
10-52-05,0,38,34,0,0,34,0,0,0,0,0
10-53-05,0,32,36,0,0,30,0,0,0,0,0
10-54-05,0,41,0,29,0,33,0,0,0,0,0
10-55-05,0,35,0,30,0,0,0,0,0,0,0
10-56-05,0,39,0,0,0,31,0,0,0,0,0
10-57-05,0,46,0,34,0,32,34,0,0,0,0
10-58-05,0,34,0,0,0,30,31,0,0,0,0
10-59-05,0,39,0,30,0,35,42,0,0,0,0
11-00-05,0,34,0,0,0,32,34,0,0,0,0
11-01-05,0,31,0,0,0,0,0,0,0,0,0
11-02-05,0,0,0,0,0,0,0,0,0,0,34
11-03-05,0,0,32,0,42,0,0,0,0,0,0
11-04-05,0,36,35,0,29,31,0,0,0,0,0
11-05-05,0,0,34,0,0,30,0,0,0,0,0
11-06-05,0,0,37,30,0,30,0,0,0,0,0
11-07-05,0,0,0,0,0,31,0,0,0,0,0
11-08-05,0,0,0,0,0,36,0,0,0,0,0
11-09-05,0,0,0,0,0,30,0,0,0,0,0
11-10-05,0,0,29,31,0,33,0,0,0,0,0
11-11-05,0,0,0,0,0,0,34,0,0,0,0
11-12-05,0,0,0,0,31,0,31,0,0,0,0
11-13-05,0,31,40,33,0,29,0,0,0,0,37
11-14-05,0,0,0,0,0,0,31,0,0,0,31
11-15-05,0,29,0,0,0,0,0,0,0,0,31
11-16-05,0,0,0,0,0,0,0,0,0,0,36
11-17-05,0,0,0,0,0,0,0,0,0,0,30
11-18-05,0,0,0,0,0,0,0,0,0,0,30
11-19-05,0,0,0,0,0,0,33,0,0,0,0
11-20-05,0,0,29,0,0,0,0,0,0,0,0
11-21-35,0,0,0,0,30,0,0,0,0,0,0
11-22-05,0,0,32,0,0,0,0,0,0,0,0
11-23-05,0,0,31,0,0,0,0,0,0,0,33
11-24-05,0,0,29,0,0,0,0,0,0,0,0
11-25-05,0,0,29,29,0,0,30,0,0,0,0
11-26-05,0,0,0,30,0,0,0,0,0,0,0
11-27-25,0,0,0,31,0,0,0,0,0,0,0
11-28-05,0,0,0,29,0,0,0,0,0,0,0
11-29-05,0,0,0,0,0,0,29,0,0,0,0
11-30-05,0,0,34,30,0,0,0,0,0,0,0
11-31-05,0,0,0,31,0,33,0,0,0,0,0
11-32-05,0,0,0,41,0,33,0,0,0,0,0
11-33-05,0,0,31,0,0,32,32,0,0,0,0
11-36-05,0,0,0,0,31,0,0,0,0,0,0
11-37-05,0,51,0,0,0,0,29,0,0,0,0
11-38-05,0,51,32,0,0,0,0,0,0,0,0
11-39-05,0,37,31,0,0,0,0,0,0,0,0
11-40-05,0,35,34,34,0,30,0,0,0,0,37
11-41-05,0,33,0,0,0,0,31,0,0,0,33
11-42-05,0,41,32,0,0,32,33,0,0,0,35
11-43-05,0,35,0,0,29,0,31,0,0,0,0
11-44-05,0,41,0,0,0,0,29,0,0,0,0
11-45-05,0,44,0,0,0,0,0,0,0,0,0
11-46-05,0,38,0,0,0,0,0,0,0,0,0
11-47-05,0,39,0,0,34,0,30,0,0,0,0
11-48-05,0,41,0,0,0,0,0,0,0,0,0
11-49-05,0,39,0,0,0,0,0,0,0,0,0
11-50-05,0,40,0,0,30,0,0,0,0,0,0
11-51-05,0,38,0,0,30,0,30,0,0,0,0
11-52-25,0,0,0,0,0,0,30,0,0,0,0
11-53-35,0,0,0,0,0,0,39,0,0,0,0
11-54-05,0,29,0,0,0,0,0,0,0,0,0
11-55-25,0,0,0,0,0,0,0,31,0,0,0
11-56-05,0,32,0,38,0,0,0,32,0,0,0
11-57-05,0,0,0,0,0,0,31,31,0,0,0
11-58-05,0,0,0,36,32,0,0,38,0,0,0
11-59-05,0,31,0,0,0,31,31,0,0,0,32
12-00-05,0,39,0,0,0,0,0,0,0,0,30
12-01-05,0,0,0,0,0,29,31,30,0,0,29
12-02-25,0,29,0,0,0,0,0,0,0,0,0
12-03-05,0,29,0,0,0,0,0,0,0,0,0
12-04-05,0,30,0,0,0,0,31,0,0,0,0
12-05-05,0,31,0,0,0,0,38,0,0,0,0
12-06-05,0,0,0,0,0,0,32,0,0,0,0
12-07-05,0,0,0,0,0,0,30,0,0,0,0
12-08-05,0,33,0,0,0,31,36,0,0,0,0
12-09-25,0,0,0,0,0,30,0,0,0,0,0
12-10-05,0,0,0,0,0,35,32,0,0,0,0
12-11-05,0,29,0,0,0,31,0,0,0,0,0
12-12-05,0,0,0,0,0,31,39,49,0,0,0
12-13-05,0,0,0,0,0,0,32,31,0,0,0
12-14-05,0,0,0,0,0,29,31,31,0,0,0
12-15-05,0,0,0,0,0,30,29,0,0,0,0
