date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
10-25-00,0,0,0,0,0,0,30,32,0,0,34,0,0,0,0,0
10-26-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-27-00,0,0,0,0,0,0,0,0,0,0,36,0,0,30,0,0
10-28-00,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
10-29-00,0,0,34,0,0,0,32,0,0,0,0,0,0,0,29,0
10-30-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-31-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-32-00,0,0,29,0,0,0,0,0,0,0,0,0,0,0,32,0
10-33-00,0,0,0,0,0,0,31,0,0,0,0,0,0,0,30,0
10-34-00,0,0,0,0,0,0,29,0,0,0,0,0,0,0,30,0
10-35-00,0,0,36,34,0,0,0,0,0,0,0,0,0,0,32,0
10-36-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-37-00,0,0,30,0,0,0,30,0,0,0,32,0,0,30,31,0
10-38-00,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0
10-39-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-40-00,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
10-41-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-42-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,30,0
10-43-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-44-00,0,0,29,0,0,0,0,0,0,0,0,0,0,30,0,0
10-45-00,0,0,32,0,0,0,0,0,0,0,0,0,0,32,32,0
10-46-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0
10-47-00,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
10-49-00,0,0,32,0,0,0,0,0,0,0,0,0,0,0,37,0
10-50-00,0,0,30,0,0,0,33,0,0,0,0,0,0,0,32,0
10-51-00,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
10-52-00,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-53-00,0,0,0,0,0,0,31,0,0,0,33,0,0,0,32,0
10-54-00,0,0,40,0,0,0,29,0,0,0,33,0,0,29,0,0
10-55-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-56-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-57-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,31,0
10-58-00,0,0,0,0,0,0,29,33,0,0,34,0,0,33,0,0
10-59-00,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
11-00-00,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
11-01-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-00,0,0,32,0,0,0,0,0,0,0,0,0,30,0,0,0
11-03-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
11-04-00,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
11-05-00,0,0,0,31,0,0,0,32,0,0,34,0,0,33,0,0
11-06-00,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
11-07-00,0,0,0,0,0,0,0,0,0,0,29,0,0,31,0,0
11-08-00,0,0,0,0,0,0,0,36,0,0,0,0,0,0,32,0
11-09-00,0,0,32,0,0,0,0,0,0,0,0,0,35,0,0,0
11-10-00,0,0,30,0,0,0,0,37,0,0,0,0,0,0,0,0
11-11-00,0,0,45,30,0,0,0,0,0,0,0,0,0,0,0,0
11-12-00,0,0,32,36,0,0,0,0,0,0,0,0,30,0,0,0
11-13-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-14-00,0,0,30,0,0,0,0,0,0,0,0,0,0,32,0,0
11-15-00,0,0,33,0,0,0,0,0,0,0,33,0,0,32,31,0
11-16-00,0,0,37,0,0,0,0,0,0,0,0,0,0,30,31,0
11-17-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
