date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Silas,Beatrice,Willa
09-00-05,33,0,43,40,0,0,43,31,0,0,0,43,0,51,57,0
09-00-15,33,0,42,39,0,0,43,0,0,0,0,43,0,51,56,0
09-00-25,34,0,43,39,42,0,42,0,0,0,0,43,0,50,57,0
09-00-35,33,0,44,40,43,0,42,0,0,0,0,43,0,51,56,0
09-00-45,33,0,43,40,43,0,43,0,0,0,0,44,0,51,56,0
09-00-55,0,0,43,40,43,0,43,0,0,0,0,44,0,51,57,0
09-01-05,0,0,42,39,43,0,44,31,0,0,0,44,0,51,56,0
09-01-15,0,0,42,40,43,0,42,0,0,0,0,45,0,51,56,0
09-01-25,0,0,43,0,43,0,42,0,0,0,0,45,0,51,57,0
09-01-35,0,0,42,0,43,0,42,0,0,0,0,44,0,50,57,0
09-01-45,0,0,43,0,44,0,42,0,0,0,0,45,0,49,57,0
09-01-55,0,0,42,32,43,0,41,0,0,0,0,45,0,49,57,0
09-02-05,0,0,42,35,44,0,42,0,0,0,0,45,0,51,57,0
09-02-15,0,0,35,34,35,38,33,0,0,0,0,36,0,41,35,0
09-02-25,0,0,34,32,31,32,0,0,0,0,0,34,0,36,33,0
09-02-35,0,0,33,0,0,33,0,0,0,0,0,31,0,36,36,0
09-02-45,0,0,36,0,0,32,33,0,0,0,0,32,0,36,33,0
09-02-55,0,0,34,34,0,33,32,0,0,0,0,32,0,36,33,0
09-03-05,0,0,36,37,32,38,57,32,0,0,0,33,0,48,42,0
09-03-15,0,0,33,37,32,38,57,31,0,0,0,32,0,47,34,0
09-03-25,0,0,34,38,31,39,57,31,0,0,0,31,0,46,36,0
09-03-35,0,0,33,39,32,39,57,31,0,0,0,32,0,44,34,0
09-03-45,0,0,34,39,32,38,57,0,0,0,0,32,0,44,35,0
09-03-55,0,0,33,39,32,38,57,0,0,0,0,32,0,43,35,0
09-04-05,0,0,36,38,31,39,57,31,0,0,0,35,0,46,44,0
09-04-15,0,0,37,37,31,38,57,32,0,0,0,42,0,34,46,0
09-04-25,0,0,35,38,31,37,57,32,0,0,0,42,0,0,44,0
09-04-35,0,0,33,39,34,37,58,32,0,0,0,42,0,36,47,0
09-04-45,0,0,34,39,32,38,57,31,0,0,0,42,0,37,47,0
09-04-55,0,0,33,39,33,38,58,32,0,0,0,43,0,31,48,0
09-05-05,0,0,34,38,37,38,57,32,0,0,0,41,0,32,45,0
09-05-15,0,0,37,38,36,37,57,32,0,0,0,0,0,33,43,0
09-05-25,0,0,34,38,35,38,57,32,0,0,0,0,0,33,46,0
09-05-35,0,0,33,38,35,38,57,32,0,0,0,0,0,33,46,0
09-05-45,0,0,35,37,35,38,57,32,0,0,0,0,0,33,46,0
09-05-55,0,0,35,38,35,38,57,32,0,0,0,0,0,33,46,0
09-06-05,0,0,33,38,35,37,57,32,0,0,0,0,0,33,46,0
09-06-15,0,0,34,38,35,38,57,32,0,0,0,0,0,33,46,0
09-06-25,0,0,34,38,35,37,57,32,0,0,0,0,0,33,46,0
09-06-35,0,0,34,38,35,37,57,32,0,0,0,0,0,33,46,0
09-06-45,0,0,34,38,35,37,57,32,0,0,0,0,0,33,46,0
09-06-55,0,0,34,38,35,37,57,32,0,0,0,0,0,33,46,0
09-07-05,0,0,34,38,35,38,57,32,0,0,0,0,0,33,46,0
09-07-15,0,0,34,39,35,38,57,32,0,0,0,0,0,33,46,0
