date,Alice,Bob,Chris,Dave,Eliza,Fred,George,Helen,Ivan,Kelly,Linda,Meg,Noah,Oscar,Peter
11-28-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
11-29-00,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
11-30-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-31-00,0,0,0,0,0,33,40,0,0,0,0,0,0,0,0,0
11-32-00,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-33-00,0,0,0,33,40,33,0,0,0,0,32,0,0,33,33,0
11-34-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
11-35-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
11-36-00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-37-00,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
11-42-00,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-43-00,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-44-00,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
11-45-00,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
11-46-00,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
11-47-00,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
11-48-00,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-49-00,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
11-50-00,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-51-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,0
11-52-00,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-53-00,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-54-00,0,0,0,0,0,34,32,0,0,0,0,0,0,0,0,0
11-55-00,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
11-56-00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-03-00,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
12-04-00,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
12-05-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
12-06-00,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
12-07-00,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
12-09-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
