date,Alice,Bob,Chris,Dave,Eliza,Fred,George,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
10-49-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
10-50-00,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-51-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-52-00,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-54-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-55-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-58-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-59-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-00-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
11-01-00,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
11-02-00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-03-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-04-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
11-05-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-07-00,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
11-08-00,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
11-09-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-10-00,0,0,0,34,0,40,0,0,0,0,0,0,0,0,0,0
11-11-00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-13-00,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
11-14-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-15-00,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
11-16-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-17-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-18-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-19-00,0,0,33,0,0,0,0,0,0,0,0,0,0,34,0,0
11-20-00,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0
11-21-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-22-00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,0
11-23-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-24-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-25-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-26-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
11-27-00,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
11-28-00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-29-00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-30-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
11-31-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-33-00,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
11-34-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-36-00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-37-00,0,0,0,0,0,41,0,0,0,0,0,0,0,0,37,0
11-38-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-39-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
