date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Silas,Beatrice,Willa
11-50-15,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
11-51-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
11-52-55,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-54-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
11-57-25,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-58-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
11-59-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
12-00-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-01-55,0,0,0,0,0,32,0,0,0,0,0,0,0,0,31,0
12-02-15,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
12-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
12-10-55,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
12-12-55,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
12-13-25,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
12-16-15,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-19-35,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
12-20-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-25-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-26-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
12-27-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-28-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-29-05,0,0,0,0,0,33,0,0,0,0,0,0,0,0,31,0
12-32-45,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
12-33-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-34-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-35-05,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-36-05,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
12-37-05,0,0,43,32,0,0,0,0,0,0,0,0,0,0,0,0
12-38-05,0,0,44,0,0,0,0,0,0,0,0,0,0,0,50,0
12-39-05,0,0,45,0,0,0,0,0,0,0,0,0,0,0,50,0
12-40-05,0,0,40,0,0,0,0,0,0,0,0,0,0,0,52,0
12-41-05,0,0,44,0,0,32,0,0,0,0,0,0,0,0,51,0
12-42-05,0,0,45,0,0,32,0,0,0,0,0,0,0,0,51,0
12-43-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,51,0
12-44-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
12-45-05,0,0,45,0,0,32,0,34,0,0,0,0,0,0,52,0
12-46-05,0,0,44,0,0,32,0,34,0,0,0,0,0,0,52,0
12-47-05,0,0,45,0,0,32,0,34,0,0,0,0,0,0,52,0
12-48-05,0,0,45,0,0,32,0,34,0,0,0,0,0,0,52,0
12-49-05,0,0,45,0,0,33,0,33,0,0,0,0,0,0,52,0
12-50-05,0,0,47,0,0,32,0,33,0,0,0,0,0,0,52,0
12-51-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
12-52-05,0,0,46,0,0,32,0,35,0,0,0,0,0,0,52,0
12-53-05,0,0,45,0,0,32,0,34,0,0,0,0,0,0,52,0
12-54-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
12-55-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
12-56-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
12-57-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
12-58-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
12-59-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-00-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-01-05,0,0,46,0,0,32,0,35,0,0,0,0,0,0,52,0
13-02-05,0,0,45,0,0,32,0,34,0,0,0,0,0,0,52,0
13-03-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-04-05,0,0,45,0,0,32,0,34,0,0,0,0,0,0,52,0
13-05-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-06-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-07-05,0,0,46,0,0,32,0,35,0,0,0,0,0,0,52,0
13-08-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-09-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-10-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-11-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-12-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-13-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-14-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-15-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,52,0
13-16-05,0,0,46,0,0,32,0,34,0,0,0,0,0,0,53,0
13-20-05,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-23-35,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
13-25-25,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
13-31-55,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
13-32-05,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
13-35-25,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
13-36-15,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
13-37-45,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
13-38-05,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
