date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-06-15,0,32,0,0,0,0,0,0,34,0,0
09-06-25,0,32,0,0,0,0,0,0,34,0,0
09-06-35,0,32,0,0,0,0,0,0,35,0,0
09-06-45,0,32,0,0,0,0,0,0,34,0,0
09-06-55,0,32,0,0,0,0,0,0,34,0,0
09-07-05,0,32,0,0,0,0,0,0,35,0,0
09-07-15,0,32,0,0,0,0,0,0,34,0,0
09-07-25,0,32,0,0,0,0,0,0,34,0,0
09-07-35,0,32,0,0,0,0,0,0,34,0,0
09-07-45,0,33,0,0,0,0,0,0,34,0,0
09-07-55,0,32,0,0,0,0,0,0,34,0,0
09-08-05,0,32,0,0,0,0,0,0,34,0,0
09-08-15,0,32,0,0,0,0,0,0,34,0,0
09-08-25,0,32,0,0,0,0,0,0,34,0,0
09-08-35,0,32,0,0,0,0,0,0,34,0,0
09-08-45,0,32,0,0,0,0,0,0,35,0,0
09-08-55,0,32,0,0,0,0,0,0,35,0,0
09-09-05,0,32,0,0,0,0,0,0,35,0,0
09-09-15,0,32,0,0,0,0,0,0,34,0,0
09-09-25,0,32,0,0,0,0,0,0,34,0,0
09-09-35,0,32,0,0,0,0,0,0,34,0,0
09-09-45,0,32,0,0,0,0,0,0,34,0,0
09-09-55,0,32,0,0,0,0,0,0,34,0,0
09-10-05,0,32,0,0,0,0,0,0,34,0,0
09-10-15,0,32,0,0,0,0,0,0,34,0,0
09-10-25,0,32,0,0,0,0,0,0,34,0,0
09-10-35,0,0,0,0,0,0,0,0,34,0,0
09-10-45,0,0,0,0,0,0,0,0,35,0,0
09-10-55,0,32,0,0,0,0,0,0,34,0,0
09-11-05,0,0,0,0,0,0,0,0,34,0,0
09-11-15,0,32,0,0,0,0,0,0,34,0,0
09-11-25,0,32,0,0,0,0,0,0,34,0,0
09-11-35,0,32,0,0,0,0,0,0,34,0,0
09-11-45,0,32,0,0,0,0,0,0,35,0,0
09-11-55,0,32,0,0,0,0,0,0,34,0,0
09-12-05,0,32,0,0,0,0,0,0,34,0,0
09-12-15,0,32,0,0,0,0,0,0,34,0,0
09-12-25,0,32,0,0,0,0,0,0,34,0,0
09-12-35,0,32,0,0,0,0,0,0,35,0,0
09-12-45,0,0,0,0,0,0,0,0,34,0,0
09-12-55,0,32,0,0,0,0,0,0,35,0,0
09-13-05,0,32,0,0,0,0,0,0,35,0,0
09-13-15,0,32,0,0,0,0,0,0,34,0,0
09-13-25,0,32,0,0,0,0,0,0,34,0,0
09-13-35,0,32,0,0,0,0,0,0,34,0,0
09-13-45,0,0,0,0,0,0,0,0,34,0,0
09-13-55,0,32,0,0,0,0,0,0,34,0,0
09-14-05,0,32,0,0,0,0,0,0,34,0,0
09-14-15,0,32,0,0,0,0,0,0,35,0,0
