date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-18-45,40,56,0,66,67,59,56,0,70,52,41
09-18-55,45,57,0,66,68,59,55,0,69,52,41
09-19-05,37,57,0,66,67,59,54,0,69,52,32
09-19-15,43,57,0,66,68,58,54,0,69,53,40
09-19-25,46,57,0,66,68,58,54,0,69,53,32
09-19-35,40,56,0,66,67,59,54,0,70,53,33
09-19-45,42,54,0,66,67,58,52,0,69,53,33
09-19-55,45,57,0,65,67,59,54,0,69,45,0
09-20-05,36,62,0,67,66,59,55,0,68,51,0
09-20-15,0,62,0,67,68,59,55,0,69,54,35
09-20-25,0,62,0,67,68,59,55,0,70,54,35
09-20-35,0,56,0,67,68,58,56,0,69,54,37
09-20-45,0,58,0,66,68,58,55,0,70,54,37
09-20-55,0,60,0,66,67,60,55,0,70,54,39
09-21-05,0,59,0,67,67,58,54,0,70,54,39
09-21-15,0,61,0,66,66,58,54,0,70,57,38
09-21-25,0,60,0,66,69,59,51,0,69,53,41
09-21-35,0,56,0,66,68,59,54,0,69,52,43
09-21-45,0,57,0,67,67,59,57,0,69,52,39
09-21-55,0,60,0,67,66,60,42,0,69,54,41
09-22-05,0,51,0,67,68,61,45,0,69,53,37
09-22-15,35,58,0,67,67,57,32,0,70,55,34
09-22-25,34,56,0,66,67,58,43,0,71,54,45
09-22-35,35,56,0,66,67,58,49,0,70,54,45
09-22-45,40,56,0,67,68,59,39,0,71,53,46
09-22-55,38,55,0,66,67,58,33,0,71,51,48
09-23-05,41,59,0,66,68,58,36,0,71,53,47
09-23-15,45,59,0,67,68,58,37,0,70,52,33
09-23-25,47,60,0,66,69,58,45,0,71,53,0
09-23-35,38,61,0,65,68,57,39,0,70,53,32
09-23-45,36,58,0,51,69,53,39,0,71,53,33
09-23-55,49,59,0,51,68,55,35,0,69,52,34
09-24-05,40,61,0,46,68,59,33,0,70,50,36
09-24-15,35,60,0,48,69,57,39,0,70,52,43
09-24-25,32,61,0,42,69,57,34,0,70,51,36
09-24-35,32,60,0,0,68,58,34,0,70,56,34
09-24-45,34,60,0,0,68,58,34,0,62,54,33
09-24-55,0,59,0,0,68,58,33,0,56,57,34
09-25-05,32,58,0,0,67,58,33,0,51,55,37
09-25-15,0,63,0,0,66,57,0,0,43,56,40
09-25-25,0,63,0,0,68,59,33,0,41,57,41
09-25-35,32,62,0,0,67,58,35,0,35,56,36
09-25-45,32,62,0,0,67,59,38,0,42,56,40
09-25-55,33,62,0,0,67,58,41,0,34,57,42
09-26-05,34,62,0,0,67,59,40,0,34,57,43
09-26-15,33,63,0,0,67,59,42,0,48,57,43
09-26-25,33,63,0,0,67,56,38,0,43,57,43
09-26-35,33,63,0,0,67,57,35,0,46,57,35
09-26-45,33,63,0,0,66,57,35,0,35,57,40
09-26-55,0,63,0,0,67,57,35,0,33,37,39
09-27-05,0,63,0,0,67,57,51,0,0,35,40
09-27-15,33,63,0,0,67,57,36,0,39,41,40
09-27-25,33,63,0,0,67,58,32,0,32,43,40
09-27-35,33,62,0,0,68,57,33,0,0,44,42
09-27-45,35,63,0,0,68,56,35,0,33,43,44
09-27-55,33,63,0,0,67,56,32,0,34,41,34
09-28-05,38,63,0,0,67,57,32,0,42,36,32
09-28-15,0,64,0,0,67,57,36,0,41,41,34
09-28-25,32,65,0,0,67,58,37,0,38,36,40
09-28-35,0,64,0,0,67,57,38,0,45,33,39
09-28-45,0,65,0,0,67,57,43,0,45,38,40
09-28-55,32,65,0,0,67,57,44,0,42,49,40
09-29-05,32,65,0,0,67,58,0,0,42,46,36
09-29-15,0,65,0,0,67,58,34,0,41,48,37
09-29-25,0,65,0,0,67,57,33,0,45,49,38
09-29-35,32,65,0,0,67,57,34,0,47,44,34
09-29-45,32,64,0,0,67,57,33,0,48,44,34
09-29-55,0,64,0,0,66,57,0,0,46,47,36
09-30-05,0,64,0,0,66,58,32,0,46,42,35
09-30-15,0,65,0,0,66,58,0,0,38,40,34
09-30-25,0,65,0,0,66,58,0,0,40,33,39
09-30-35,0,64,0,0,67,58,0,0,36,32,43
09-30-45,0,65,0,0,51,59,0,0,49,33,38
09-30-55,0,64,0,0,42,59,32,0,36,34,36
09-31-05,0,64,0,0,41,59,0,0,37,0,36
09-31-15,0,64,0,0,38,59,32,0,35,39,45
09-31-25,0,65,0,0,34,59,32,0,33,38,46
09-31-35,0,64,0,0,33,59,33,0,39,36,45
09-31-45,33,65,0,0,36,59,32,0,35,36,44
09-31-55,0,64,0,0,36,59,33,0,0,36,36
09-32-05,32,65,0,0,40,59,0,0,43,36,37
09-32-15,0,65,0,0,42,59,0,0,52,36,33
09-32-25,32,64,0,0,36,61,0,0,42,35,32
09-32-35,36,64,0,0,36,60,0,0,42,36,38
09-32-45,38,65,0,0,0,61,0,0,45,36,44
09-32-55,37,65,0,0,32,60,0,0,36,34,45
