date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-17-05,0,0,0,0,0,0,0,0,0,0,36
09-17-15,0,0,0,0,0,0,0,0,0,0,35
09-17-25,0,0,0,0,0,0,0,0,0,0,36
09-17-35,0,0,0,0,0,0,0,0,0,0,36
09-17-45,0,0,0,0,0,0,0,0,0,0,35
09-17-55,0,0,0,0,0,0,0,0,0,0,38
09-18-05,0,0,0,0,0,0,0,0,0,0,38
09-18-15,0,0,0,0,0,0,0,0,0,0,38
09-18-25,0,0,0,0,0,0,0,0,0,0,33
09-18-35,0,0,0,0,0,0,32,0,0,0,35
09-18-45,0,0,0,0,0,0,0,0,0,0,35
09-18-55,0,0,32,0,0,0,0,0,0,0,33
09-19-05,0,0,0,0,0,0,0,0,0,0,34
09-19-15,0,0,0,0,0,0,0,0,32,0,33
09-19-25,0,32,33,0,0,33,37,0,35,0,34
09-19-35,0,35,36,0,32,37,39,0,38,32,35
09-19-45,0,39,36,0,32,34,36,32,35,0,33
09-19-55,32,51,52,45,44,43,46,34,49,39,0
09-20-05,0,54,49,35,45,55,54,40,59,46,0
09-20-15,0,51,46,35,38,48,41,35,49,41,0
09-20-25,32,46,50,35,37,42,37,36,56,38,0
09-20-35,0,44,37,34,34,50,39,32,48,40,0
09-20-45,0,38,34,0,33,37,33,0,37,33,0
09-20-55,0,41,34,0,32,36,34,0,35,37,0
09-21-05,0,44,41,33,33,45,38,0,42,37,0
09-21-15,0,45,36,0,33,49,39,0,45,41,0
09-21-25,0,43,38,32,35,51,37,0,47,41,34
09-21-35,0,40,37,0,32,43,33,0,43,38,32
09-21-45,0,41,34,0,0,36,33,0,37,35,0
09-21-55,0,44,37,32,0,46,35,0,41,42,0
09-22-05,0,42,36,32,32,40,36,0,44,39,34
09-22-15,36,56,45,34,35,56,41,32,53,43,0
09-22-25,35,62,53,46,42,63,52,37,62,57,32
09-22-35,32,59,55,50,58,54,45,46,50,48,33
09-22-45,33,46,56,48,54,52,49,45,53,47,34
09-22-55,34,56,57,49,47,58,50,38,55,44,34
09-23-05,33,57,53,47,44,63,44,35,51,53,33
09-23-15,0,40,41,32,33,41,32,32,51,40,32
09-23-25,0,41,39,0,33,44,37,0,53,38,0
09-23-35,0,44,45,32,34,46,35,34,52,36,33
09-23-45,32,45,41,0,32,49,37,32,53,34,0
09-23-55,32,44,40,0,33,48,0,32,53,33,0
09-24-05,0,47,38,34,32,43,32,33,44,43,0
09-24-15,0,57,47,35,33,51,0,32,57,39,0
09-24-25,32,56,50,33,38,56,0,33,61,46,0
09-24-35,34,58,57,48,42,62,0,40,61,54,0
09-24-45,0,44,53,44,43,59,0,33,54,48,0
09-24-55,0,50,53,46,42,60,0,33,54,49,0
09-25-05,0,49,54,44,45,59,0,33,53,49,0
09-25-15,0,44,51,42,44,56,0,33,54,47,0
09-25-25,0,44,53,42,46,56,0,36,54,51,0
09-25-35,0,40,57,52,52,54,0,36,45,47,0
09-25-45,0,41,56,52,50,51,32,37,53,45,0
09-25-55,0,54,59,50,54,54,0,37,48,44,33
09-26-05,32,46,46,46,47,58,0,33,44,44,0
09-26-15,0,41,48,48,42,52,0,35,51,45,36
09-26-25,32,55,55,48,48,46,0,35,47,45,32
09-26-35,32,55,52,41,48,51,0,33,56,51,0
09-26-45,32,52,49,45,42,43,0,33,54,48,0
09-26-55,0,49,51,38,44,52,32,37,44,54,32
09-27-05,0,39,49,43,47,51,0,34,44,39,32
09-27-15,0,36,51,49,33,51,0,32,43,38,0
09-27-25,0,36,50,48,37,51,0,32,46,42,0
09-27-35,32,35,50,48,39,50,0,33,48,39,0
09-27-45,32,37,49,49,37,47,0,32,45,38,0
09-27-55,0,33,51,49,35,52,0,33,46,39,0
09-28-05,0,46,43,51,38,54,0,33,49,37,32
09-28-15,0,46,44,52,38,52,0,35,51,39,0
09-28-25,0,45,43,52,35,52,0,34,50,37,32
09-28-35,0,45,44,50,37,52,0,33,39,36,32
09-28-45,0,48,44,51,37,47,0,33,32,36,34
09-28-55,0,44,52,45,51,50,0,37,32,39,34
09-29-05,0,54,49,44,52,56,0,38,0,51,33
09-29-15,32,54,51,45,50,55,0,37,0,51,34
09-29-25,33,48,44,43,44,55,0,38,32,49,33
09-29-35,32,45,41,36,41,56,0,37,0,46,0
09-29-45,34,50,55,44,40,58,0,40,0,51,0
09-29-55,33,54,51,48,37,52,0,35,0,45,0
09-30-05,0,53,54,50,42,56,0,33,0,41,0
09-30-15,0,51,57,54,44,55,0,33,0,45,0
09-30-25,0,43,53,54,51,53,0,32,0,43,0
09-30-35,0,49,57,54,50,50,0,33,32,43,32
09-30-45,32,52,50,53,49,59,0,38,32,45,33
09-30-55,32,49,44,52,47,59,0,37,0,48,35
09-31-05,33,52,53,50,51,52,0,38,0,49,34
09-31-15,32,44,53,46,48,57,0,37,0,50,35
09-31-25,0,46,55,42,49,54,0,34,0,38,32
09-31-35,0,47,54,43,50,55,0,33,0,40,0
09-31-45,0,48,52,40,49,55,0,32,0,42,32
09-31-55,0,41,47,39,37,46,0,35,0,53,0
09-32-05,0,49,55,46,46,40,33,0,33,44,33
09-32-15,32,53,50,51,46,50,0,33,34,47,36
09-32-25,0,45,58,54,51,51,0,41,35,46,39
09-32-35,0,55,51,41,51,50,33,34,32,43,34
09-32-45,33,51,41,44,41,58,0,0,0,49,0
09-32-55,33,52,45,46,37,58,0,34,0,50,0
09-33-05,0,43,55,52,32,49,0,37,0,48,0
09-33-15,0,41,53,51,0,48,0,37,0,48,0
09-33-25,32,42,54,52,0,48,0,34,0,48,38
09-33-35,0,37,54,51,0,49,0,34,0,48,32
09-33-45,0,41,53,52,0,48,0,35,0,48,0
09-33-55,0,43,53,52,0,49,0,40,0,47,0
09-34-05,32,47,52,52,0,53,0,0,0,46,0
09-34-15,0,50,49,40,0,52,0,0,0,45,0
09-34-25,0,53,55,45,0,52,0,0,0,44,0
09-34-35,0,39,46,44,0,45,0,0,0,48,0
09-34-45,0,37,45,45,0,51,0,0,0,49,0
09-34-55,0,40,39,45,0,53,0,0,0,48,0
09-35-05,0,44,38,48,0,56,0,0,0,39,0
09-35-15,32,45,39,46,0,54,0,0,0,40,0
09-35-25,0,47,36,45,0,55,0,0,0,48,0
09-35-35,0,48,43,41,0,55,0,0,0,46,0
09-35-45,0,49,51,46,0,55,0,0,0,45,0
09-35-55,0,49,53,49,0,56,0,0,0,45,0
09-36-05,0,45,50,42,0,55,0,0,0,45,0
09-36-15,0,43,56,39,32,55,0,0,0,47,0
09-36-25,32,45,56,41,0,55,0,0,0,46,0
09-36-35,32,52,60,40,0,56,0,0,0,49,0
09-36-45,0,52,59,50,32,51,0,0,0,48,0
09-36-55,0,54,60,44,0,51,32,0,0,46,0
09-37-05,0,50,49,47,32,56,0,0,0,51,0
09-37-15,0,52,54,45,33,48,0,0,0,51,0
09-37-25,0,48,57,34,34,50,0,0,0,48,0
09-37-35,0,41,52,33,34,48,0,0,0,43,0
09-37-45,32,48,60,32,36,50,34,0,32,42,34
09-37-55,42,52,49,0,35,65,0,0,0,58,34
09-38-05,32,46,58,0,32,55,0,32,0,43,35
09-38-15,34,56,53,34,35,53,0,0,32,48,36
09-38-25,32,51,51,0,33,50,0,0,0,38,33
09-38-35,0,45,48,0,0,46,0,0,0,37,34
09-38-45,0,46,45,0,33,45,0,0,0,36,34
09-38-55,34,62,55,0,33,57,0,0,0,51,32
09-39-05,39,65,51,0,34,63,0,0,32,52,32
09-39-15,42,61,54,0,34,66,0,0,32,56,38
09-39-25,37,60,50,32,34,57,0,0,0,47,37
09-39-35,40,64,52,0,35,62,33,0,0,52,36
09-39-45,0,48,50,32,32,48,0,0,0,39,35
09-39-55,0,50,50,32,0,47,0,0,0,37,36
09-40-05,0,48,34,0,39,42,0,0,0,35,37
09-40-15,32,53,52,0,35,47,39,0,0,42,34
09-40-25,33,52,47,0,0,57,39,0,0,38,0
09-40-35,32,51,49,0,32,52,41,0,32,44,32
09-40-45,32,42,42,34,33,45,41,0,0,35,38
09-40-55,35,47,55,37,34,46,33,32,34,39,34
09-41-05,32,48,50,38,0,52,34,0,32,49,0
09-41-15,34,44,55,32,32,53,33,32,33,37,0
09-41-25,36,58,52,32,0,55,33,0,32,49,0
09-41-35,0,45,42,33,32,47,36,0,32,55,34
09-41-45,0,40,48,35,32,42,44,33,33,33,0
09-41-55,0,41,53,32,32,50,38,0,0,45,0
09-42-05,0,38,42,32,36,44,33,35,0,33,0
09-42-15,0,0,38,36,0,37,38,34,38,34,39
09-42-25,0,0,0,0,0,0,36,0,42,0,32
09-42-35,34,32,37,41,32,34,34,0,42,0,35
09-42-45,0,36,0,33,0,35,0,0,32,0,0
09-42-55,0,39,32,0,0,33,0,0,32,0,0
09-43-05,0,36,33,0,0,34,38,0,32,0,0
09-43-15,0,34,32,33,0,35,32,0,0,0,0
09-43-25,32,51,32,32,0,35,34,0,32,0,0
09-43-35,0,33,32,0,0,32,44,0,34,0,0
09-43-45,0,0,0,0,0,32,0,0,33,0,0
09-43-55,0,0,0,33,0,39,0,0,36,0,0
09-44-05,0,0,0,0,0,38,0,0,33,33,0
09-44-15,0,0,0,33,0,36,0,0,33,33,0
09-44-25,40,0,33,32,32,40,0,0,34,32,0
09-44-35,35,32,36,33,0,42,0,32,33,35,35
09-44-45,33,34,35,35,32,39,35,0,37,33,47
09-44-55,32,33,46,32,0,36,0,32,0,33,0
09-45-05,0,32,40,0,0,37,0,0,32,38,0
09-45-15,0,33,34,33,32,35,0,0,36,39,0
09-45-25,0,34,33,0,0,39,0,0,0,41,0
09-45-35,43,37,34,36,32,36,0,32,38,39,32
09-45-45,32,56,37,32,34,38,0,32,39,39,32
09-45-55,0,32,38,32,33,37,0,0,44,45,32
09-46-05,32,0,39,0,32,38,0,0,41,35,0
09-46-15,0,0,37,0,33,36,0,0,41,35,34
09-46-25,33,0,38,32,34,52,0,0,44,32,33
09-46-35,33,0,36,0,33,38,0,0,43,33,33
09-46-45,33,32,37,32,33,36,0,0,43,37,0
09-46-55,34,0,35,34,34,36,0,0,42,36,0
09-47-05,32,0,37,34,33,34,0,0,44,41,32
09-47-15,32,33,36,33,32,33,0,0,43,34,0
09-47-25,32,44,35,33,0,32,0,0,41,33,32
09-47-35,32,35,36,33,0,33,0,0,42,34,32
09-47-45,32,32,37,33,33,0,0,0,41,0,32
09-47-55,0,0,35,36,32,33,0,0,42,32,33
09-48-05,0,0,35,40,0,36,0,0,42,0,0
09-48-15,32,35,34,35,32,38,0,0,43,33,32
09-48-25,32,0,38,35,34,36,0,0,41,32,33
09-48-35,35,0,36,42,43,35,0,0,44,0,34
09-48-45,36,32,34,37,0,35,0,0,44,0,35
09-48-55,32,33,33,35,0,33,0,0,44,32,33
09-49-05,0,32,36,33,0,34,0,0,43,34,33
09-49-15,0,32,33,33,0,33,0,0,42,0,32
09-49-25,32,32,40,0,0,32,0,0,43,0,33
09-49-35,0,34,41,35,0,34,0,0,39,0,32
09-49-45,33,0,46,49,0,34,0,0,36,32,34
09-49-55,33,33,33,46,0,33,0,0,35,34,35
09-50-05,32,32,36,32,0,33,0,0,36,32,36
09-50-15,35,0,0,0,0,32,0,0,37,0,35
09-50-25,33,32,0,0,0,32,0,0,37,0,40
09-50-35,33,0,0,0,33,33,0,0,37,0,0
09-50-45,0,36,0,0,32,35,0,0,35,32,0
