date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-00-05,0,33,39,33,34,33,36,0,38,0,0
09-01-05,0,43,40,33,39,35,42,33,45,0,0
09-02-05,0,42,42,32,33,45,40,0,44,0,0
09-03-05,0,40,41,35,35,44,40,33,39,0,0
09-04-05,0,36,39,33,34,38,39,0,39,0,38
09-05-05,0,0,0,0,0,0,0,0,0,0,37
09-06-05,0,0,0,0,0,0,0,0,0,0,33
09-07-05,0,0,0,0,0,0,0,0,0,0,35
09-08-05,0,0,0,0,0,0,0,0,0,0,40
09-09-05,0,0,0,0,0,0,0,0,0,0,40
09-10-05,0,0,0,0,0,0,0,0,0,0,32
09-11-05,0,0,0,0,0,0,0,0,0,0,36
09-12-05,0,0,0,0,0,0,0,0,0,0,34
09-13-05,0,0,0,0,0,0,0,0,0,0,33
09-14-05,0,0,0,0,0,0,0,0,0,0,32
09-15-05,0,0,0,0,0,0,0,0,0,0,32
09-16-05,0,0,0,0,0,0,0,0,0,0,36
09-17-05,0,0,0,0,0,0,0,0,0,0,36
09-18-05,0,0,0,0,0,0,0,0,0,0,38
09-19-05,0,0,0,0,0,0,0,0,0,0,34
09-20-05,0,54,49,35,45,55,54,40,59,46,0
09-21-05,0,44,41,33,33,45,38,0,42,37,0
09-22-05,0,42,36,32,32,40,36,0,44,39,34
09-23-05,33,57,53,47,44,63,44,35,51,53,33
09-24-05,0,47,38,34,32,43,32,33,44,43,0
09-25-05,0,49,54,44,45,59,0,33,53,49,0
09-26-05,32,46,46,46,47,58,0,33,44,44,0
09-27-05,0,39,49,43,47,51,0,34,44,39,32
09-28-05,0,46,43,51,38,54,0,33,49,37,32
09-29-05,0,54,49,44,52,56,0,38,0,51,33
09-30-05,0,53,54,50,42,56,0,33,0,41,0
09-31-05,33,52,53,50,51,52,0,38,0,49,34
09-32-05,0,49,55,46,46,40,33,0,33,44,33
09-33-05,0,43,55,52,32,49,0,37,0,48,0
09-34-05,32,47,52,52,0,53,0,0,0,46,0
09-35-05,0,44,38,48,0,56,0,0,0,39,0
09-36-05,0,45,50,42,0,55,0,0,0,45,0
09-37-05,0,50,49,47,32,56,0,0,0,51,0
09-38-05,32,46,58,0,32,55,0,32,0,43,35
09-39-05,39,65,51,0,34,63,0,0,32,52,32
09-40-05,0,48,34,0,39,42,0,0,0,35,37
09-41-05,32,48,50,38,0,52,34,0,32,49,0
09-42-05,0,38,42,32,36,44,33,35,0,33,0
09-43-05,0,36,33,0,0,34,38,0,32,0,0
09-44-05,0,0,0,0,0,38,0,0,33,33,0
09-45-05,0,32,40,0,0,37,0,0,32,38,0
09-46-05,32,0,39,0,32,38,0,0,41,35,0
09-47-05,32,0,37,34,33,34,0,0,44,41,32
09-48-05,0,0,35,40,0,36,0,0,42,0,0
09-49-05,0,32,36,33,0,34,0,0,43,34,33
09-50-05,32,32,36,32,0,33,0,0,36,32,36
09-51-05,0,49,0,34,33,37,0,0,34,38,0
09-52-05,35,41,44,0,36,33,0,0,35,0,36
09-53-05,36,39,32,34,39,33,0,0,35,37,0
09-54-05,32,37,33,33,37,34,32,0,35,39,0
09-55-05,34,33,39,33,0,41,0,32,0,32,37
09-56-05,32,34,35,0,35,37,0,0,33,0,0
09-57-05,0,32,35,0,0,54,0,36,0,0,0
09-58-05,0,33,37,0,34,50,0,0,33,32,32
09-59-05,0,33,41,0,32,38,34,33,34,39,38
10-00-05,0,38,41,41,39,39,0,32,32,32,0
10-01-05,35,41,34,33,32,33,36,36,49,0,38
10-02-05,0,32,0,0,0,37,32,35,41,32,37
10-03-05,0,36,33,33,36,43,32,0,32,34,37
10-04-05,0,35,34,0,33,34,0,47,41,32,32
10-05-05,0,0,35,0,37,33,0,45,42,51,0
10-06-05,0,0,35,33,42,46,0,36,34,36,0
10-07-05,0,0,42,32,41,32,0,39,32,34,0
10-08-05,0,0,33,34,36,32,0,35,34,39,0
10-09-05,0,33,42,51,32,37,0,33,32,0,37
10-10-05,0,0,38,37,48,35,0,33,33,0,33
10-11-05,32,0,34,0,33,38,0,0,35,40,34
10-12-05,32,0,0,0,0,33,0,0,0,0,0
10-13-05,0,0,37,38,32,34,0,37,32,0,0
10-14-05,0,0,0,0,41,35,0,32,33,0,0
10-15-05,0,0,45,36,33,34,0,44,32,0,0
10-16-05,0,33,34,32,35,36,0,37,37,0,0
10-17-05,0,0,0,0,0,0,0,32,36,0,0
10-18-05,0,36,0,32,42,36,0,37,40,0,33
10-19-05,0,0,0,0,32,33,46,34,0,0,34
10-20-05,0,0,33,0,32,36,41,33,0,0,0
10-21-05,0,0,33,0,34,39,42,34,34,0,33
10-22-05,0,0,0,0,34,43,36,0,32,0,0
10-23-05,0,0,0,0,43,40,34,32,33,0,34
10-24-05,0,0,37,0,45,38,40,0,33,0,0
10-25-05,0,35,36,33,46,0,32,40,33,0,40
10-26-05,0,0,34,0,36,62,0,0,38,0,35
10-27-05,0,0,36,0,34,33,32,37,43,41,32
10-28-05,0,35,34,0,33,39,0,0,40,32,0
10-29-05,0,0,36,0,0,33,33,0,37,0,0
10-30-05,0,32,37,32,34,49,34,32,34,39,37
