date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-09-05,61,64,0,0,0,0,0,0,0,0,0
09-10-05,76,81,0,0,84,80,0,0,0,0,0
09-11-05,76,81,0,0,84,81,80,78,63,0,0
09-12-05,0,81,0,0,85,82,80,78,77,48,0
09-13-05,0,81,0,0,85,81,47,37,0,47,0
09-14-05,0,65,0,0,36,56,48,63,0,58,0
09-15-05,0,64,0,0,45,55,49,59,0,58,0
09-16-05,0,64,0,0,51,54,48,50,0,57,0
09-17-05,0,65,0,0,51,54,49,50,0,57,0
09-18-05,0,64,0,0,51,53,49,53,0,59,0
09-19-05,0,64,0,0,52,52,52,52,0,58,0
09-20-05,0,64,0,0,52,54,50,48,0,57,0
09-21-05,0,64,0,0,54,56,53,38,0,57,0
09-22-05,0,64,0,0,52,56,50,0,0,59,0
09-23-05,0,64,0,0,50,55,51,0,0,58,0
09-24-05,0,65,0,0,39,56,48,0,0,57,0
09-25-05,0,64,0,0,37,52,47,0,0,58,0
09-26-05,0,64,0,0,37,54,51,0,0,57,0
09-27-05,0,64,0,0,39,55,53,0,0,58,0
09-28-05,0,64,0,0,42,54,52,0,0,58,0
09-29-05,0,64,0,0,45,55,53,0,0,57,0
09-30-05,0,65,0,0,48,56,52,0,0,57,0
09-31-05,0,64,0,0,35,57,43,0,0,57,0
09-32-05,0,64,0,0,34,56,40,0,0,57,0
09-33-05,0,64,0,0,34,56,38,0,0,58,0
09-34-05,0,64,0,0,0,56,41,0,0,58,0
09-35-05,0,64,0,0,0,56,39,0,0,35,0
09-36-05,0,64,0,0,0,56,35,0,0,36,0
09-37-05,0,64,0,0,0,56,34,0,0,33,0
09-38-05,0,63,0,0,32,55,40,0,0,37,0
09-39-05,0,63,0,0,33,56,37,0,0,33,0
09-40-05,0,63,0,0,0,54,0,0,0,0,0
09-41-05,0,64,0,0,33,55,0,0,0,0,0
09-42-05,0,65,0,0,0,55,35,0,0,35,0
09-43-05,0,65,0,0,0,56,36,0,0,32,0
09-44-05,0,64,0,0,0,56,33,0,0,33,0
09-45-05,0,64,0,0,0,50,36,0,0,33,0
09-46-05,0,64,0,0,0,0,34,0,0,33,0
09-47-05,0,64,0,0,32,0,32,0,0,34,0
09-48-05,0,65,0,0,0,0,34,0,0,36,0
09-49-05,0,64,0,0,0,0,0,0,0,32,0
09-50-05,0,64,0,0,0,0,35,0,0,33,0
09-51-05,0,64,0,0,0,0,32,0,0,40,0
09-52-05,0,65,0,0,0,0,33,0,0,33,0
09-53-05,0,64,0,0,0,0,0,0,0,33,0
09-54-05,0,64,0,0,0,0,33,0,0,0,0
09-55-05,0,64,0,0,0,0,33,0,0,33,0
09-56-05,0,64,0,0,0,0,34,0,0,35,0
09-57-05,0,63,0,0,0,0,40,0,0,35,0
09-58-05,0,64,0,0,0,0,34,0,0,33,0
09-59-05,0,33,0,0,32,0,33,0,0,35,0
10-00-05,0,0,0,0,0,0,38,0,0,33,0
10-01-05,0,0,0,0,0,0,37,0,0,0,0
10-02-05,0,34,0,0,0,0,35,0,0,0,0
10-03-05,0,33,0,0,33,0,37,0,0,0,0
10-04-05,0,0,0,0,33,0,38,0,0,32,0
10-05-05,0,32,0,0,32,0,35,0,0,32,0
