date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
05-56-86,0,0,0,0,0,66,0,0,0,0,0
05-68-96,0,0,0,0,0,0,0,0,0,0,0
05-69-04,0,0,0,0,0,0,0,0,0,0,0
05-73-69,0,0,0,0,0,66,0,0,0,0,0
05-90-26,31,0,0,0,0,0,0,0,0,0,0
05-92-31,0,0,0,0,0,0,0,0,0,0,0
06-02-40,0,0,0,0,0,47,0,0,0,0,0
06-03-54,0,0,0,0,0,0,0,0,0,0,0
06-07-07,0,0,0,0,0,0,0,0,0,0,40
06-09-03,0,0,0,0,0,47,0,0,0,0,0
06-13-29,0,0,0,0,0,66,0,0,0,0,0
06-14-10,0,0,0,0,0,0,0,0,85,0,0
06-30-26,0,0,0,0,56,0,0,0,0,0,0
06-30-40,0,0,0,0,57,0,0,0,0,0,0
06-35-24,0,0,0,0,0,0,0,0,0,0,0
06-38-43,0,0,0,0,0,58,0,0,0,0,0
06-45-25,0,0,0,0,0,0,124,0,0,0,0
06-57-20,0,0,0,0,0,0,107,0,0,0,0
06-80-51,0,0,0,0,0,0,124,0,0,0,0
06-88-40,0,0,0,0,0,47,0,0,0,0,0
06-89-52,0,0,0,0,0,0,37,0,0,0,0
07-02-88,0,0,0,0,58,0,0,0,0,0,0
07-05-44,0,0,0,0,58,0,0,0,0,0,0
07-05-84,0,0,0,0,58,0,0,0,0,0,0
07-07-76,0,0,0,0,58,0,0,0,0,0,0
07-13-17,0,0,0,0,0,0,0,0,0,0,0
07-14-18,0,0,0,0,110,0,0,0,0,0,0
07-18-72,0,0,0,0,0,0,0,0,0,0,0
07-36-63,0,0,0,0,0,0,0,0,32,0,0
07-46-00,0,0,0,0,0,0,0,0,0,0,0
07-57-85,0,0,0,0,108,0,0,0,0,0,0
07-62-25,0,0,0,0,55,0,0,0,0,0,0
07-63-63,0,0,0,0,0,0,0,0,0,0,0
07-64-21,0,0,0,0,54,0,0,0,0,0,0
07-85-60,0,119,0,0,0,0,0,0,0,0,0
07-99-51,0,0,0,0,57,0,0,0,0,0,0
07-99-67,0,0,0,0,57,0,0,0,0,0,0
08-04-18,0,0,0,0,56,0,0,0,0,0,0
08-05-38,0,0,0,0,0,0,0,0,0,0,0
08-29-44,0,0,0,0,0,0,124,0,0,0,0
08-32-73,0,0,0,0,0,0,0,0,0,0,0
08-41-47,0,0,0,0,0,0,0,0,0,0,71
08-43-52,0,0,0,0,0,0,0,0,86,0,0
08-62-20,0,0,0,0,0,31,0,0,0,0,0
08-73-20,0,0,0,0,0,0,0,0,0,0,0
08-79-04,0,0,0,0,0,57,0,0,0,0,0
08-86-74,0,0,0,0,0,0,0,0,0,0,0
08-88-33,0,0,0,0,0,0,0,0,0,0,0
08-88-85,56,0,0,0,0,0,0,0,0,0,0
08-89-95,0,0,0,0,56,0,0,0,0,0,0
08-92-82,0,0,0,0,0,0,0,0,0,0,0
09-00-05,0,0,48,31,0,0,33,0,0,0,0
09-00-15,0,0,48,31,0,0,0,0,0,0,0
09-00-25,0,31,48,31,0,0,0,31,0,0,0
09-00-35,0,0,48,0,0,0,0,0,0,0,0
09-00-45,0,0,48,32,0,0,31,31,0,0,0
09-00-55,0,0,48,0,0,0,31,0,0,0,0
09-01-05,0,0,48,31,0,0,0,31,0,0,0
09-01-15,0,31,48,0,0,0,0,31,0,0,0
09-01-25,0,31,48,0,0,0,31,31,0,0,0
09-01-35,0,31,48,31,0,0,0,31,0,0,0
09-01-45,0,31,48,31,0,0,32,31,0,0,0
09-01-55,0,31,48,31,31,0,0,31,0,0,0
09-02-05,0,0,48,31,0,0,31,0,0,0,0
09-02-11,0,0,0,0,41,0,0,0,0,0,0
09-02-15,0,31,48,0,0,32,32,31,0,0,0
09-02-25,0,32,47,0,31,0,36,31,0,0,0
09-02-35,0,31,47,0,0,0,35,31,0,0,0
09-02-45,0,32,48,0,0,0,35,31,0,0,0
09-02-55,0,31,47,32,0,0,35,31,0,0,0
09-03-05,0,0,47,0,0,0,35,0,0,0,0
09-03-15,0,0,47,0,0,31,34,31,0,0,0
09-03-25,0,31,47,31,0,0,33,31,0,0,0
09-03-35,0,31,47,31,0,0,34,0,0,0,0
09-03-45,0,0,47,31,0,0,35,0,0,0,0
09-03-55,0,0,47,32,0,0,34,31,0,0,0
09-04-05,0,0,47,31,0,0,35,31,0,0,0
09-04-15,0,0,47,31,0,0,34,31,0,0,0
09-04-25,0,0,47,0,0,0,35,0,0,0,0
09-04-35,0,0,47,0,0,0,35,31,0,0,0
09-04-45,0,0,47,0,0,0,34,31,0,0,0
09-04-55,0,0,47,0,0,0,35,31,0,0,0
09-05-05,0,0,47,0,0,0,35,0,0,0,0
09-05-15,0,31,47,0,0,0,36,31,0,0,0
09-05-25,0,0,47,0,0,0,36,0,0,0,0
09-05-35,0,31,47,0,0,0,35,31,0,0,0
09-05-45,0,31,47,0,0,31,35,0,0,0,0
09-05-55,0,31,47,0,0,0,35,31,0,0,0
09-06-05,0,0,47,31,0,0,34,0,0,0,0
09-06-15,0,0,47,31,0,0,37,0,0,0,0
09-06-25,0,0,47,33,0,0,35,32,0,0,0
09-06-35,0,0,48,33,0,0,36,0,0,0,0
09-06-45,0,0,48,33,0,0,38,0,0,0,0
09-06-55,0,0,48,33,0,0,38,31,0,0,0
09-07-05,0,0,48,33,0,0,37,0,0,0,0
09-07-15,0,0,48,33,0,0,35,0,0,0,0
09-07-25,0,0,48,32,0,0,38,0,0,0,0
09-07-35,0,0,48,33,0,0,35,0,0,0,0
09-07-45,0,0,48,33,0,0,36,0,0,0,0
09-07-55,0,0,48,32,0,0,37,0,0,0,0
09-08-05,0,0,48,32,0,0,37,0,0,0,0
09-08-15,0,0,48,32,0,0,36,0,0,0,0
09-08-25,0,0,48,33,0,0,37,0,0,0,0
09-08-35,0,0,48,33,0,0,36,44,0,0,0
09-08-45,0,0,48,32,0,0,37,0,0,0,0
09-08-55,0,0,48,33,0,0,38,0,0,0,0
09-09-05,0,0,48,33,0,0,37,0,0,0,0
09-09-15,0,0,48,33,0,0,36,0,0,0,0
09-09-25,0,0,48,33,0,0,36,0,0,0,0
09-09-35,0,0,48,32,0,0,36,31,0,0,0
09-09-45,0,0,48,33,0,0,37,31,0,0,0
09-09-55,0,0,48,32,0,0,36,31,0,0,0
09-10-05,0,0,48,33,0,0,37,0,0,0,0
09-10-15,0,0,48,32,0,0,35,0,0,0,0
09-10-25,0,0,48,32,0,0,35,31,0,0,0
09-10-35,0,0,47,33,0,0,35,0,0,0,0
09-10-45,0,0,48,33,0,0,35,0,0,0,0
09-10-55,0,0,48,32,0,0,36,0,0,0,0
09-11-05,0,0,47,32,0,0,37,0,0,0,0
09-11-15,0,0,48,33,0,0,35,50,0,0,0
09-11-25,0,0,48,32,0,0,35,0,0,0,0
09-11-35,0,0,48,32,0,0,35,0,0,0,0
09-11-45,0,0,48,32,0,0,36,0,0,0,0
09-11-55,0,0,48,32,0,0,36,0,0,0,0
09-12-05,0,0,48,31,0,0,35,0,0,0,0
09-12-15,0,0,48,32,0,0,35,0,0,0,0
09-12-25,0,0,48,32,0,0,36,0,0,0,0
09-12-35,0,0,48,32,0,0,35,0,0,0,0
09-12-45,0,0,48,32,0,0,37,0,0,0,0
09-12-55,0,0,48,32,0,0,36,0,0,0,0
09-13-05,0,0,48,32,0,0,35,0,0,0,0
09-13-15,0,0,48,32,0,0,36,0,0,0,0
09-13-25,0,0,48,31,0,0,36,0,0,0,0
09-13-35,0,0,48,32,0,0,37,0,0,0,0
09-13-45,0,0,48,32,0,0,36,31,0,0,0
09-13-55,0,0,48,32,0,0,35,0,0,0,0
09-14-05,0,0,48,32,0,0,36,31,0,0,0
09-14-15,0,0,48,32,0,0,37,0,0,0,0
09-14-25,0,0,48,32,0,0,37,0,0,0,0
09-14-35,0,0,48,32,0,0,36,0,0,0,0
09-14-45,0,0,48,32,0,0,35,0,0,0,0
09-14-55,0,0,48,32,0,0,35,0,0,0,0
09-15-05,0,0,48,32,0,0,36,0,0,0,0
09-15-15,0,0,48,32,0,0,36,0,0,0,0
09-15-25,0,0,48,32,0,0,35,0,0,0,0
09-15-35,0,0,48,32,0,0,37,0,0,0,0
09-15-45,0,0,48,32,0,0,36,0,0,0,0
09-15-55,0,0,48,32,0,0,35,0,0,0,0
09-16-05,0,0,48,32,0,0,37,0,0,0,0
09-16-15,0,0,48,33,0,0,38,0,0,0,0
09-16-25,0,0,48,33,0,0,37,0,0,0,0
09-16-35,0,0,48,32,0,0,36,0,0,0,0
09-16-45,0,0,48,32,0,0,37,0,0,0,0
09-16-55,0,0,48,31,0,0,38,0,0,0,0
09-17-05,0,0,48,32,0,0,38,0,0,0,0
09-17-15,0,0,48,32,0,0,39,0,0,0,0
09-17-25,0,0,48,33,0,0,38,0,0,0,0
09-17-35,0,0,48,32,0,0,36,0,0,0,0
09-17-45,0,0,48,32,0,0,36,0,0,0,0
09-17-55,0,0,48,32,0,0,36,0,0,0,0
09-18-05,0,0,48,32,0,0,36,0,0,0,0
09-18-15,0,0,48,32,0,0,37,0,0,0,0
09-18-25,0,0,48,32,0,0,35,0,0,0,0
09-18-35,0,0,48,32,0,0,36,0,0,0,0
09-18-45,0,0,48,32,0,0,36,0,0,0,0
09-18-55,0,0,48,32,0,0,35,0,0,0,0
09-19-05,0,0,48,32,0,0,35,0,0,0,0
09-19-15,0,0,48,32,0,0,36,0,0,0,0
09-19-25,0,0,48,32,0,0,34,0,0,0,0
09-19-35,0,0,48,32,0,0,35,0,0,0,0
09-19-45,0,0,48,31,0,0,36,0,0,0,0
09-19-55,0,0,48,32,0,0,36,0,0,0,0
09-20-05,0,0,48,32,0,0,36,0,0,0,0
09-20-15,0,0,48,32,0,0,36,0,0,0,0
09-20-25,0,0,48,31,0,0,36,0,0,0,0
09-20-35,0,0,48,32,0,0,37,0,0,0,0
09-20-45,0,0,48,33,0,0,36,31,0,0,0
09-20-55,0,0,48,32,0,0,35,0,0,0,0
09-21-05,0,0,47,32,0,0,35,0,0,0,0
09-21-15,0,0,48,32,0,0,36,0,0,0,0
09-21-25,0,0,48,32,0,0,36,0,0,0,0
09-21-35,0,0,48,32,0,0,36,0,0,0,0
09-21-45,0,0,47,32,0,0,34,0,0,0,0
09-21-55,0,0,47,33,0,0,37,0,0,0,0
09-22-05,0,0,47,33,0,0,36,0,0,0,0
09-22-15,0,0,47,32,0,0,32,0,0,0,0
09-22-25,0,0,47,32,0,0,0,31,0,0,0
09-22-35,0,0,47,32,0,0,0,0,0,0,0
09-22-45,0,0,47,32,0,0,0,0,0,0,0
09-22-55,0,0,47,32,0,0,0,0,0,0,0
09-22-89,0,0,0,0,78,0,0,0,0,0,0
09-23-05,0,0,47,32,0,0,0,0,0,0,0
09-23-15,0,0,47,32,0,0,34,0,0,0,0
09-23-25,0,0,47,32,0,0,0,0,0,0,0
09-23-35,0,0,47,32,0,0,0,0,0,0,0
09-23-45,0,0,47,32,0,0,0,0,0,0,0
09-23-55,0,0,47,32,0,0,0,0,0,0,0
09-24-05,0,0,47,32,0,0,0,0,0,0,0
09-24-15,0,0,47,32,0,0,0,0,0,0,0
09-24-25,0,0,47,32,0,0,0,0,0,0,0
09-24-35,0,0,47,31,0,0,0,0,0,0,0
09-24-45,0,0,47,32,0,0,0,0,0,0,0
09-24-55,0,0,48,32,0,0,0,0,0,0,0
09-25-05,0,0,47,32,0,0,0,0,0,0,0
09-25-15,0,0,47,32,0,0,0,0,0,0,0
09-25-25,0,0,47,31,0,0,0,0,0,0,0
09-25-35,0,0,47,32,0,0,0,0,0,0,0
09-25-45,0,0,47,32,0,0,0,0,0,0,0
09-25-55,0,0,47,32,0,0,0,0,0,0,0
09-26-05,0,0,47,32,0,0,0,0,0,0,0
09-26-15,0,0,47,32,0,0,0,0,0,0,0
09-26-25,0,0,47,32,0,0,0,0,0,0,0
09-26-35,0,0,47,31,0,0,0,0,0,0,0
09-26-45,0,0,47,32,0,0,0,0,0,0,0
09-26-55,0,0,47,32,0,0,0,0,0,0,0
09-27-05,0,0,47,32,0,0,0,0,0,0,0
09-27-15,0,0,47,32,0,0,0,0,0,0,0
09-27-25,0,0,46,32,0,0,0,31,0,0,0
09-27-35,0,0,46,32,0,0,0,31,0,0,0
09-27-45,0,0,47,32,0,0,0,31,0,0,0
09-27-55,0,0,46,32,0,0,0,31,0,0,0
09-28-05,0,0,46,32,0,31,0,31,0,0,0
09-28-15,0,0,47,31,0,32,0,31,0,0,0
09-28-25,0,0,47,32,0,31,0,0,0,0,0
09-28-35,0,0,47,31,0,31,0,0,0,0,0
09-28-45,0,0,47,32,0,31,0,0,0,0,0
09-28-55,0,0,48,32,31,31,0,0,0,0,0
09-29-05,0,0,48,32,33,31,0,0,0,0,0
09-29-15,0,0,48,32,32,31,0,0,0,0,0
09-29-25,0,0,48,32,0,0,0,0,0,0,0
09-29-35,0,0,48,32,0,31,0,0,0,0,0
09-29-45,0,0,48,0,0,31,0,0,0,0,0
09-29-55,0,0,47,0,0,0,0,0,0,0,0
09-30-05,0,0,47,32,0,31,0,0,0,0,0
09-30-15,0,0,48,32,0,0,0,0,0,0,0
09-30-25,0,0,48,32,0,0,0,0,0,0,0
09-30-35,0,0,48,31,0,32,0,0,0,0,0
09-30-45,0,0,48,32,0,0,0,0,0,0,0
09-30-55,0,0,48,31,0,0,0,0,0,0,0
09-31-05,0,0,48,31,0,0,0,0,0,0,0
09-31-15,0,0,48,32,0,0,0,0,0,0,0
09-31-25,0,0,48,32,0,31,0,0,0,0,0
