date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-00-05,32,32,0,0,0,0,0,0,0,0,0
09-00-15,0,33,0,0,0,0,0,0,0,0,0
09-00-25,0,32,0,0,0,0,0,0,0,0,0
09-00-35,0,32,0,0,0,0,0,0,0,0,0
09-00-45,0,33,0,0,0,0,0,0,0,0,0
09-00-55,0,32,0,0,0,0,0,0,0,0,0
09-01-05,0,32,0,0,0,0,0,0,0,0,0
09-01-15,0,33,0,0,0,0,0,0,0,0,0
09-01-25,0,32,0,0,0,0,0,0,0,0,0
09-01-35,0,33,0,0,0,0,0,0,0,0,0
09-01-45,0,33,0,0,0,0,0,0,0,0,0
09-01-55,0,32,0,0,0,0,0,0,0,0,0
09-02-05,0,33,0,0,0,0,0,0,0,0,0
09-02-15,0,33,0,0,0,0,0,0,0,0,0
09-02-25,0,33,0,0,0,0,0,0,0,0,0
09-02-35,0,32,0,0,0,0,0,0,0,0,0
09-02-45,0,32,0,0,0,0,0,0,0,0,0
09-02-55,0,32,0,0,0,0,0,0,0,0,0
09-03-05,0,32,0,0,0,0,0,0,0,0,0
09-03-15,0,32,0,0,0,0,0,0,0,0,0
09-03-25,0,33,0,0,0,32,0,0,0,0,0
09-03-35,0,32,0,0,0,0,0,0,0,0,0
09-03-45,0,32,0,0,0,0,0,0,0,0,0
09-03-55,0,32,0,0,0,0,0,0,0,0,0
09-04-05,0,32,0,0,0,0,0,0,0,0,0
09-04-15,0,33,0,0,0,0,0,0,0,0,0
09-04-25,0,33,0,0,0,0,0,0,0,0,0
09-04-35,0,32,0,0,0,0,0,0,0,0,0
09-04-45,0,32,0,0,0,0,0,0,0,0,0
09-04-55,0,32,0,0,0,0,0,0,0,0,0
09-05-05,0,33,0,0,0,0,0,0,0,0,0
09-05-15,0,32,0,0,0,0,0,0,0,0,0
09-05-25,0,33,0,0,0,0,0,0,0,0,0
09-05-35,0,32,0,0,0,0,0,0,0,0,0
09-05-45,0,32,0,0,0,0,0,0,0,0,0
09-05-55,0,32,0,0,0,0,0,0,0,0,0
09-06-05,0,33,0,0,0,0,0,0,0,0,0
09-06-15,0,32,0,0,0,0,0,0,0,0,0
09-06-25,0,32,0,0,0,0,0,0,0,0,0
09-06-35,0,33,0,0,0,0,0,0,0,0,0
09-06-45,0,32,0,0,0,0,0,0,0,0,0
09-06-55,0,33,0,0,0,0,0,0,0,0,0
09-07-05,0,33,0,0,0,0,0,0,0,0,0
09-07-15,0,33,0,0,0,0,0,0,0,0,0
09-07-25,0,32,0,0,0,0,0,0,0,0,0
09-07-35,0,33,0,0,0,0,0,0,0,0,0
09-07-45,0,32,0,0,0,0,0,0,0,0,0
09-07-55,0,33,0,0,0,0,0,0,0,0,0
09-08-05,0,32,0,0,0,0,0,0,0,0,0
09-08-15,0,33,0,0,0,0,0,0,0,0,0
09-08-25,0,32,0,0,0,0,0,0,0,0,0
09-08-35,0,32,0,0,0,0,0,0,0,0,0
09-08-45,0,33,0,0,0,0,0,0,0,0,0
09-08-55,0,33,0,0,0,0,0,0,0,0,0
09-09-05,0,33,0,0,0,0,0,0,0,0,0
09-09-15,0,32,0,0,0,0,0,0,0,0,0
09-09-25,0,32,0,0,0,0,0,0,0,0,0
09-09-35,0,32,0,0,0,0,0,0,0,0,0
09-09-45,0,32,0,0,0,0,0,0,0,0,0
09-09-55,0,32,0,0,0,0,0,0,0,0,0
09-10-05,0,32,0,0,0,0,0,0,0,0,0
09-10-15,0,32,0,0,0,0,0,0,0,0,0
09-10-25,0,32,0,0,0,0,0,0,0,0,0
09-10-35,0,32,0,0,0,0,0,0,0,0,0
09-10-45,0,32,0,0,0,0,0,0,0,0,0
09-10-55,0,32,0,0,0,0,0,0,0,0,0
09-11-05,0,32,0,0,0,0,0,0,0,0,0
09-11-15,0,32,0,0,0,0,0,0,0,0,0
09-11-25,0,32,0,0,0,0,0,0,0,0,0
09-11-35,0,32,0,0,0,0,0,0,0,0,0
09-11-45,0,32,0,0,0,0,0,0,0,0,0
09-11-55,0,32,0,0,0,0,0,0,0,32,0
09-12-05,0,32,0,0,0,0,0,0,0,0,0
09-12-15,0,32,0,0,0,0,0,0,0,0,0
09-12-25,0,32,0,0,0,0,0,0,0,0,0
09-12-35,0,32,0,0,0,0,0,0,0,0,0
09-12-45,0,32,0,0,0,0,0,0,0,0,0
09-12-55,0,32,0,0,0,0,0,0,0,0,0
09-13-05,0,32,0,0,0,0,0,0,0,0,0
09-13-15,0,32,0,0,0,0,0,0,0,0,0
09-13-25,0,32,0,0,0,0,0,0,0,0,0
09-13-35,0,32,0,0,0,0,0,0,0,0,0
09-13-45,0,32,0,0,0,0,0,0,0,0,0
09-13-55,0,32,0,0,0,0,0,0,0,0,0
09-14-05,0,32,0,0,0,0,0,0,0,0,0
09-14-15,0,32,0,0,0,0,0,0,0,0,0
09-14-25,0,32,0,0,0,0,0,0,0,0,0
09-14-35,0,32,0,0,0,0,0,0,0,0,0
09-14-45,0,32,0,0,0,0,0,0,0,0,0
09-14-55,0,32,0,0,0,0,0,0,0,0,0
09-15-05,0,32,0,0,0,0,0,0,0,0,0
09-15-15,0,32,0,0,0,0,0,0,0,0,0
09-15-25,0,32,0,0,0,0,0,0,0,0,0
09-15-35,0,32,0,0,0,0,0,0,0,0,0
09-15-45,0,32,0,0,0,0,0,0,0,0,0
09-15-55,0,32,0,0,0,0,0,0,0,0,0
09-16-05,0,32,0,0,0,0,0,0,0,0,0
09-16-15,0,32,0,0,0,0,0,0,0,0,0
09-16-25,0,32,0,0,0,0,0,0,0,0,0
09-16-35,0,32,0,0,0,0,0,0,0,0,0
09-16-45,0,32,0,0,0,0,0,0,0,0,0
09-16-55,0,32,0,0,0,0,0,0,0,0,0
09-17-05,0,32,0,0,0,0,0,0,0,0,0
09-17-15,0,32,0,0,0,0,0,0,0,0,0
09-17-25,0,32,0,0,0,0,0,0,0,0,0
09-17-35,0,32,0,0,0,0,0,0,0,0,0
09-17-45,0,32,0,0,0,0,0,0,0,0,0
09-17-55,0,32,0,0,0,0,0,0,0,0,0
09-18-05,0,32,0,0,0,0,0,0,0,0,0
09-18-15,0,32,0,0,0,0,0,0,0,0,0
