date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-37-35,0,54,0,0,43,48,33,0,0,63,0
09-37-45,0,54,0,0,44,48,0,0,0,63,0
09-37-55,0,54,0,0,44,48,35,0,0,63,0
09-38-05,0,54,0,0,45,48,38,0,0,63,33
09-38-15,0,54,0,0,44,48,32,0,32,63,0
09-38-25,0,54,0,0,45,48,39,0,33,63,0
09-38-35,0,54,0,0,46,50,0,0,0,63,0
09-38-45,0,54,0,0,46,50,35,0,0,63,48
09-38-55,0,54,0,0,45,49,36,0,0,63,34
09-39-05,0,54,0,0,45,47,33,0,0,63,32
09-39-15,0,54,0,0,46,48,32,0,0,64,33
09-39-25,0,54,0,0,45,47,32,0,0,64,0
09-39-35,0,55,0,0,47,49,37,0,0,64,32
09-39-45,0,55,0,0,46,49,34,0,0,64,33
09-39-55,0,55,0,0,46,50,35,0,0,64,36
09-40-05,0,55,0,0,46,50,32,0,0,63,33
09-40-15,0,55,0,0,46,48,0,0,0,64,0
09-40-25,0,55,0,0,47,48,33,0,0,64,0
09-40-35,0,55,0,0,47,48,32,0,0,64,0
09-40-45,0,55,0,0,47,48,34,0,0,64,32
09-40-55,0,55,0,32,45,48,32,0,0,64,0
09-41-05,0,55,0,33,48,42,34,0,0,64,34
09-41-15,0,55,0,0,35,44,38,0,0,64,0
09-41-25,0,55,0,0,33,44,33,0,0,64,34
09-41-35,0,55,0,0,33,50,0,0,0,63,32
09-41-45,0,54,0,0,40,51,32,0,0,63,0
09-41-55,0,54,0,0,50,51,32,0,0,64,0
09-42-05,0,55,0,0,48,47,35,0,34,64,0
09-42-15,0,55,0,0,40,50,34,0,42,64,0
09-42-25,0,57,0,0,0,48,32,0,37,64,32
09-42-35,0,59,0,0,0,48,32,0,34,64,33
09-42-45,0,59,0,0,0,44,33,0,35,63,36
09-42-55,0,59,0,0,0,46,0,0,35,63,37
09-43-05,0,59,0,0,0,45,32,0,37,63,35
09-43-15,0,58,0,32,0,45,32,0,35,63,32
09-43-25,0,59,0,0,0,45,32,0,33,63,32
09-43-35,0,58,0,0,0,45,32,0,0,63,0
09-43-45,0,58,0,0,0,44,0,0,0,63,0
09-43-55,0,58,0,0,0,44,0,0,33,63,0
09-44-05,0,58,0,0,0,44,32,0,32,63,0
09-44-15,0,58,0,0,0,43,32,0,32,63,0
09-44-25,0,58,0,0,0,44,0,0,33,63,34
09-44-35,0,58,0,0,0,44,0,0,32,63,0
09-44-45,0,59,0,0,32,43,32,0,32,63,0
09-44-55,0,58,0,0,0,46,33,0,32,63,34
09-45-05,0,58,0,0,0,46,33,0,32,63,35
09-45-15,0,58,0,0,0,46,33,0,33,63,33
09-45-25,0,58,0,0,0,45,0,0,0,63,34
09-45-35,0,59,0,0,0,44,0,0,35,63,34
09-45-45,0,59,0,0,0,44,32,0,33,63,35
09-45-55,0,59,0,0,0,45,33,0,33,63,34
09-46-05,0,58,0,0,0,40,0,0,32,65,35
09-46-15,0,57,0,0,0,39,33,0,33,54,33
09-46-25,0,57,0,0,0,39,36,0,34,33,32
09-46-35,0,58,0,0,0,38,33,0,36,38,32
09-46-45,0,58,0,0,0,37,35,0,0,33,34
09-46-55,0,58,0,0,0,38,34,0,0,35,33
09-47-05,0,58,0,0,0,39,39,0,0,36,37
09-47-15,0,58,0,0,0,36,34,0,0,35,32
09-47-25,0,34,0,0,0,35,36,0,33,0,34
09-47-35,0,33,0,0,0,39,42,0,34,35,34
09-47-45,0,34,0,0,0,33,42,0,32,33,32
09-47-55,0,35,0,0,0,34,37,0,0,0,35
09-48-05,0,34,0,0,0,32,33,0,39,35,0
09-48-15,0,34,0,0,0,41,32,0,41,33,0
09-48-25,0,37,0,0,0,34,34,0,35,0,0
09-48-35,0,35,0,0,0,32,36,0,32,32,33
09-48-45,0,35,0,0,0,0,0,0,0,32,34
09-48-55,0,34,0,0,0,32,33,0,35,0,33
09-49-05,0,32,0,0,0,32,33,0,36,33,33
09-49-15,0,0,0,0,0,33,0,0,36,32,36
09-49-25,0,35,0,0,0,0,33,0,36,32,0
09-49-35,0,33,0,0,0,0,39,0,35,0,0
09-49-45,0,52,0,0,0,0,33,0,0,34,34
09-49-55,0,0,0,0,0,0,33,0,0,32,35
09-50-05,0,0,0,0,0,0,33,0,0,32,33
09-50-15,0,32,0,0,0,0,33,0,0,38,0
09-50-25,0,32,0,0,0,0,32,0,0,34,37
09-50-35,0,0,0,0,0,0,32,0,32,32,0
09-50-45,0,0,0,0,0,0,34,0,32,33,0
09-50-55,0,0,0,0,34,32,33,0,0,36,0
09-51-05,0,0,0,0,0,0,0,0,37,36,0
09-51-15,0,0,0,0,32,0,35,0,34,37,0
09-51-25,0,0,0,0,0,0,34,0,33,34,0
09-51-35,0,0,0,0,0,0,34,0,32,33,0
09-51-45,0,0,0,0,0,0,48,0,0,32,0
09-51-55,0,0,0,0,0,0,37,0,0,0,0
09-52-05,0,0,0,0,0,0,39,0,36,33,0
09-52-15,0,0,0,0,0,0,40,0,32,32,0
09-52-25,0,0,0,0,0,0,43,0,36,32,0
09-52-35,0,0,0,0,0,32,47,0,33,32,34
09-52-45,0,32,0,0,0,32,47,0,37,33,0
09-52-55,0,0,0,0,0,32,44,0,32,40,33
09-53-05,0,0,0,0,0,32,37,0,35,45,0
09-53-15,0,0,0,0,0,0,47,0,35,33,32
09-53-25,0,0,0,0,0,0,43,0,0,0,0
09-53-35,0,0,0,0,0,0,43,0,0,0,0
09-53-45,0,0,0,0,0,0,49,0,32,0,0
09-53-55,0,0,0,0,0,0,42,0,34,0,0
09-54-05,0,0,0,0,0,0,40,0,34,0,0
09-54-15,0,0,0,0,0,32,35,0,33,34,0
09-54-25,0,0,0,0,0,32,39,0,32,36,0
09-54-35,0,0,0,0,0,32,42,0,32,37,0
09-54-45,0,0,0,0,0,0,49,0,38,37,0
09-54-55,0,0,0,0,32,0,46,0,32,32,0
09-55-05,0,32,0,0,0,32,48,0,0,32,0
09-55-15,0,0,0,0,0,32,43,0,0,32,0
09-55-25,0,32,0,0,0,32,41,0,33,32,0
09-55-35,0,0,0,0,0,32,42,0,34,36,0
09-55-45,0,0,0,0,0,34,40,0,33,0,0
09-55-55,0,33,0,0,0,0,40,0,34,32,33
09-56-05,0,0,0,0,0,0,37,0,35,0,0
09-56-15,0,32,0,0,0,0,36,0,0,0,32
09-56-25,0,0,0,0,0,0,33,0,0,0,32
09-56-35,0,0,0,0,0,0,0,0,0,0,32
09-56-45,0,0,0,0,0,0,0,0,0,0,33
09-56-55,0,0,0,0,0,0,33,0,0,0,32
09-57-05,0,0,0,0,0,32,0,0,0,0,32
09-57-15,0,0,0,0,0,0,33,0,0,0,0
09-57-35,0,0,0,0,0,0,34,0,0,0,0
09-57-45,0,0,0,0,0,0,34,0,0,32,35
09-57-55,0,0,0,0,0,0,32,0,0,0,33
09-58-05,0,0,0,0,0,0,0,0,0,0,32
09-58-15,0,0,0,0,0,0,32,0,32,33,0
