date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin
09-00-05,0,57,60,60,57,64,72,0,70,56,41
09-00-15,0,57,60,60,56,64,73,0,70,56,45
09-00-25,0,57,60,60,56,64,73,0,70,54,41
09-00-35,0,57,60,61,56,64,73,0,70,56,39
09-00-45,0,57,60,60,56,64,73,0,70,56,46
09-00-55,0,57,60,61,56,64,73,0,70,51,56
09-01-05,0,57,61,61,56,64,73,0,70,42,57
09-01-15,0,57,60,61,56,64,73,0,70,39,56
09-01-25,0,57,60,60,56,64,74,0,69,41,56
09-01-35,0,57,60,60,56,64,73,0,70,38,57
09-01-45,0,57,60,60,56,64,73,0,70,0,57
09-01-55,0,57,60,61,57,63,73,0,70,0,56
09-02-05,0,57,59,60,57,63,73,0,70,0,58
09-02-15,0,57,60,60,58,63,73,0,69,0,57
09-02-25,0,58,60,60,57,63,73,0,70,0,57
09-02-35,0,58,60,60,58,63,73,0,70,0,57
09-02-45,0,57,60,60,58,63,73,0,70,0,57
09-02-55,0,57,60,61,56,64,73,0,70,0,56
09-03-05,0,56,60,60,57,64,73,0,69,0,57
09-03-15,0,56,60,60,57,63,73,0,70,0,57
09-03-25,0,57,60,60,57,64,73,0,70,0,57
09-03-35,0,56,60,60,57,64,73,0,69,0,57
09-03-45,0,57,60,60,57,64,73,0,70,0,56
09-03-55,0,57,60,60,57,64,73,0,69,0,56
09-04-05,0,57,60,60,57,64,73,0,69,0,56
09-04-15,0,57,60,60,57,63,73,0,70,0,57
09-04-25,0,57,60,60,57,64,72,0,69,0,57
09-04-35,0,57,60,60,57,63,73,0,70,0,57
09-04-45,0,57,60,60,56,64,73,0,70,0,57
09-04-55,0,57,60,60,57,63,73,0,70,0,57
09-05-05,0,57,60,60,57,64,73,0,70,0,57
09-05-15,0,57,59,61,57,63,73,0,70,0,55
09-05-25,0,57,59,60,56,63,73,0,70,0,56
09-05-35,0,40,60,60,57,64,73,0,70,0,56
09-05-45,0,38,60,61,57,63,73,0,70,0,55
09-05-55,0,40,60,61,56,64,73,0,70,0,55
09-06-05,0,39,60,61,56,63,73,0,69,0,55
09-06-15,0,39,60,61,56,64,73,0,70,0,55
09-06-25,0,38,60,61,57,63,72,0,70,0,56
09-06-35,0,39,60,60,57,63,73,0,69,0,56
09-06-45,0,39,60,60,57,64,73,0,69,0,56
09-06-55,0,38,60,60,56,64,73,0,69,0,56
09-07-05,0,39,60,60,57,64,73,0,69,0,56
09-07-15,0,38,60,60,57,64,73,0,69,0,56
09-07-25,0,38,60,60,57,64,72,0,69,0,56
09-07-35,0,38,60,60,57,64,73,0,69,0,56
09-07-45,0,38,60,60,57,64,72,0,69,0,56
09-07-55,0,38,60,60,57,64,73,0,69,0,56
09-08-05,0,38,60,60,57,64,73,0,69,0,56
09-08-15,46,37,60,60,56,64,73,0,69,0,56
09-08-25,0,38,60,60,56,64,72,0,70,0,56
09-08-35,0,36,60,60,56,64,73,0,70,0,56
09-08-45,0,38,60,60,57,64,72,0,70,0,56
09-08-55,0,39,60,60,57,63,73,0,70,0,56
09-09-05,0,39,60,60,57,64,73,0,70,0,56
09-09-15,0,39,60,60,57,64,73,0,70,0,56
09-09-25,0,40,60,60,57,64,73,0,69,0,56
09-09-35,0,40,60,60,57,64,72,0,70,0,56
09-09-45,0,41,60,60,57,64,73,0,69,0,55
09-09-55,0,42,60,60,57,64,73,0,69,0,56
09-10-05,0,42,60,60,57,64,73,0,70,48,56
09-10-15,0,39,60,60,57,64,73,0,69,64,56
09-10-25,0,41,60,61,57,64,73,0,70,74,56
09-10-35,0,40,60,60,57,64,73,0,70,74,56
09-10-45,0,41,60,61,56,64,73,0,70,73,56
09-10-55,0,41,60,60,56,63,74,0,70,74,56
09-11-05,0,40,60,60,57,64,74,0,70,74,56
09-11-15,0,41,60,60,57,64,74,0,70,74,55
09-11-25,0,41,60,61,57,64,73,0,70,74,56
09-11-35,0,41,60,60,57,64,73,0,70,74,56
09-11-45,0,39,60,61,57,64,74,0,70,74,56
09-11-55,0,42,60,61,58,63,73,0,70,74,56
09-12-05,0,45,60,60,58,63,73,0,69,74,56
09-12-15,0,42,60,60,58,63,72,0,69,74,55
09-12-25,0,45,59,61,58,64,73,0,70,75,54
09-12-35,0,39,59,61,58,64,74,0,70,74,55
09-12-45,0,36,59,61,58,64,74,0,70,74,54
09-12-55,44,36,59,61,58,64,74,0,70,74,54
09-13-05,0,37,59,61,58,63,74,0,70,75,54
09-13-15,0,40,59,61,58,63,73,0,70,74,56
09-13-25,0,39,60,61,58,63,73,0,70,74,55
09-13-35,0,38,58,60,58,64,73,0,45,74,56
09-13-45,0,38,59,60,58,64,73,0,44,75,56
09-13-55,0,36,59,60,59,64,73,0,40,74,56
09-14-05,0,35,59,60,59,64,73,0,44,74,56
09-14-15,0,35,59,61,58,64,73,0,41,74,56
09-14-25,0,38,59,61,58,64,73,0,40,74,57
09-14-35,0,36,59,61,58,64,73,0,42,74,56
09-14-45,0,37,59,61,58,64,73,0,41,74,56
09-14-55,0,38,58,61,38,64,39,0,44,74,56
09-15-05,0,37,59,60,61,64,35,0,42,74,56
09-15-15,0,37,58,60,62,64,45,0,41,74,55
09-15-25,0,37,57,41,61,64,42,0,38,74,55
09-15-35,0,39,46,44,61,64,39,0,37,74,54
09-15-45,0,37,38,47,62,65,41,0,37,74,55
09-15-55,0,38,38,59,62,65,38,0,37,73,55
09-16-05,0,38,39,59,62,44,38,0,40,74,55
09-16-15,0,45,45,42,39,42,46,0,42,39,41
09-16-25,0,47,57,54,55,59,60,0,50,47,46
