date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-00-05,0,62,62,63,58,57,71,69,0,47,44
09-00-15,0,61,62,64,58,56,72,69,0,46,46
09-00-25,0,61,62,63,58,57,72,69,0,45,38
09-00-35,0,61,62,64,58,56,72,69,0,46,35
09-00-45,0,61,63,63,57,57,72,69,0,47,47
09-00-55,0,61,63,64,58,56,71,68,0,51,49
09-01-05,0,61,63,63,58,57,71,68,0,45,50
09-01-15,0,61,63,64,58,57,70,69,0,38,52
09-01-25,0,62,62,64,58,56,71,68,0,38,51
09-01-35,0,62,62,63,58,57,71,69,0,36,51
09-01-45,0,62,63,64,58,56,71,68,0,0,53
09-01-55,0,61,63,64,58,56,71,68,0,0,54
09-02-05,0,62,63,64,58,54,71,69,0,0,55
09-02-15,0,61,63,64,58,54,71,68,0,0,55
09-02-25,0,61,63,64,58,55,71,68,0,0,56
09-02-35,0,61,63,64,58,55,71,69,0,0,53
09-02-45,0,61,63,64,58,54,71,69,0,0,56
09-02-55,0,61,63,63,58,57,72,69,0,0,52
09-03-05,0,61,63,63,58,55,71,68,0,0,53
09-03-15,0,62,63,64,58,54,72,68,0,0,53
09-03-25,0,62,62,64,58,56,72,68,0,0,52
09-03-35,0,61,62,63,58,55,72,68,0,0,52
09-03-45,0,61,62,64,58,55,71,68,0,0,52
09-03-55,0,62,62,64,58,55,71,68,0,0,52
09-04-05,0,61,62,64,58,55,72,68,0,0,52
09-04-15,0,61,63,64,58,54,71,69,0,0,54
09-04-25,0,62,63,64,58,54,71,68,0,0,52
09-04-35,0,62,63,64,58,54,71,69,0,0,54
09-04-45,0,62,62,64,58,56,72,68,0,0,52
09-04-55,0,61,63,64,58,55,71,68,0,0,55
09-05-05,0,61,62,64,59,55,71,68,0,0,53
09-05-15,0,61,63,64,57,57,71,69,0,0,55
09-05-25,0,61,63,64,58,58,71,69,0,0,55
09-05-35,0,58,63,64,58,55,71,68,0,0,54
09-05-45,0,59,63,64,58,56,71,69,0,0,56
09-05-55,0,58,63,64,57,57,71,68,0,0,52
09-06-05,0,58,63,64,58,56,71,68,0,0,53
09-06-15,0,59,63,64,58,56,71,68,0,0,53
09-06-25,0,59,64,64,57,57,70,68,0,0,53
09-06-35,0,59,63,64,57,56,71,69,0,0,54
09-06-45,0,59,62,64,58,56,71,68,0,0,51
09-06-55,0,60,63,64,58,56,71,68,0,0,52
09-07-05,0,59,63,64,58,56,71,68,0,0,52
09-07-15,0,59,63,64,58,56,71,68,0,0,50
09-07-25,0,60,63,64,57,56,71,68,0,0,50
09-07-35,0,59,62,64,58,56,71,68,0,0,50
09-07-45,0,60,63,64,58,55,71,68,0,0,49
09-07-55,0,60,63,64,58,56,71,68,0,0,50
09-08-05,0,59,63,64,58,56,71,68,0,0,49
09-08-15,34,58,63,64,58,56,71,68,0,0,51
