date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
10-55-15,0,0,0,31,0,0,0,0,0,0,0
10-56-05,0,0,36,0,0,0,0,0,0,0,35
10-57-05,0,0,0,0,0,0,0,0,0,0,31
10-58-05,0,0,33,0,0,0,0,0,0,0,0
10-59-05,0,0,34,0,0,0,32,0,0,0,0
11-00-05,0,0,32,0,0,0,0,0,0,0,0
11-01-05,0,0,0,0,0,0,0,31,0,0,0
11-02-05,0,0,0,0,0,37,0,0,0,0,0
11-03-45,0,0,34,0,0,0,0,0,0,0,35
11-04-05,0,0,35,0,0,0,0,0,0,0,40
11-05-05,0,0,0,0,0,0,0,0,0,0,32
11-06-05,0,0,32,0,0,0,0,0,0,0,32
11-07-05,0,0,0,0,0,0,0,34,0,0,0
11-08-05,0,0,0,0,0,0,0,31,0,0,0
11-09-05,0,0,31,0,0,0,0,0,0,0,0
11-10-05,0,0,32,0,0,0,31,0,0,0,0
11-11-15,0,0,41,0,33,0,0,0,0,0,0
11-12-05,0,0,0,0,0,0,36,0,0,33,0
11-13-15,0,0,0,0,0,0,0,0,0,0,0
11-14-15,0,0,0,0,0,0,32,0,0,0,0
11-15-05,0,0,0,0,0,0,33,0,0,0,0
11-16-05,0,35,33,0,0,0,0,0,0,0,0
11-17-25,0,0,32,0,0,0,31,0,0,0,0
11-18-15,0,0,0,0,0,0,31,0,0,0,0
11-19-15,0,0,31,0,0,0,0,0,0,0,0
11-20-15,0,0,31,0,0,0,0,0,0,0,0
11-21-15,0,0,0,0,31,0,0,0,0,0,0
11-22-05,0,0,0,0,0,0,0,0,0,0,31
11-23-05,0,33,0,31,0,0,0,0,0,0,0
11-25-25,0,0,0,34,0,0,0,0,0,0,0
11-26-15,0,0,0,31,0,0,0,0,0,0,0
11-27-45,0,0,0,31,0,0,0,0,0,0,0
11-28-35,0,0,0,34,0,0,0,0,0,0,0
11-29-05,0,0,0,0,0,32,33,0,32,0,0
11-30-05,0,0,0,0,0,0,0,0,0,0,32
11-31-05,0,0,0,0,31,0,0,0,0,0,38
11-32-15,0,0,0,0,0,0,0,0,0,0,0
11-33-05,0,0,0,0,0,31,37,33,0,37,0
11-34-05,0,48,0,0,31,32,33,0,0,0,0
11-35-05,0,37,0,0,0,0,0,0,0,0,0
11-36-05,0,37,0,0,0,0,0,0,0,0,0
11-37-05,0,38,0,0,0,0,0,0,0,0,0
11-38-05,0,39,0,0,0,0,0,0,0,0,0
11-39-15,0,31,0,0,0,0,0,0,0,0,0
11-40-15,0,0,0,0,0,31,0,0,0,0,0
11-41-05,0,32,0,0,0,31,0,0,0,0,0
11-42-05,0,34,0,0,0,0,0,0,0,0,0
11-43-05,0,34,0,0,0,31,0,0,0,0,0
11-44-05,0,37,0,0,32,0,0,0,0,0,0
11-45-05,0,0,0,0,32,31,0,0,0,0,0
11-46-05,0,36,0,0,0,32,0,0,0,0,0
11-47-15,0,0,0,0,0,0,0,0,31,0,0
11-48-05,0,0,0,0,0,0,0,0,33,0,0
